File Name,Original Size (KB),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB)
Topology_A_fix_duration_5s_index_b11.npy,2141.2265625,396.4208984375,379.763671875,259.6171875,339.0146484375,599.1630859375,267.9169921875,541.849609375,541.30859375,352.5087890625,574.357421875,1353.363283820913,676.6816419104565,1018.3739580885334
Topology_A_fix_duration_5s_index_b52.npy,8440.822265625,1418.689453125,1567.0400390625,1041.6953125,1353.115234375,1956.6259765625,1019.291015625,1682.341796875,1680.4482421875,1231.427734375,1836.513671875,6191.272595729516,3095.636297864758,4139.042768857006
Topology_A_fix_duration_5s_index_b38.npy,8440.822265625,1187.234375,1219.3427734375,813.15625,1128.5625,1846.7099609375,787.619140625,1551.859375,1549.896484375,1057.24609375,1687.6435546875,4802.130334887888,2401.065167443944,3221.7251464471165
Topology_A_fix_duration_5s_index_b34.npy,8440.822265625,1106.880859375,1121.5908203125,726.28125,1110.900390625,1772.1767578125,727.3193359375,1443.7470703125,1441.8837890625,957.451171875,1537.2705078125,4366.826266630434,2183.413133315217,2968.315097615295
Topology_A_fix_duration_5s_index_b17.npy,4241.091796875,646.353515625,598.0390625,421.3828125,685.8134765625,1038.986328125,430.86328125,900.0068359375,899.1494140625,571.19140625,977.6591796875,2138.571604283377,1069.2858021416885,1661.830652316745
Topology_B_fix_duration_5s_index_b54.npy,12423.908203125,2111.740234375,2359.1044921875,1516.8671875,1942.802734375,2862.4970703125,1498.9921875,2423.744140625,2421.1123046875,1758.935546875,2690.2705078125,9481.484467885994,4740.742233942997,6655.751123939574
Topology_A_fix_duration_5s_index_b8.npy,1091.2939453125,243.0537109375,239.3037109375,183.8125,218.8046875,331.0498046875,189.849609375,307.568359375,307.30078125,230.0087890625,320.298828125,834.05727134505,417.028635672525,586.8613080875621
Topology_A_fix_duration_5s_index_b2.npy,1091.2939453125,65.4599609375,50.748046875,47.35546875,111.96484375,191.7099609375,48.734375,193.072265625,193.93359375,94.150390625,192.484375,209.6487943574193,104.82439717870965,196.31626131928493
Topology_B_fix_duration_5s_index_b11.npy,3151.5703125,545.9013671875,522.4873046875,346.234375,465.541015625,832.525390625,357.65234375,744.8486328125,744.3017578125,478.560546875,791.486328125,1946.0053017329149,973.0026508664574,1501.5083911573308
Topology_B_fix_duration_5s_index_b5.npy,1606.1806640625,207.775390625,179.58984375,144.0390625,193.763671875,391.173828125,150.01171875,344.4619140625,344.17578125,200.9287109375,364.619140625,769.2793539066316,384.6396769533158,668.1388907223703
Topology_A_fix_duration_5s_index_b33.npy,8440.822265625,1089.44140625,1096.9619140625,708.4453125,1124.017578125,1754.486328125,712.783203125,1421.791015625,1419.9287109375,931.91796875,1492.828125,4194.624619980386,2097.312309990193,2912.8044904617655
Topology_A_fix_duration_5s_index_b15.npy,2141.2265625,479.3701171875,520.466796875,349.890625,442.103515625,631.2919921875,357.5244140625,579.5380859375,579.001953125,431.337890625,609.927734375,1673.467852946384,836.733926473192,1167.568702758146
Topology_B_fix_duration_5s_index_b19.npy,6242.349609375,968.03515625,939.5751953125,635.37890625,941.47265625,1499.337890625,617.62890625,1303.9765625,1302.6552734375,845.8662109375,1409.2509765625,3618.384545148365,1809.1922725741824,2641.6384994919918
Topology_B_fix_duration_5s_index_b3.npy,1606.1806640625,126.1875,99.248046875,86.0546875,155.9501953125,311.251953125,89.7470703125,266.26953125,265.873046875,152.4677734375,293.275390625,460.8987737699187,230.44938688495935,425.6749426998729
Topology_B_fix_duration_5s_index_b55.npy,12423.908203125,2121.4287109375,2379.99609375,1526.1015625,1969.1650390625,2865.8916015625,1518.1416015625,2429.1689453125,2426.2919921875,1770.728515625,2694.44921875,9542.060659600942,4771.030329800471,6754.572029070001
Topology_B_fix_duration_5s_index_b25.npy,6242.349609375,1084.1328125,1213.6572265625,782.3359375,1052.3271484375,1547.916015625,786.7744140625,1379.33203125,1378.06640625,953.42578125,1464.84765625,4334.82327851648,2167.41163925824,3258.1185996852573
Topology_B_fix_duration_5s_index_b29.npy,6242.349609375,1175.3291015625,1349.8974609375,883.7578125,1126.625,1598.4208984375,876.544921875,1433.6640625,1432.294921875,1050.0615234375,1508.73046875,4996.1186238791925,2498.0593119395962,3427.891571180078
Topology_B_fix_duration_5s_index_b18.npy,6242.349609375,938.560546875,888.66015625,607.23046875,958.8291015625,1486.7431640625,597.6201171875,1278.9130859375,1277.5458984375,815.7373046875,1394.0517578125,3354.918492356266,1677.459246178133,2565.097860698817
Topology_A_fix_duration_5s_index_b41.npy,8440.822265625,1238.2314453125,1296.67578125,856.21875,1173.8525390625,1914.44140625,837.595703125,1589.890625,1588.07421875,1087.46875,1764.013671875,4999.73804622749,2499.869023113745,3435.9687467622884
Topology_A_fix_duration_5s_index_b28.npy,4241.091796875,809.048828125,922.9716796875,620.171875,785.3515625,1116.927734375,613.861328125,1015.146484375,1014.265625,740.5966796875,1056.830078125,3281.198354481959,1640.5991772409795,2206.823841390545
Topology_B_fix_duration_5s_index_b37.npy,12423.908203125,1692.513671875,1738.3291015625,1114.046875,1533.509765625,2627.3818359375,1083.7431640625,2194.806640625,2191.9052734375,1448.3583984375,2354.19921875,7106.504670361829,3553.2523351809145,4873.267581827226
Topology_B_fix_duration_5s_index_b17.npy,6242.349609375,911.6787109375,840.701171875,576.09765625,964.6337890625,1473.4697265625,590.2158203125,1256.8173828125,1255.591796875,792.0224609375,1376.876953125,3156.309771408006,1578.154885704003,2473.160571348449
Topology_B_fix_duration_5s_index_b30.npy,6242.349609375,1191.77734375,1366.65234375,901.84765625,1141.01953125,1608.1064453125,895.2138671875,1445.7060546875,1444.5009765625,1075.90625,1516.2080078125,5102.046179950477,2551.0230899752387,3453.0806104121198
Topology_B_fix_duration_5s_index_b26.npy,6242.349609375,1107.50390625,1251.998046875,813.58984375,1072.84375,1559.6650390625,811.505859375,1390.2529296875,1389.046875,978.267578125,1475.5869140625,4505.018165628239,2252.5090828141197,3317.189221110769
Topology_A_fix_duration_5s_index_b27.npy,4241.091796875,794.8017578125,905.5341796875,603.98828125,771.345703125,1106.943359375,600.8837890625,1006.4169921875,1005.5771484375,723.18359375,1050.1923828125,3202.168793203626,1601.084396601813,2180.7484098024042
