File Name,Original Size (KB),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB)
Topology_A_fix_duration_5s_index_b9.bin,1222.4033203125,488.9326171875,469.4794921875,427.46484375,411.0927734375,674.3251953125,433.5693359375,706.716796875,706.4775390625,529.0830078125,663.796875,1022.280628651276,511.140314325638,508.0439146980481
Topology_B_fix_duration_5s_index_b16.bin,3151.39453125,827.2685546875,895.7548828125,650.3046875,794.89453125,1274.6552734375,664.828125,1325.6552734375,1325.1650390625,943.6689453125,1261.337890625,2553.7815044148715,1276.8907522074358,1640.7280349500927
Topology_B_fix_duration_5s_index_b13.bin,2571.9169921875,988.23046875,890.6904296875,813.5078125,793.4697265625,1354.5087890625,815.625,1352.4345703125,1352.0576171875,998.833984375,1334.1318359375,2172.225877915757,1086.1129389578784,1464.8024222979852
Topology_A_fix_duration_5s_index_b3.bin,434.94140625,150.2158203125,146.505859375,114.76953125,127.5859375,231.462890625,121.052734375,233.982421875,233.8037109375,150.2646484375,226.154296875,233.93122705223135,116.96561352611567,149.14187673273713
Topology_A_fix_duration_5s_index_b64.bin,8440.646484375,1418.5341796875,1715.8173828125,1173.66015625,1396.1748046875,2020.7919921875,1183.6826171875,2077.8349609375,2076.326171875,1371.0126953125,2104.7041015625,6407.521002748,3203.760501374,4433.558381870925
Topology_A_fix_duration_5s_index_b13.bin,1747.3447265625,709.05078125,642.6884765625,581.359375,569.7587890625,948.4033203125,583.224609375,951.3193359375,951.0888671875,708.5400390625,933.7490234375,1480.827773241687,740.4138866208435,1000.4851442490719
Topology_B_fix_duration_5s_index_b1.bin,253.8076171875,40.3037109375,41.8046875,30.43359375,37.255859375,68.9609375,29.4208984375,64.072265625,64.01953125,39.744140625,66.806640625,73.45431907811582,36.72715953905791,58.04452810596927
Topology_B_fix_duration_5s_index_b12.bin,2378.724609375,787.265625,746.5283203125,678.890625,662.1044921875,1134.859375,686.896484375,1160.826171875,1160.4658203125,840.5830078125,1100.033203125,1957.348135092216,978.674067546108,1121.5599009158948
Topology_A_fix_duration_5s_index_b16.bin,2141.05078125,590.978515625,644.162109375,460.9609375,574.724609375,894.4794921875,473.6318359375,931.73828125,931.3916015625,661.2568359375,883.224609375,1721.520216601747,860.7601083008735,1114.3231707884258
Topology_A_fix_duration_5s_index_b12.bin,1616.109375,564.267578125,544.1884765625,489.23046875,480.5146484375,805.7861328125,494.3056640625,822.6142578125,822.3544921875,602.7548828125,780.2568359375,1333.33306762461,666.666533812305,772.9997872588302
