File Name,Original Size (KB),Start Time,End Time,Delta Time (s),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB)
powerLedvanceSmart+Plug2.pcapng,51.953125,2023-10-29 17:40:54.000000,2023-10-29 17:45:58.414416,304.4144160747528,10.2626953125,12.2431640625,8.734375,11.0146484375,14.5205078125,8.9609375,13.8095703125,12.826171875,9.564453125,13.3447265625,37.1502177432512,18.5751088716256,18.880465431972567
powerSmartSocket1.pcapng,68.0546875,2023-10-29 15:12:36.000000,2023-10-29 15:17:38.362019,302.36201906204224,20.8935546875,22.287109375,17.87109375,20.40234375,27.787109375,18.2470703125,25.0185546875,24.9833984375,19.4482421875,26.193359375,48.72655640612188,24.36327820306094,28.523647396617072
powerMoesBulb1.pcapng,82.23828125,2023-10-29 16:07:20.000000,2023-10-29 16:12:20.928835,300.92883491516113,14.5419921875,17.3564453125,12.26171875,15.984375,20.779296875,12.63671875,18.0283203125,17.9990234375,13.4189453125,18.5595703125,59.230551493201496,29.615275746600748,31.6968381320464
powerPowerPlug6.pcapng,63.43359375,2023-10-29 18:03:31.000000,2023-10-29 18:08:26.330906,295.33090591430664,12.9697265625,15.345703125,10.984375,13.8916015625,18.0703125,11.236328125,17.212890625,16.130859375,11.8984375,16.6748046875,45.83291686768202,22.91645843384101,24.11723152526469
powerMoesBulb3.pcapng,78.98828125,2023-10-29 16:18:23.000000,2023-10-29 16:23:22.768817,299.768816947937,13.5751953125,16.1787109375,11.359375,14.986328125,19.4580078125,11.6923828125,16.8349609375,16.802734375,12.4423828125,17.3994140625,56.68990273701278,28.34495136850639,30.183634973010975
powerLedvanceZ3Plug1.pcapng,85.66796875,2023-10-29 15:49:37.000000,2023-10-29 15:55:41.323548,364.323548078537,22.1962890625,24.5595703125,18.8671875,22.1865234375,30.1904296875,19.240234375,26.7255859375,26.6943359375,20.755859375,27.990234375,61.58652907356293,30.793264536781464,35.879312047959786
powerPhilipsLamp2-1.pcapng,14.59375,2023-10-31 16:49:47.000000,2023-10-31 16:54:41.550676,294.5506761074066,4.357421875,5.0576171875,3.7890625,4.443359375,5.748046875,3.8291015625,5.603515625,5.2099609375,4.0205078125,5.4599609375,10.092367962210517,5.0461839811052585,4.641746207613255
powerLedvanceZ3Plug3.pcapng,136.76953125,2023-10-29 16:01:30.000000,2023-10-29 16:06:38.151756,308.1517560482025,27.990234375,31.74609375,23.28515625,29.0703125,39.6162109375,23.86328125,34.6376953125,34.6005859375,25.6962890625,36.1748046875,94.43079267180212,47.21539633590106,56.7713443494973
powerPhilipsLamp2-2.pcapng,19.23046875,2023-10-31 16:55:17.000000,2023-10-31 17:00:16.317871,299.31787109375,4.4755859375,5.36328125,3.81640625,4.7490234375,6.0458984375,3.9013671875,5.59765625,5.40234375,4.078125,5.6259765625,13.369542629198145,6.684771314599073,5.937371804580604
powerMoesBulb2.pcapng,74.23046875,2023-10-29 16:12:50.000000,2023-10-29 16:17:51.081329,301.08132910728455,13.2021484375,15.7626953125,11.1171875,14.474609375,18.90234375,11.423828125,16.375,16.33984375,12.1533203125,16.89453125,53.33138505858274,26.66569252929137,28.172846689050274
powerPowerPlug1.pcapng,80.44140625,2023-10-29 16:34:18.000000,2023-10-29 16:39:21.290358,303.29035806655884,16.5,19.275390625,13.890625,17.4541015625,22.978515625,14.2626953125,20.1357421875,20.1005859375,15.2041015625,20.845703125,57.40638910540611,28.703194552703057,31.836203189206838
powerPhilipsLamp1-1.pcapng,72.42578125,2023-10-29 16:56:35.000000,2023-10-29 17:01:37.168222,302.168221950531,14.28125,16.951171875,12.07421875,15.3330078125,20.064453125,12.4140625,17.525390625,17.4931640625,13.26953125,18.1748046875,52.03088568118514,26.01544284059257,28.17668257399974
powerPowerPlug3.pcapng,92.6953125,2023-10-29 16:49:55.000000,2023-10-29 16:55:54.155905,359.15590500831604,17.46484375,20.6845703125,14.67578125,18.91015625,24.5693359375,15.1044921875,21.5322265625,21.5048828125,16.0341796875,22.1982421875,66.47350423852212,33.23675211926106,36.7626547046728
powerSmartSocket2.pcapng,90.04296875,2023-10-29 15:18:14.000000,2023-10-29 15:23:21.424328,307.4243280887604,25.6494140625,27.798828125,22.0234375,25.29296875,34.642578125,22.390625,30.859375,30.8251953125,24.08984375,32.2783203125,64.32338902676649,32.161694513383246,38.73007775801929
powerLedvanceBulb2.pcapng,81.52734375,2023-10-29 15:37:47.000000,2023-10-29 15:42:51.343003,304.3430030345917,20.8623046875,23.0390625,17.7734375,20.8271484375,28.5830078125,18.103515625,25.287109375,25.2548828125,19.5009765625,26.7431640625,57.578356320242214,28.789178160121107,33.49391652298583
powerPowerPlug4.pcapng,63.2734375,2023-10-29 17:52:16.000000,2023-10-29 17:57:21.432779,305.4327790737152,14.123046875,16.5048828125,11.98828125,14.646484375,19.41015625,12.310546875,18.6298828125,17.2314453125,12.9873046875,18.0419921875,45.201695649320065,22.600847824660033,24.88672164625221
powerLedvanceSmart+Plug3.pcapng,52.78125,2023-10-29 17:46:25.000000,2023-10-29 17:51:21.429497,296.4294970035553,10.6904296875,12.6533203125,9.05859375,11.4326171875,14.9501953125,9.34375,14.1962890625,13.228515625,9.9130859375,13.8056640625,38.091972342183844,19.045986171091922,19.612661980782864
powerPhilipsLamp1-3.pcapng,87.3125,2023-10-29 17:07:47.000000,2023-10-29 17:12:51.248956,304.2489559650421,15.8740234375,18.8408203125,13.34765625,17.3408203125,22.54296875,13.7607421875,19.6767578125,19.64453125,14.634765625,20.275390625,62.69393500816467,31.346967504082336,34.02674508994345
powerLedvanceSmart+Plug1.pcapng,59.46484375,2023-10-29 17:35:18.000000,2023-10-29 17:40:21.879978,303.87997794151306,11.513671875,13.787109375,9.7578125,12.4482421875,16.208984375,10.056640625,15.4306640625,14.349609375,10.6337890625,14.9521484375,42.71601161731829,21.358005808659144,22.270534558528418
powerPhilipsLamp3-3.pcapng,19.70703125,2023-10-31 16:23:12.000000,2023-10-31 16:28:04.177623,292.17762303352356,5.43359375,6.154296875,4.625,5.5283203125,7.228515625,4.7041015625,6.9462890625,6.5087890625,4.9443359375,6.8515625,13.502159866635687,6.751079933317843,6.533276725971126
powerPowerPlug2.pcapng,86.61328125,2023-10-29 16:39:50.000000,2023-10-29 16:44:51.064407,301.06440711021423,16.552734375,19.6162109375,13.93359375,17.7724609375,23.1259765625,14.2744140625,20.25390625,20.2265625,15.232421875,20.79296875,62.33798595315246,31.16899297657623,34.66016389024278
powerLedvanceBulb1.pcapng,87.328125,2023-10-29 15:32:07.000000,2023-10-29 15:37:11.325748,304.32574796676636,21.380859375,23.7529296875,18.12109375,21.4501953125,29.4306640625,18.416015625,26.0302734375,25.998046875,19.76171875,27.2138671875,61.36655712706294,30.68327856353147,35.70447302571399
powerSmartSocket3.pcapng,133.046875,2023-10-29 15:24:11.000000,2023-10-29 15:29:16.309136,305.3091359138489,30.6962890625,33.81640625,25.796875,31.001953125,42.759765625,26.3349609375,37.8046875,37.7744140625,28.4521484375,39.5830078125,90.85982045259861,45.429910226299306,55.35877425580754
powerLedvanceBulb3.pcapng,79.46875,2023-10-29 15:43:08.000000,2023-10-29 15:48:16.190006,308.19000601768494,20.9677734375,23.08203125,17.875,20.82421875,28.615234375,18.224609375,25.46484375,25.4326171875,19.6767578125,26.7197265625,56.213317067459414,28.106658533729707,32.83979543453016
powerPhilipsLamp3-2.pcapng,29.43359375,2023-10-31 16:17:32.000000,2023-10-31 16:22:43.925765,311.9257650375366,6.5029296875,7.681640625,5.5546875,6.91796875,8.908203125,5.60546875,8.478515625,7.919921875,5.8251953125,8.2666015625,20.749536078403043,10.374768039201522,10.146119067409925
powerPhilipsLamp3-1.pcapng,73.12890625,2023-10-31 16:11:14.000000,2023-10-31 16:16:26.136488,312.13648796081543,13.6015625,16.0322265625,11.453125,14.6640625,18.9423828125,11.60546875,16.7041015625,16.6708984375,12.2333984375,17.03515625,52.21072297044808,26.10536148522404,28.173809385182643
powerPowerPlug5.pcapng,50.07421875,2023-10-29 17:57:54.000000,2023-10-29 18:02:59.914789,305.9147889614105,11.4404296875,13.2705078125,9.73828125,11.9482421875,15.70703125,9.9541015625,14.966796875,14.0224609375,10.4970703125,14.64453125,35.52580649808445,17.762903249042225,18.6717608768112
