File Name,Original Size (KB),Start Time,End Time,Delta Time (s),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB),Topology
physicalInteraction5.pcapng,299.421875,2023-11-28 16:39:41.000000,2023-11-28 16:55:55.603712,974.6037120819092,112.376953125,109.470703125,94.00390625,104.20703125,147.7275390625,96.4892578125,134.03125,133.9892578125,104.4443359375,140.5224609375,214.95186188074496,107.47593094037248,149.09540767319464,Topology_B
physicalInteraction4.pcapng,503.875,2023-11-28 16:14:22.000000,2023-11-28 16:38:11.285667,1429.2856669425964,196.224609375,186.6474609375,163.1875,179.0927734375,255.5673828125,169.1005859375,235.064453125,234.97265625,183.3330078125,244.85546875,359.9758793444318,179.9879396722159,257.0528238419396,Topology_B
physicalInteraction1.pcapng,193.03515625,2023-10-28 13:12:01.000000,2023-10-28 13:15:11.509140,190.50914001464844,66.9296875,65.1884765625,55.41015625,61.21484375,91.23046875,57.5556640625,82.27734375,82.2216796875,62.3583984375,86.7216796875,132.56350351947407,66.28175175973703,89.20252438282898,Topology_B
physicalInteraction7.pcapng,801.4453125,2023-11-28 17:31:28.000000,2023-11-28 18:20:19.033631,2931.033631086349,308.248046875,295.109375,256.5,283.1123046875,401.6220703125,265.041015625,365.78515625,365.6357421875,287.1845703125,386.1357421875,580.4786441367162,290.2393220683581,421.986586928232,Topology_B
physicalInteraction6.pcapng,412.0703125,2023-11-28 17:04:40.000000,2023-11-28 17:27:10.227744,1350.227744102478,150.0986328125,146.96484375,125.02734375,139.4345703125,197.001953125,128.7734375,179.0673828125,178.9833984375,138.8251953125,188.03515625,298.63859085051,149.319295425255,209.2880966828195,Topology_B
physicalInteraction2.pcapng,220.9140625,2023-10-28 13:20:49.000000,2023-10-28 13:24:20.159847,211.1598470211029,83.068359375,80.1904296875,69.07421875,75.6181640625,112.3759765625,71.822265625,101.5107421875,101.46484375,77.8173828125,106.58984375,152.58711853304823,76.29355926652413,106.92325502368918,Topology_B
physicalInteraction3.pcapng,199.6875,2023-10-28 13:29:04.000000,2023-10-28 13:32:14.884892,190.88489198684687,72.7548828125,70.1328125,60.2421875,66.15234375,99.7978515625,62.7373046875,89.671875,89.625,67.9658203125,94.44921875,135.65329736139734,67.82664868069867,93.19407409711948,Topology_B
physicalInteraction1.pcapng,200.1953125,2023-10-13 18:01:09.000000,2023-10-13 18:03:40.664476,151.66447591781616,69.8779296875,69.3681640625,58.6015625,64.6005859375,93.595703125,60.3828125,84.8623046875,84.8173828125,65.3095703125,88.447265625,141.81984173641823,70.90992086820913,95.9690975681193,Topology_A
physicalInteraction2.pcapng,178.91796875,2023-10-13 18:09:11.000000,2023-10-13 18:12:16.215773,185.2157731056213,62.29296875,62.859375,52.59765625,58.32421875,82.4609375,54.0400390625,75.1767578125,75.13671875,58.5419921875,78.4248046875,128.15638814322332,64.07819407161166,86.2846595315206,Topology_A
physicalInteraction3.pcapng,197.32421875,2023-10-13 18:18:43.000000,2023-10-13 18:22:13.416538,210.4165380001068,72.39453125,71.6875,60.76953125,67.2041015625,96.3876953125,62.859375,87.935546875,87.8955078125,68.09375,91.2568359375,141.0608059628035,70.53040298140175,95.63641727783614,Topology_A
