File Name,Original Size (KB),Start Time,End Time,Delta Time (s),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB),Topology
AppInteraction2.pcapng,225.4375,2023-10-13 17:00:18.000000,2023-10-13 17:04:44.983444,266.9834439754486,81.9560546875,78.689453125,68.0234375,74.3544921875,111.705078125,70.654296875,101.04296875,100.982421875,76.4443359375,105.5908203125,154.9982402860273,77.49912014301366,105.269847387344,Topology_A
AppInteraction5.pcapng,172.90625,2023-10-13 16:18:42.000000,2023-10-13 16:21:37.258683,175.2586829662323,61.7529296875,59.669921875,51.45703125,56.53515625,83.5390625,53.2783203125,75.697265625,75.65234375,57.4482421875,78.6748046875,118.51441610908596,59.25720805454298,78.88090287356114,Topology_A
AppInteraction4.pcapng,119.76953125,2023-10-13 16:11:04.000000,2023-10-13 16:13:13.372585,129.37258505821228,44.16015625,42.8837890625,36.99609375,40.5966796875,59.056640625,38.0673828125,53.982421875,53.958984375,40.9306640625,56.0458984375,82.10979889383476,41.05489944691738,53.2977730903665,Topology_A
AppInteraction1.pcapng,155.79296875,2023-10-13 16:44:26.000000,2023-10-13 16:48:01.693869,215.6938691139221,57.296875,55.115234375,47.83984375,52.2724609375,77.66796875,49.533203125,70.15234375,70.12890625,53.3154296875,73.2783203125,106.02096480651302,53.01048240325651,70.79732259399269,Topology_A
AppInteraction6.pcapng,211.4375,2023-10-13 16:24:58.000000,2023-10-13 16:28:05.227050,187.22705006599423,73.19140625,71.15625,60.484375,66.9931640625,98.763671875,62.9716796875,89.7666015625,89.7265625,68.033203125,92.8759765625,145.81937450483989,72.90968725241994,97.5148988943552,Topology_A
AppInteraction3.pcapng,213.953125,2023-10-13 17:14:43.000000,2023-10-13 17:17:19.284484,156.28448390960693,75.537109375,72.4384765625,62.1953125,68.53125,102.482421875,64.8583984375,93.353515625,93.3173828125,70.1982421875,97.05078125,145.51227564752963,72.75613782376482,98.1947151128211,Topology_A
AppInteraction2.pcapng,165.28125,2023-10-27 18:43:57.000000,2023-10-27 18:46:32.989748,155.98974800109863,57.134765625,54.9052734375,47.34375,52.0166015625,78.6162109375,48.8603515625,70.9384765625,70.88671875,52.7958984375,74.087890625,112.2962023224492,56.1481011612246,72.98044731256252,Topology_B
AppInteraction5.pcapng,187.23046875,2023-10-27 17:02:47.000000,2023-10-27 17:05:41.489613,174.48961305618286,66.9541015625,64.892578125,56.07421875,61.11328125,91.5078125,57.7119140625,82.6083984375,82.572265625,62.81640625,85.869140625,128.48988467767418,64.24494233883709,86.01963679850762,Topology_B
AppInteraction4.pcapng,192.34765625,2023-10-27 16:50:40.000000,2023-10-27 16:53:40.915997,180.91599702835083,65.478515625,62.568359375,54.328125,59.6259765625,90.7802734375,56.2294921875,81.2265625,81.17578125,60.7099609375,84.8447265625,128.88430753437538,64.44215376718769,85.05943131959052,Topology_B
AppInteraction1.pcapng,168.81640625,2023-10-27 18:36:30.000000,2023-10-27 18:39:23.696144,173.6961441040039,57.7431640625,55.509765625,47.8828125,52.712890625,79.6240234375,49.388671875,71.6162109375,71.5634765625,53.447265625,74.8193359375,114.48970019472752,57.24485009736376,74.71995490398228,Topology_B
AppInteraction6.pcapng,148.22265625,2023-10-27 17:33:12.000000,2023-10-27 17:35:45.225464,153.22546410560608,51.3603515625,49.4970703125,42.875,47.0244140625,70.734375,44.1484375,63.78125,63.73828125,47.74609375,66.5615234375,100.40083285898828,50.20041642949413,64.91295221668645,Topology_B
AppInteraction3.pcapng,365.7265625,2023-10-27 18:54:40.000000,2023-10-27 18:58:13.406002,213.4060020446777,102.1298828125,102.73046875,83.42578125,95.9365234375,142.5556640625,86.72265625,127.759765625,127.685546875,94.5966796875,133.40234375,246.49947334325367,123.24973667162683,166.43139142931398,Topology_B
