File Name,Original Size (KB),Start Time,End Time,Delta Time (s),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB),Category
physicalInteraction5.pcapng,299.421875,2023-11-28 16:39:41.000000,2023-11-28 16:55:55.603712,974.6037120819092,112.376953125,109.470703125,94.00390625,104.20703125,147.7275390625,96.4892578125,134.03125,133.9892578125,104.4443359375,140.5224609375,214.95186188074496,107.47593094037248,149.09540767319464,Physical_Interaction
physicalInteraction4.pcapng,503.875,2023-11-28 16:14:22.000000,2023-11-28 16:38:11.285667,1429.2856669425964,196.224609375,186.6474609375,163.1875,179.0927734375,255.5673828125,169.1005859375,235.064453125,234.97265625,183.3330078125,244.85546875,359.9758793444318,179.9879396722159,257.0528238419396,Physical_Interaction
physicalInteraction1.pcapng,193.03515625,2023-10-28 13:12:01.000000,2023-10-28 13:15:11.509140,190.50914001464844,66.9296875,65.1884765625,55.41015625,61.21484375,91.23046875,57.5556640625,82.27734375,82.2216796875,62.3583984375,86.7216796875,132.56350351947407,66.28175175973703,89.20252438282898,Physical_Interaction
physicalInteraction7.pcapng,801.4453125,2023-11-28 17:31:28.000000,2023-11-28 18:20:19.033631,2931.033631086349,308.248046875,295.109375,256.5,283.1123046875,401.6220703125,265.041015625,365.78515625,365.6357421875,287.1845703125,386.1357421875,580.4786441367162,290.2393220683581,421.986586928232,Physical_Interaction
physicalInteraction6.pcapng,412.0703125,2023-11-28 17:04:40.000000,2023-11-28 17:27:10.227744,1350.227744102478,150.0986328125,146.96484375,125.02734375,139.4345703125,197.001953125,128.7734375,179.0673828125,178.9833984375,138.8251953125,188.03515625,298.63859085051,149.319295425255,209.2880966828195,Physical_Interaction
physicalInteraction2.pcapng,220.9140625,2023-10-28 13:20:49.000000,2023-10-28 13:24:20.159847,211.1598470211029,83.068359375,80.1904296875,69.07421875,75.6181640625,112.3759765625,71.822265625,101.5107421875,101.46484375,77.8173828125,106.58984375,152.58711853304823,76.29355926652413,106.92325502368918,Physical_Interaction
physicalInteraction3.pcapng,199.6875,2023-10-28 13:29:04.000000,2023-10-28 13:32:14.884892,190.88489198684687,72.7548828125,70.1328125,60.2421875,66.15234375,99.7978515625,62.7373046875,89.671875,89.625,67.9658203125,94.44921875,135.65329736139734,67.82664868069867,93.19407409711948,Physical_Interaction
scenario1.pcapng,922.12890625,2023-10-28 14:13:59.000000,2023-10-28 14:57:57.398917,2638.3989169597626,322.8291015625,302.6787109375,259.7265625,287.5439453125,442.1552734375,271.62890625,394.357421875,394.2314453125,299.314453125,419.5009765625,631.0581149668018,315.5290574834009,461.5269269302147,Scenario
powerLedvanceSmart+Plug2.pcapng,51.953125,2023-10-29 17:40:54.000000,2023-10-29 17:45:58.414416,304.4144160747528,10.2626953125,12.2431640625,8.734375,11.0146484375,14.5205078125,8.9609375,13.8095703125,12.826171875,9.564453125,13.3447265625,37.1502177432512,18.5751088716256,18.880465431972567,Power
powerSmartSocket1.pcapng,68.0546875,2023-10-29 15:12:36.000000,2023-10-29 15:17:38.362019,302.36201906204224,20.8935546875,22.287109375,17.87109375,20.40234375,27.787109375,18.2470703125,25.0185546875,24.9833984375,19.4482421875,26.193359375,48.72655640612188,24.36327820306094,28.523647396617072,Power
powerMoesBulb1.pcapng,82.23828125,2023-10-29 16:07:20.000000,2023-10-29 16:12:20.928835,300.92883491516113,14.5419921875,17.3564453125,12.26171875,15.984375,20.779296875,12.63671875,18.0283203125,17.9990234375,13.4189453125,18.5595703125,59.230551493201496,29.615275746600748,31.6968381320464,Power
powerPowerPlug6.pcapng,63.43359375,2023-10-29 18:03:31.000000,2023-10-29 18:08:26.330906,295.33090591430664,12.9697265625,15.345703125,10.984375,13.8916015625,18.0703125,11.236328125,17.212890625,16.130859375,11.8984375,16.6748046875,45.83291686768202,22.91645843384101,24.11723152526469,Power
powerMoesBulb3.pcapng,78.98828125,2023-10-29 16:18:23.000000,2023-10-29 16:23:22.768817,299.768816947937,13.5751953125,16.1787109375,11.359375,14.986328125,19.4580078125,11.6923828125,16.8349609375,16.802734375,12.4423828125,17.3994140625,56.68990273701278,28.34495136850639,30.18363497301097,Power
powerLedvanceZ3Plug1.pcapng,85.66796875,2023-10-29 15:49:37.000000,2023-10-29 15:55:41.323548,364.323548078537,22.1962890625,24.5595703125,18.8671875,22.1865234375,30.1904296875,19.240234375,26.7255859375,26.6943359375,20.755859375,27.990234375,61.58652907356293,30.793264536781464,35.879312047959786,Power
powerPhilipsLamp2-1.pcapng,14.59375,2023-10-31 16:49:47.000000,2023-10-31 16:54:41.550676,294.5506761074066,4.357421875,5.0576171875,3.7890625,4.443359375,5.748046875,3.8291015625,5.603515625,5.2099609375,4.0205078125,5.4599609375,10.092367962210515,5.0461839811052585,4.641746207613255,Power
powerLedvanceZ3Plug3.pcapng,136.76953125,2023-10-29 16:01:30.000000,2023-10-29 16:06:38.151756,308.1517560482025,27.990234375,31.74609375,23.28515625,29.0703125,39.6162109375,23.86328125,34.6376953125,34.6005859375,25.6962890625,36.1748046875,94.43079267180212,47.21539633590106,56.7713443494973,Power
powerPhilipsLamp2-2.pcapng,19.23046875,2023-10-31 16:55:17.000000,2023-10-31 17:00:16.317871,299.31787109375,4.4755859375,5.36328125,3.81640625,4.7490234375,6.0458984375,3.9013671875,5.59765625,5.40234375,4.078125,5.6259765625,13.369542629198143,6.684771314599073,5.937371804580604,Power
powerMoesBulb2.pcapng,74.23046875,2023-10-29 16:12:50.000000,2023-10-29 16:17:51.081329,301.08132910728455,13.2021484375,15.7626953125,11.1171875,14.474609375,18.90234375,11.423828125,16.375,16.33984375,12.1533203125,16.89453125,53.33138505858274,26.66569252929137,28.172846689050274,Power
powerPowerPlug1.pcapng,80.44140625,2023-10-29 16:34:18.000000,2023-10-29 16:39:21.290358,303.29035806655884,16.5,19.275390625,13.890625,17.4541015625,22.978515625,14.2626953125,20.1357421875,20.1005859375,15.2041015625,20.845703125,57.40638910540611,28.703194552703057,31.83620318920684,Power
powerPhilipsLamp1-1.pcapng,72.42578125,2023-10-29 16:56:35.000000,2023-10-29 17:01:37.168222,302.168221950531,14.28125,16.951171875,12.07421875,15.3330078125,20.064453125,12.4140625,17.525390625,17.4931640625,13.26953125,18.1748046875,52.03088568118514,26.01544284059257,28.17668257399974,Power
powerPowerPlug3.pcapng,92.6953125,2023-10-29 16:49:55.000000,2023-10-29 16:55:54.155905,359.15590500831604,17.46484375,20.6845703125,14.67578125,18.91015625,24.5693359375,15.1044921875,21.5322265625,21.5048828125,16.0341796875,22.1982421875,66.47350423852212,33.23675211926106,36.7626547046728,Power
powerSmartSocket2.pcapng,90.04296875,2023-10-29 15:18:14.000000,2023-10-29 15:23:21.424328,307.4243280887604,25.6494140625,27.798828125,22.0234375,25.29296875,34.642578125,22.390625,30.859375,30.8251953125,24.08984375,32.2783203125,64.32338902676649,32.161694513383246,38.73007775801929,Power
powerLedvanceBulb2.pcapng,81.52734375,2023-10-29 15:37:47.000000,2023-10-29 15:42:51.343003,304.3430030345917,20.8623046875,23.0390625,17.7734375,20.8271484375,28.5830078125,18.103515625,25.287109375,25.2548828125,19.5009765625,26.7431640625,57.57835632024221,28.789178160121107,33.49391652298583,Power
powerPowerPlug4.pcapng,63.2734375,2023-10-29 17:52:16.000000,2023-10-29 17:57:21.432779,305.4327790737152,14.123046875,16.5048828125,11.98828125,14.646484375,19.41015625,12.310546875,18.6298828125,17.2314453125,12.9873046875,18.0419921875,45.20169564932007,22.600847824660036,24.88672164625221,Power
powerLedvanceSmart+Plug3.pcapng,52.78125,2023-10-29 17:46:25.000000,2023-10-29 17:51:21.429497,296.4294970035553,10.6904296875,12.6533203125,9.05859375,11.4326171875,14.9501953125,9.34375,14.1962890625,13.228515625,9.9130859375,13.8056640625,38.09197234218384,19.04598617109192,19.612661980782864,Power
powerPhilipsLamp1-3.pcapng,87.3125,2023-10-29 17:07:47.000000,2023-10-29 17:12:51.248956,304.2489559650421,15.8740234375,18.8408203125,13.34765625,17.3408203125,22.54296875,13.7607421875,19.6767578125,19.64453125,14.634765625,20.275390625,62.69393500816467,31.346967504082336,34.02674508994345,Power
powerLedvanceSmart+Plug1.pcapng,59.46484375,2023-10-29 17:35:18.000000,2023-10-29 17:40:21.879978,303.87997794151306,11.513671875,13.787109375,9.7578125,12.4482421875,16.208984375,10.056640625,15.4306640625,14.349609375,10.6337890625,14.9521484375,42.71601161731829,21.358005808659144,22.270534558528414,Power
