Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.333333333333336,3.5000000000000004,52,45,45.0,-1.7142857142857189,0.8571428571428543,3.111111111111112,9,0.027388625,0.0370879614350898,0.116524,0.00573,0.0130135,6.629993183244386,2.541586711850394,0.0242641875,47.333333333333336,3.5000000000000004,52.0,45.0,45.0,-1.7142857142857189,0.8571428571428543,3.111111111111112,9.0,0.027388625,0.0370879614350898,0.116524,0.00573,0.0130135,6.629993183244386,2.541586711850394,0.0242641875
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,52.0,0.0,52.0,52.0,52.0,-1.0,-1.0,0.0,2.0,0.006711,-1.0,0.006711,0.006711,0.006711,-1.0,-1.0,0.0,49.66666666666666,4.041451884327381,52,45,52.0,-1.0,-1.7320508075688723,3.111111111111112,3,0.016152,0.0133515902423643,0.025593,0.006711,0.016152,-1.0,-1.0,0.009441,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,63.0,3.6742346141747673,66.0,57.0,63.0,2.0,-1.3608276348795434,2.4,5.0,0.0913482499999999,0.092024133763468,0.224128,0.0182,0.0615325,2.5218257287681105,1.5730004557103523,0.0663898749999999,53.88235294117647,6.954156607213204,66,45,52.0,-0.6724799375907087,0.5802898488156244,5.404844290657439,17,0.0622335625,0.1440810057247745,0.579079,0.003795,0.01609,12.84773775666659,3.5138994556819343,0.078880109375,50.083333333333336,3.4498572653828963,54.0,45.0,50.0,-0.9895022003281158,-0.530691058051163,2.5972222222222228,12.0,0.0905215454545454,0.171928226130187,0.586873,0.003904,0.025693,8.63208481218253,2.879778291334488,0.1058652561983471
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,52.5,10.606601717798211,60.0,45.0,52.5,-1.0,-1.0,7.5,2.0,0.058049,-1.0,0.058049,0.058049,0.058049,-1.0,-1.0,0.0,52.5,10.606601717798211,60,45,52.5,-1.0,-1.0,7.5,2,0.058049,-1.0,0.058049,0.058049,0.058049,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,64.5,2.1213203435596424,66.0,63.0,64.5,-1.0,-1.0,1.5,2.0,0.071905,-1.0,0.071905,0.071905,0.071905,-1.0,-1.0,0.0,55.0,7.899367063252599,66,45,52.0,-1.0401257396449708,0.4637664649746118,6.333333333333333,6,0.0347964,0.0335790923686153,0.091909,0.010168,0.026606,3.1515225170008403,1.728082961479817,0.02284504,50.25,3.5,52.0,45.0,52.0,4.0,-2.0,2.625,4.0,0.057994,0.0606310905476719,0.126383,0.010825,0.036774,-1.0,1.3820211090977927,0.0455926666666666
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.5,0.7071067811865476,54,53,53.5,-1.0,-1.0,0.5,2,0.04551,-1.0,0.04551,0.04551,0.04551,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.5,0.7071067811865476,54,53,53.5,-1.0,-1.0,0.5,2,0.062982,-1.0,0.062982,0.062982,0.062982,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,64.5,2.1213203435596424,66.0,63.0,64.5,-1.0,-1.0,1.5,2.0,0.106974,-1.0,0.106974,0.106974,0.106974,-1.0,-1.0,0.0,49.76923076923077,7.3502136721078415,66,45,45.0,1.0116218435707212,1.4439124016845175,5.869822485207101,13,0.0180745833333333,0.0189710144045562,0.074548,0.003762,0.013698,8.46621084077548,2.7535210450396828,0.0113530416666666,47.09090909090909,3.618136134933164,54.0,45.0,45.0,-0.3227430555555619,1.27290831074288,3.041322314049588,11.0,0.0216894999999999,0.027940993612532,0.098397,0.003762,0.013698,8.153233330697834,2.7672083777432737,0.0164869
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.0,0.0,45,45,45.0,-1.0,-1.0,0.0,2,0.040077,-1.0,0.040077,0.040077,0.040077,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,63.75,1.5,66.0,63.0,63.0,4.0,2.0,1.125,4.0,0.0574366666666666,0.0118810856546585,0.068823,0.045116,0.058371,-1.0,-0.3516932862212803,0.0082137777777777,57.5,7.309485031694876,66,45,58.5,-0.8650862192227402,-0.5326022437232562,6.25,8,0.0246157142857142,0.0201259652498481,0.057043,0.004989,0.019553,-0.7995219906079658,0.8373060657020684,0.0158202448979591,51.25,4.272001872658765,54.0,45.0,53.0,2.919121786451491,-1.728361050375736,3.125,4.0,0.0472526666666666,0.0162494750787012,0.063813,0.031333,0.046612,-1.0,0.1771453179634537,0.0110402222222222
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,51.0,8.48528137423857,57.0,45.0,51.0,-1.0,-1.0,6.0,2.0,0.125899,-1.0,0.125899,0.125899,0.125899,-1.0,-1.0,0.0,51.0,8.48528137423857,57,45,51.0,-1.0,-1.0,6.0,2,0.125899,-1.0,0.125899,0.125899,0.125899,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,65.0,1.7320508075688772,66.0,63.0,66.0,-1.0,-1.7320508075688774,1.3333333333333333,3.0,0.0295925,0.0114431090399419,0.037684,0.021501,0.0295925,-1.0,-1.0,0.0080915,50.53333333333333,8.131654783856083,66,45,45.0,-0.0697738331358857,1.2048585606681086,6.64,15,0.0160160714285714,0.0145346861227483,0.052832,0.004368,0.009948,2.065457632598143,1.53866779983795,0.0111625204081632,46.91666666666666,3.5021638332824345,54.0,45.0,45.0,0.129635073923354,1.40885280894975,2.8749999999999987,12.0,0.0203840909090909,0.0325879039843146,0.116385,0.004398,0.007702,9.68799976436122,3.0549611489291064,0.0184424958677685
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,63.0,0.0,63.0,63.0,63.0,-1.0,-1.0,0.0,2.0,0.172785,-1.0,0.172785,0.172785,0.172785,-1.0,-1.0,0.0,55.4,7.700649323271382,63,45,54.0,-1.420820192862771,-0.2636601208938093,6.08,5,0.04319625,0.0371212105978509,0.096232,0.011646,0.0324535,2.298282583603415,1.4627357191431318,0.026517875,50.333333333333336,4.725815626252609,54.0,45.0,52.0,-1.0,-1.389636138706497,3.555555555555555,3.0,0.018605,0.0098415121805543,0.025564,0.011646,0.018605,-1.0,-1.0,0.006959
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.5,3.5355339059327378,50,45,47.5,-1.0,-1.0,2.5,2,0.007121,-1.0,0.007121,0.007121,0.007121,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_A\4-Group_dataset\idel1_group.csv,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.5,16.263455967290593,77,54,65.5,-1.0,-1.0,11.5,2,0.106228,-1.0,0.106228,0.106228,0.106228,-1.0,-1.0,0.0,65.5,16.263455967290593,77.0,54.0,65.5,-1.0,-1.0,11.5,2.0,0.106228,-1.0,0.106228,0.106228,0.106228,-1.0,-1.0,0.0
