Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,180.0,17.0,136.0,210.0,180.0,176.0,75.0,18.0,34.0,51.0,71.0,51.0,49.0,50.0,90.0,154.0,88.0,63.0,66.0,67.0,40.0,49.0,33.0,146.0,70.0,34.0,0.0,62.0,2.0,0.0,0.0,29.0,88.0,1.0,129.0,36.0,120.0,150.0,123.0,54.0,201.0,39.0,31.0,47.0,64.0,46.0,46.0,47.0,25.0,65.0,81.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,152.0,77.0,130.0,150.0,156.0,80.0,121.0,72.0,23.0,52.0,68.0,49.0,52.0,52.0,45.0,38.0,86.0,61.0,53.0,57.0,40.0,59.0,33.0,141.0,50.0,6.0,2.0,63.0,3.0,0.0,2.0,21.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,152.0,77.0,130.0,150.0,156.0,80.0,121.0,72.0,23.0,52.0,68.0,49.0,52.0,52.0,45.0,38.0,86.0,61.0,53.0,57.0,40.0,59.0,33.0,141.0,50.0,6.0,2.0,63.0,3.0,0.0,2.0,21.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,152.0,77.0,130.0,150.0,156.0,80.0,121.0,72.0,23.0,52.0,68.0,49.0,52.0,52.0,45.0,38.0,86.0,61.0,53.0,57.0,40.0,59.0,33.0,141.0,50.0,6.0,2.0,63.0,3.0,0.0,2.0,21.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,152.0,77.0,130.0,150.0,156.0,80.0,121.0,72.0,23.0,52.0,68.0,49.0,52.0,52.0,45.0,38.0,86.0,61.0,53.0,57.0,40.0,59.0,33.0,141.0,50.0,6.0,2.0,63.0,3.0,0.0,2.0,21.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,152.0,77.0,130.0,150.0,156.0,80.0,121.0,72.0,23.0,52.0,68.0,49.0,52.0,52.0,45.0,38.0,86.0,61.0,53.0,57.0,40.0,59.0,33.0,141.0,50.0,6.0,2.0,63.0,3.0,0.0,2.0,21.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,0.0,0.0,0.0,0.0,0.0,80.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,38.0,0.0,49.0,0.0,22.0,87.0,49.0,41.0,112.0,0.0,0.0,255.0,0.0,248.0,255.0,255.0,21.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,179.0,19.0,136.0,210.0,180.0,66.0,120.0,21.0,40.0,51.0,70.0,50.0,49.0,50.0,59.0,127.0,88.0,76.0,60.0,67.0,40.0,63.0,34.0,137.0,63.0,37.0,1.0,63.0,2.0,0.0,0.0,23.0,84.0,1.0,134.0,41.0,120.0,150.0,133.0,28.0,171.0,48.0,31.0,48.0,65.0,50.0,46.0,47.0,42.0,107.0,82.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,179.0,19.0,136.0,210.0,180.0,66.0,120.0,21.0,40.0,51.0,70.0,50.0,49.0,50.0,59.0,127.0,88.0,76.0,60.0,67.0,40.0,63.0,34.0,137.0,63.0,37.0,1.0,63.0,2.0,0.0,0.0,23.0,84.0,1.0,134.0,41.0,120.0,150.0,133.0,28.0,171.0,48.0,31.0,48.0,65.0,50.0,46.0,47.0,42.0,107.0,82.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,179.0,19.0,136.0,210.0,180.0,66.0,120.0,21.0,40.0,51.0,70.0,50.0,49.0,50.0,59.0,127.0,88.0,76.0,60.0,67.0,40.0,63.0,34.0,137.0,63.0,37.0,1.0,63.0,2.0,0.0,0.0,23.0,84.0,1.0,134.0,41.0,120.0,150.0,133.0,28.0,171.0,48.0,31.0,48.0,65.0,50.0,46.0,47.0,42.0,107.0,82.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,179.0,19.0,136.0,210.0,180.0,66.0,120.0,21.0,40.0,51.0,70.0,50.0,49.0,50.0,59.0,127.0,88.0,76.0,60.0,67.0,40.0,63.0,34.0,137.0,63.0,37.0,1.0,63.0,2.0,0.0,0.0,23.0,84.0,1.0,134.0,41.0,120.0,150.0,133.0,28.0,171.0,48.0,31.0,48.0,65.0,50.0,46.0,47.0,42.0,107.0,82.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,179.0,19.0,136.0,210.0,180.0,66.0,120.0,21.0,40.0,51.0,70.0,50.0,49.0,50.0,59.0,127.0,88.0,78.0,62.0,67.0,40.0,63.0,34.0,134.0,65.0,34.0,1.0,62.0,2.0,0.0,0.0,26.0,88.0,1.0,133.0,42.0,120.0,150.0,123.0,28.0,178.0,49.0,27.0,47.0,65.0,50.0,46.0,47.0,45.0,114.0,82.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,154.0,40.0,122.0,177.0,153.0,80.0,119.0,37.0,17.0,57.0,0.0,53.0,57.0,57.0,45.0,38.0,85.0,77.0,20.0,44.0,94.0,77.0,41.0,138.0,16.0,3.0,5.0,67.0,8.0,2.0,5.0,21.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,154.0,40.0,122.0,177.0,153.0,80.0,119.0,37.0,17.0,57.0,0.0,53.0,57.0,57.0,45.0,38.0,85.0,77.0,20.0,44.0,94.0,77.0,41.0,138.0,16.0,3.0,5.0,67.0,8.0,2.0,5.0,21.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,154.0,40.0,122.0,177.0,153.0,80.0,119.0,37.0,17.0,57.0,0.0,53.0,57.0,57.0,45.0,38.0,85.0,77.0,20.0,44.0,94.0,77.0,41.0,138.0,16.0,3.0,5.0,67.0,8.0,2.0,5.0,21.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,154.0,40.0,122.0,177.0,153.0,80.0,119.0,37.0,17.0,57.0,0.0,53.0,57.0,57.0,45.0,38.0,85.0,77.0,20.0,44.0,94.0,77.0,41.0,138.0,16.0,3.0,5.0,67.0,8.0,2.0,5.0,21.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,154.0,40.0,122.0,177.0,153.0,80.0,119.0,37.0,17.0,57.0,0.0,53.0,57.0,57.0,45.0,38.0,85.0,77.0,20.0,44.0,94.0,77.0,41.0,138.0,16.0,3.0,5.0,67.0,8.0,2.0,5.0,21.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,0.0,0.0,0.0,0.0,0.0,80.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,38.0,0.0,42.0,57.0,38.0,40.0,42.0,41.0,112.0,48.0,0.0,3.0,0.0,3.0,4.0,3.0,21.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,0.0,0.0,0.0,0.0,0.0,80.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,38.0,0.0,44.0,41.0,38.0,40.0,49.0,41.0,125.0,34.0,3.0,35.0,110.0,62.0,4.0,35.0,21.0,33.0,63.0,133.0,46.0,115.0,150.0,133.0,41.0,148.0,43.0,10.0,99.0,0.0,96.0,99.0,99.0,22.0,30.0,80.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,175.0,26.0,136.0,190.0,172.0,156.0,102.0,25.0,75.0,56.0,93.0,104.0,49.0,50.0,154.0,206.0,103.0,63.0,59.0,67.0,40.0,63.0,34.0,142.0,63.0,85.0,3.0,75.0,62.0,0.0,0.0,147.0,203.0,9.0,130.0,38.0,120.0,150.0,123.0,42.0,191.0,42.0,62.0,50.0,81.0,96.0,46.0,46.0,100.0,173.0,91.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,175.0,26.0,136.0,190.0,172.0,156.0,102.0,25.0,75.0,56.0,93.0,104.0,49.0,50.0,154.0,206.0,103.0,63.0,59.0,67.0,40.0,63.0,34.0,142.0,63.0,85.0,3.0,75.0,62.0,0.0,0.0,147.0,203.0,9.0,130.0,38.0,120.0,150.0,123.0,42.0,191.0,42.0,62.0,50.0,81.0,96.0,46.0,46.0,100.0,173.0,91.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,175.0,26.0,136.0,190.0,172.0,156.0,102.0,25.0,75.0,56.0,93.0,104.0,49.0,50.0,154.0,206.0,103.0,63.0,59.0,67.0,40.0,63.0,34.0,142.0,63.0,85.0,3.0,75.0,62.0,0.0,0.0,147.0,203.0,9.0,130.0,38.0,120.0,150.0,123.0,42.0,191.0,42.0,62.0,50.0,81.0,96.0,46.0,46.0,100.0,173.0,91.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,163.0,67.0,136.0,150.0,172.0,96.0,109.0,65.0,116.0,59.0,120.0,200.0,49.0,49.0,219.0,243.0,115.0,65.0,62.0,102.0,40.0,63.0,41.0,148.0,66.0,110.0,5.0,90.0,147.0,0.0,0.0,170.0,214.0,19.0,135.0,69.0,170.0,150.0,123.0,126.0,228.0,61.0,65.0,55.0,105.0,166.0,46.0,46.0,96.0,169.0,108.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,163.0,67.0,136.0,150.0,172.0,96.0,109.0,65.0,116.0,59.0,120.0,200.0,49.0,49.0,219.0,243.0,115.0,66.0,63.0,102.0,40.0,63.0,40.0,147.0,67.0,107.0,5.0,90.0,147.0,0.0,0.0,166.0,212.0,20.0,135.0,70.0,170.0,150.0,123.0,126.0,228.0,62.0,62.0,56.0,106.0,166.0,46.0,46.0,92.0,165.0,109.0
