Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,65.4,1.341640786499874,66.0,63.0,66.0,5.000000000000117,-2.2360679774998107,0.9599999999999966,5.0,0.033989499999999895,0.05182553589689154,0.11147299999999993,0.005104999999999915,0.009689999999999976,3.8624036740374015,1.9615760953288341,0.03874175000000002,54.07692307692308,9.776345077631165,66.0,45.0,52.0,-1.9964312172651804,0.31560072768835656,8.710059171597633,13.0,0.0187735833333333,0.016257829327649187,0.05496700000000001,0.002391,0.0156245,0.6502246857174718,1.0176727748360528,0.0128116805555555,47.0,3.741657386773941,54.0,45.0,45.0,0.5612244897959178,1.5272070966424245,3.0,8.0,0.02748014285714273,0.01743571035192404,0.05496699999999999,0.0035650000000000404,0.025555999999999912,-0.42660340470990654,0.2275592706572076,0.013604448979591899
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,55.0,9.16515138991168,63.0,45.0,57.0,-1.0,-0.9352195295828243,6.666666666666667,3.0,0.0624309999999999,0.014277900125718723,0.07252700000000001,0.05233500000000002,0.0624309999999999,-1.0,-0.9999999999999999,0.010095999999999883,53.75,7.889866919029749,63.0,45.0,53.5,-1.8940984822825442,0.1399792521238794,6.25,4.0,0.0416206666666666,0.03043213634192199,0.072527,0.011686,0.040649,-1.0,0.14353387375864335,0.020604222222222204,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,55.0,9.16515138991168,63.0,45.0,57.0,-1.0,-0.9352195295828243,6.666666666666667,3.0,0.0624309999999999,0.014277900125718723,0.07252700000000001,0.05233500000000002,0.0624309999999999,-1.0,-0.9999999999999999,0.010095999999999883,53.75,7.889866919029749,63.0,45.0,53.5,-1.8940984822825442,0.1399792521238794,6.25,4.0,0.0416206666666666,0.03043213634192199,0.072527,0.011686,0.040649,-1.0,0.14353387375864335,0.020604222222222204,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,55.0,9.16515138991168,63.0,45.0,57.0,-1.0,-0.9352195295828243,6.666666666666667,3.0,0.0624309999999999,0.014277900125718723,0.07252700000000001,0.05233500000000002,0.0624309999999999,-1.0,-0.9999999999999999,0.010095999999999883,53.75,7.889866919029749,63.0,45.0,53.5,-1.8940984822825442,0.1399792521238794,6.25,4.0,0.0416206666666666,0.03043213634192199,0.072527,0.011686,0.040649,-1.0,0.14353387375864335,0.020604222222222204,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,55.0,9.16515138991168,63.0,45.0,57.0,-1.0,-0.9352195295828243,6.666666666666667,3.0,0.0624309999999999,0.014277900125718723,0.07252700000000001,0.05233500000000002,0.0624309999999999,-1.0,-0.9999999999999999,0.010095999999999883,53.75,7.889866919029749,63.0,45.0,53.5,-1.8940984822825442,0.1399792521238794,6.25,4.0,0.0416206666666666,0.03043213634192199,0.072527,0.011686,0.040649,-1.0,0.14353387375864335,0.020604222222222204,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,55.0,9.16515138991168,63.0,45.0,57.0,-1.0,-0.9352195295828243,6.666666666666667,3.0,0.0624309999999999,0.014277900125718723,0.07252700000000001,0.05233500000000002,0.0624309999999999,-1.0,-0.9999999999999999,0.010095999999999883,53.75,7.889866919029749,63.0,45.0,53.5,-1.8940984822825442,0.1399792521238794,6.25,4.0,0.0416206666666666,0.03043213634192199,0.072527,0.011686,0.040649,-1.0,0.14353387375864335,0.020604222222222204,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,52.0,1.0156800366455554e-18,52.0,52.0,52.0,-1.0,-1.0,8.585357934110124e-19,2.0,4.435884260000048,-1.0,4.623501,4.435884260000048,4.435884260000048,-1.0,-1.0,6.00980418858852e-20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,65.0,1.5491933384829668,66.0,63.0,66.0,-1.875,-0.9682458365518545,1.333333333333333,6.0,0.035707799999999956,0.042162911043949425,0.10209000000000001,0.005015999999999909,0.010213000000000028,0.48693315159076356,1.2816645362519457,0.03372375999999999,55.85714285714285,8.865292245234027,66.0,45.0,54.0,-1.788611398032847,-0.04431857189296906,7.83673469387755,14.0,0.0235193076923076,0.01805566032386441,0.057661,0.005016,0.012692,-0.5682255278367938,0.870831254711927,0.0151006863905325,49.0,4.342481186734475,54.0,45.0,48.49999999999999,-2.551239669421488,0.11165240884165684,4.0,8.0,0.04367871428571424,0.042530920343182066,0.13066,0.010461999999999971,0.040032999999999985,3.2208866222498846,1.704779483354275,0.02884673469387744
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,65.0,1.5491933384829668,66.0,63.0,66.0,-1.875,-0.9682458365518545,1.333333333333333,6.0,0.035707799999999956,0.042162911043949425,0.10209000000000001,0.005015999999999909,0.010213000000000028,0.48693315159076356,1.2816645362519457,0.03372375999999999,55.85714285714285,8.865292245234027,66.0,45.0,54.0,-1.788611398032847,-0.04431857189296906,7.83673469387755,14.0,0.0235193076923076,0.01805566032386441,0.057661,0.005016,0.012692,-0.5682255278367938,0.870831254711927,0.0151006863905325,49.0,4.342481186734475,54.0,45.0,48.49999999999999,-2.551239669421488,0.11165240884165684,4.0,8.0,0.04367871428571424,0.042530920343182066,0.13066,0.010461999999999971,0.040032999999999985,3.2208866222498846,1.704779483354275,0.02884673469387744
Coordinator,Coordinator,./Data\Idle\Topology_B\4-Group_dataset\idle1_group.csv,65.0,1.5491933384829668,66.0,63.0,66.0,-1.875,-0.9682458365518545,1.333333333333333,6.0,0.035707799999999956,0.042162911043949425,0.10209000000000001,0.005015999999999909,0.010213000000000028,0.48693315159076356,1.2816645362519457,0.03372375999999999,55.85714285714285,8.865292245234027,66.0,45.0,54.0,-1.788611398032847,-0.04431857189296906,7.83673469387755,14.0,0.0235193076923076,0.01805566032386441,0.057661,0.005016,0.012692,-0.5682255278367938,0.870831254711927,0.0151006863905325,49.0,4.342481186734475,54.0,45.0,48.49999999999999,-2.551239669421488,0.11165240884165684,4.0,8.0,0.04367871428571424,0.042530920343182066,0.13066,0.010461999999999971,0.040032999999999985,3.2208866222498846,1.704779483354275,0.02884673469387744
