Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Philips Lamp 1,Bulb,"Oct 12, 2023 16:12:33.000000",0.0,77,0x482d,0xffff,0x8841,64.0,0x482d,0xfffc,0x1209,,,idel1.pcapng
Philips Lamp 3,Motion,"Oct 12, 2023 16:12:33.459795",0.459795,12,0x2cae,0xe694,0x8863,146.0,,,,,,idel1.pcapng
Ledvance Bulb,Bulb,"Oct 12, 2023 16:12:38.000207",4.539677,77,0x054f,0xffff,0x8841,72.0,0x054f,0xfffc,0x1209,,,idel1.pcapng
Philips Lamp 3,Motion,"Oct 12, 2023 16:12:38.489499",0.489292,12,0x2cae,0xe694,0x8863,147.0,,,,,,idel1.pcapng
Philips Lamp 3,Motion,"Oct 12, 2023 16:12:38.498247",0.008022,12,0x2cae,0xe694,0x8863,147.0,,,,,,idel1.pcapng
Philips Motion,Bulb,"Oct 12, 2023 16:12:39.493891",0.994907,77,0xe5c4,0xffff,0x8841,6.0,0xe5c4,0xfffc,0x1209,,,idel1.pcapng
Moes Bulb,Bulb,"Oct 12, 2023 16:12:39.969934",0.476043,68,0xebe5,0xffff,0x8841,250.0,0xebe5,0xfffc,0x1209,,,idel1.pcapng
Coordinator,Coordinator,"Oct 12, 2023 16:12:40.118177",0.148243,77,0x0000,0xffff,0x8841,8.0,0x0000,0xfffc,0x1209,,,idel1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 12, 2023 16:12:41.128932",1.010755,77,0x82eb,0xffff,0x8841,249.0,0x82eb,0xfffc,0x1209,,,idel1.pcapng
Power Plug 1,Socket,"Oct 12, 2023 16:12:41.133968",0.005036,71,0x6e5f,0xffff,0x8841,43.0,0x6e5f,0xfffc,0x1209,,,idel1.pcapng
Power Plug 1,Socket,"Oct 12, 2023 16:12:42.738878",0.001905,107,0x6e5f,0x0000,0x886b,46.0,,,,,,idel1.pcapng
Power Plug 1,Socket,"Oct 12, 2023 16:12:42.744005",0.005127,71,0x6e5f,0x0000,0x8847,46.0,,,,,,idel1.pcapng
Philips Lamp 1,Bulb,"Oct 12, 2023 16:12:42.748562",0.004557,45,0x482d,0x6e5f,0x8861,67.0,,,,,,idel1.pcapng
Power Plug 1,Socket,"Oct 12, 2023 16:12:42.772686",0.003684,107,0x6e5f,0x0000,0x886b,47.0,,,,,,idel1.pcapng
Power Plug 2,Socket,"Oct 12, 2023 16:12:42.797497",0.001149,63,0xc8f0,0x0000,0x8861,11.0,,,,,,idel1.pcapng
Philips Lamp 3,Motion,"Oct 12, 2023 16:12:43.523181",0.694508,12,0x2cae,0xe694,0x8863,148.0,,,,,,idel1.pcapng
