Packet Number,Device Name,Device Type,Source Address,Destination Address,Device Name Destination,Device Type Destination,Source Address ZigBee,Device Name ZigBee,Device Type ZigBee,Destination Address ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Human Command,Packet Type,Command String
1,Philips Lamp 1,Bulb,0x482d,0xffff,Broadcast,Broadcast,,Unknown,Unknown,,,,0,,
2,Philips Lamp 3,Motion,0x2cae,0xe694,Smart Socket,Socket,,Unknown,Unknown,,,,0,,
3,Smart Socket,Socket,0xe694,0x2cae,Philips Lamp 3,Motion,,Unknown,Unknown,,,,0,Ack,
4,Ledvance Bulb,Bulb,0x054f,0xffff,Broadcast,Broadcast,0x054f,Ledvance Bulb,Bulb,0xfffc,Broadcast,Broadcast,0,Link Status (0x08),
5,Philips Lamp 3,Motion,0x2cae,0xe694,Smart Socket,Socket,,Unknown,Unknown,,,,0,,
6,Smart Socket,Socket,0xe694,0x2cae,Philips Lamp 3,Motion,,Unknown,Unknown,,,,0,Ack,
7,Philips Lamp 3,Motion,0x2cae,0xe694,Smart Socket,Socket,,Unknown,Unknown,,,,0,,
8,Smart Socket,Socket,0xe694,0x2cae,Philips Lamp 3,Motion,,Unknown,Unknown,,,,0,Ack,
9,Philips Motion,Bulb,0xe5c4,0xffff,Broadcast,Broadcast,0xe5c4,Philips Motion,Bulb,0xfffc,Broadcast,Broadcast,0,Link Status (0x08),
10,Moes Bulb,Bulb,0xebe5,0xffff,Broadcast,Broadcast,,Unknown,Unknown,,,,0,,
11,Coordinator,Coordinator,0x0000,0xffff,Broadcast,Broadcast,,Unknown,Unknown,,,,0,,
12,Ledvance Smart+ Plug,Socket,0x82eb,0xffff,Broadcast,Broadcast,0x82eb,Ledvance Smart+ Plug,Socket,0xfffc,Broadcast,Broadcast,0,Link Status (0x08),
13,Power Plug 1,Socket,0x6e5f,0xffff,Broadcast,Broadcast,0x6e5f,Power Plug 1,Socket,0xfffc,Broadcast,Broadcast,0,Link Status (0x08),
14,Coordinator,Coordinator,0x0000,0xe694,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0xe694,Smart Socket,Socket,0,Read Attributes (0x00),"{'Sequence Number': '182', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
15,Smart Socket,Socket,0xe694,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Ack,
