Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-12 18:13:30.000000,12,0x2cae,0x482d,217.0,,,0.0
2023-10-12 18:13:30.000767,5,0x482d,0x2cae,217.0,,,0.000767
2023-10-12 18:13:30.701537,77,0xe694,0xffff,154.0,,,0.70077
2023-10-12 18:13:30.756978,63,0x6e5f,0x0000,179.0,0x6e5f,0x0000,0.055441
2023-10-12 18:13:30.759377,5,0x0000,0x6e5f,179.0,,,0.002399
2023-10-12 18:13:30.804815,59,0x0000,0xffff,245.0,0x0000,0xfffc,0.045438
2023-10-12 18:13:30.823907,59,0x82eb,0xffff,46.0,,,0.019092
2023-10-12 18:13:30.834136,59,0x054f,0xffff,110.0,0x0000,0xfffc,0.010229
2023-10-12 18:13:30.839900,45,0x6e5f,0x054f,180.0,,,0.005764
2023-10-12 18:13:30.841710,5,0x054f,0x6e5f,180.0,,,0.00181
2023-10-12 18:13:30.844320,45,0x054f,0x0000,111.0,,,0.00261
2023-10-12 18:13:30.846143,5,0x0000,0x054f,111.0,,,0.001823
2023-10-12 18:13:30.852299,59,0xe5c4,0xffff,14.0,,,0.006156
2023-10-12 18:13:30.857529,59,0x09ac,0xffff,104.0,0x0000,0xfffc,0.00523
2023-10-12 18:13:30.878934,59,0xe694,0xffff,155.0,0x0000,0xfffc,0.021405
2023-10-12 18:13:30.889293,59,0xa209,0xffff,154.0,,,0.010359
2023-10-12 18:13:30.920289,59,0x4e2d,0xffff,15.0,,,0.030996
2023-10-12 18:13:30.957578,63,0x6e5f,0x0000,181.0,0x6e5f,0x0000,0.037289
2023-10-12 18:13:30.959976,5,0x0000,0x6e5f,181.0,,,0.002398
2023-10-12 18:13:30.998683,59,0xebe5,0xffff,124.0,0x0000,0xfffc,0.038707
2023-10-12 18:13:31.001872,50,0x0000,0x054f,246.0,,,0.003189
2023-10-12 18:13:31.003842,5,0x054f,0x0000,246.0,,,0.00197
2023-10-12 18:13:31.005774,50,0x054f,0x6e5f,112.0,0x0000,0x6e5f,0.001932
2023-10-12 18:13:31.007718,5,0x6e5f,0x054f,112.0,,,0.001944
2023-10-12 18:13:31.013092,45,0x6e5f,0x0000,182.0,0x6e5f,0x0000,0.005374
2023-10-12 18:13:31.014915,5,0x0000,0x6e5f,182.0,,,0.001823
2023-10-12 18:13:31.032158,57,0x6e5f,0x0000,183.0,0x6e5f,0x0000,0.017243
2023-10-12 18:13:31.034365,5,0x0000,0x6e5f,183.0,,,0.002207
2023-10-12 18:13:31.074499,59,0x0000,0xffff,247.0,0x0000,0xfffc,0.040134
2023-10-12 18:13:31.082041,50,0x0000,0x054f,248.0,0x0000,0x6e5f,0.007542
2023-10-12 18:13:31.084938,50,0x0000,0x054f,248.0,0x0000,0x6e5f,0.002897
2023-10-12 18:13:31.086907,5,0x054f,0x0000,248.0,,,0.001969
2023-10-12 18:13:31.088487,50,0x054f,0x6e5f,113.0,,,0.00158
2023-10-12 18:13:31.095625,45,0x6e5f,0x0000,184.0,,,0.007138
2023-10-12 18:13:31.097448,5,0x0000,0x6e5f,184.0,,,0.001823
2023-10-12 18:13:31.133128,59,0xe694,0xffff,156.0,0x0000,0xfffc,0.03568
2023-10-12 18:13:31.139027,59,0x054f,0xffff,114.0,,,0.005899
2023-10-12 18:13:31.175306,59,0xc8f0,0xffff,201.0,0x0000,0xfffc,0.036279
2023-10-12 18:13:31.198282,59,0xe5c4,0xffff,15.0,,,0.022976
2023-10-12 18:13:31.205036,59,0x09ac,0xffff,105.0,0x0000,0xfffc,0.006754
2023-10-12 18:13:31.236839,59,0xa209,0xffff,155.0,0x0000,0xfffc,0.031803
2023-10-12 18:13:31.252875,59,0xebe5,0xffff,125.0,0x0000,0xfffc,0.016036
2023-10-12 18:13:31.271533,45,0x6e5f,0x482d,185.0,0x6e5f,0x482d,0.018658
2023-10-12 18:13:31.278432,5,,,17.0,,,0.006899
2023-10-12 18:13:31.387233,59,0xe694,0xffff,157.0,0x0000,0xfffc,0.108801
2023-10-12 18:13:31.403459,59,0x0000,0xffff,249.0,,,0.016226
2023-10-12 18:13:31.415439,59,0x054f,0xffff,115.0,,,0.01198
2023-10-12 18:13:31.429494,59,0xc8f0,0xffff,202.0,,,0.014055
2023-10-12 18:13:31.463376,59,0xe5c4,0xffff,16.0,0x0000,0xfffc,0.033882
2023-10-12 18:13:31.472299,59,0x09ac,0xffff,106.0,,,0.008923
2023-10-12 18:13:31.506914,59,0xebe5,0xffff,126.0,0x0000,0xfffc,0.034615
2023-10-12 18:13:31.563885,59,0xa209,0xffff,156.0,,,0.056971
2023-10-12 18:13:31.573107,106,0xc8f0,0xffff,203.0,,,0.009222
2023-10-12 18:13:31.593675,59,0x482d,0xfff4,18.0,,,0.020568
2023-10-12 18:13:31.726384,59,0x0000,0xffff,250.0,0x0000,0xfffc,0.132709
2023-10-12 18:13:32.941238,77,0x482d,0xffff,19.0,0x482d,0xfffc,1.214854
2023-10-12 18:13:35.079719,12,0x1523,0x6723,218.0,,,2.138481
2023-10-12 18:13:35.080487,5,0x6723,0x1523,218.0,,,0.000768
2023-10-12 18:13:35.143728,71,0xa209,0xffff,157.0,,,0.063241
2023-10-12 18:13:37.181609,74,0x0000,0xffff,251.0,,,2.037881
2023-10-12 18:13:39.059946,74,0x09ac,0xffff,107.0,0x09ac,0xfffc,1.878337
2023-10-12 18:13:39.083594,77,0x054f,0xffff,116.0,0x054f,0xfffc,0.023648
2023-10-12 18:13:40.092855,12,0x2cae,0x482d,219.0,,,1.009261
2023-10-12 18:13:40.093623,5,0x482d,0x2cae,219.0,,,0.000768
2023-10-12 18:13:42.043019,77,0x82eb,0xffff,49.0,0x82eb,0xfffc,1.949396
2023-10-12 18:13:43.534602,52,0x0000,0xe694,252.0,0x0000,0xe694,1.491583
2023-10-12 18:13:43.536629,5,0xe694,0x0000,252.0,,,0.002027
2023-10-12 18:13:43.544682,63,0xe694,0x0000,158.0,,,0.008053
2023-10-12 18:13:43.547081,5,0x0000,0xe694,158.0,,,0.002399
2023-10-12 18:13:43.569934,52,0x0000,0x482d,253.0,0x0000,0x6e5f,0.022853
2023-10-12 18:13:43.574700,52,0x0000,0x482d,253.0,0x0000,0x6e5f,0.004766
2023-10-12 18:13:43.576747,5,0x482d,0x0000,253.0,,,0.002047
2023-10-12 18:13:43.591093,63,0x6e5f,0x0000,187.0,0x6e5f,0x0000,0.014346
2023-10-12 18:13:43.593492,5,0x0000,0x6e5f,187.0,,,0.002399
2023-10-12 18:13:43.596832,45,0x0000,0xe694,254.0,,,0.00334
2023-10-12 18:13:43.598624,5,0xe694,0x0000,254.0,,,0.001792
2023-10-12 18:13:43.615577,54,0x0000,0xe694,255.0,,,0.016953
2023-10-12 18:13:43.617657,5,0xe694,0x0000,255.0,,,0.00208
2023-10-12 18:13:43.626013,66,0xe694,0x0000,159.0,0xe694,0x0000,0.008356
2023-10-12 18:13:43.628507,5,0x0000,0xe694,159.0,,,0.002494
2023-10-12 18:13:43.636134,54,0x0000,0x482d,0.0,,,0.007627
2023-10-12 18:13:43.638245,5,0x482d,0x0000,0.0,,,0.002111
2023-10-12 18:13:43.642028,54,0x7777,0x7777,21.0,,,0.003783
2023-10-12 18:13:43.644107,5,0x7777,0x7777,21.0,,,0.002079
