Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Philips Lamp 1,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-12 16:12:33.000000,77,0x482d,0xffff,64.0,,,0.0
Philips Lamp 3,Motion,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 16:12:33.459795,12,0x2cae,0xe694,146.0,,,0.459795
Smart Socket,Socket,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-12 16:12:33.460530,5,0xe694,0x2cae,146.0,,,0.000735
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-12 16:12:38.000207,77,0x054f,0xffff,72.0,0x054f,0xfffc,4.539677
Philips Lamp 3,Motion,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 16:12:38.489499,12,0x2cae,0xe694,147.0,,,0.489292
Smart Socket,Socket,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-12 16:12:38.490225,5,0xe694,0x2cae,147.0,,,0.000726
Philips Lamp 3,Motion,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 16:12:38.498247,12,0x2cae,0xe694,147.0,,,0.008022
Smart Socket,Socket,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-12 16:12:38.498984,5,0xe694,0x2cae,147.0,,,0.000737
Philips Motion,Bulb,Broadcast,Broadcast,Philips Motion,Bulb,Broadcast,Broadcast,2023-10-12 16:12:39.493891,77,0xe5c4,0xffff,6.0,0xe5c4,0xfffc,0.994907
Moes Bulb,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-12 16:12:39.969934,68,0xebe5,0xffff,250.0,,,0.476043
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-12 16:12:40.118177,77,0x0000,0xffff,8.0,,,0.148243
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,2023-10-12 16:12:41.128932,77,0x82eb,0xffff,249.0,0x82eb,0xfffc,1.010755
Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,2023-10-12 16:12:41.133968,71,0x6e5f,0xffff,43.0,0x6e5f,0xfffc,0.005036
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-12 16:12:42.602055,52,0x0000,0xe694,9.0,0x0000,0xe694,1.468087
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 16:12:42.604072,5,0xe694,0x0000,9.0,,,0.002017
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 16:12:42.611954,63,0xe694,0x0000,104.0,,,0.007882
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 16:12:42.614353,5,0x0000,0xe694,104.0,,,0.002399
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-12 16:12:42.637365,52,0x0000,0x482d,10.0,0x0000,0x6e5f,0.023012
Philips Lamp 1,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 16:12:42.639412,5,0x482d,0x0000,10.0,,,0.002047
