Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Philips Lamp 1,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-12 17:16:36.000000,77,0x482d,0xffff,79.0,,,0.0
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-12 17:16:38.715568,12,0x2cae,0x482d,225.0,,,2.715568
Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-12 17:16:38.716335,5,0x482d,0x2cae,225.0,,,0.000767
Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,2023-10-12 17:16:40.084308,68,0xebe5,0xffff,79.0,0xebe5,0xfffc,1.367973
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,2023-10-12 17:16:41.091075,77,0x82eb,0xffff,37.0,0x82eb,0xfffc,1.006767
Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,2023-10-12 17:16:41.504944,74,0x6e5f,0xffff,55.0,0x6e5f,0xfffc,0.413869
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-12 17:16:42.226560,77,0x054f,0xffff,11.0,0x054f,0xfffc,0.721616
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.584434,52,0x0000,0xe694,0.0,,,0.357874
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.586451,5,0xe694,0x0000,0.0,,,0.002017
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.594315,63,0xe694,0x0000,222.0,,,0.007864
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.596714,5,0x0000,0xe694,222.0,,,0.002399
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-12 17:16:42.619278,52,0x0000,0x482d,1.0,0x0000,0x6e5f,0.022564
Philips Lamp 1,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.621325,5,0x482d,0x0000,1.0,,,0.002047
Philips Lamp 1,Bulb,Power Plug 1,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.625434,52,0x482d,0x6e5f,80.0,,,0.004109
Power Plug 1,Socket,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-12 17:16:42.627450,5,0x6e5f,0x482d,80.0,,,0.002016
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.631835,45,0x0000,0xe694,2.0,,,0.004385
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.633628,5,0xe694,0x0000,2.0,,,0.001793
Power Plug 1,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.635248,63,0x6e5f,0x0000,56.0,,,0.00162
Coordinator,Coordinator,Power Plug 1,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.637647,5,0x0000,0x6e5f,56.0,,,0.002399
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.647193,54,0x0000,0xe694,3.0,,,0.009546
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.649272,5,0xe694,0x0000,3.0,,,0.002079
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-12 17:16:42.657449,66,0xe694,0x0000,223.0,0xe694,0x0000,0.008177
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.659944,5,0x0000,0xe694,223.0,,,0.002495
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-12 17:16:42.680592,54,0x0000,0x482d,4.0,,,0.020648
Philips Lamp 1,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.682703,5,0x482d,0x0000,4.0,,,0.002111
Philips Lamp 1,Bulb,Power Plug 1,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.687159,54,0x482d,0x6e5f,81.0,,,0.004456
Power Plug 1,Socket,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-12 17:16:42.689241,5,0x6e5f,0x482d,81.0,,,0.002082
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-12 17:16:42.699514,5,,,57.0,,,0.010273
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-12 17:16:42.708827,45,0x0000,0x482d,5.0,0x0000,0x6e5f,0.009313
Philips Lamp 1,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.710650,5,0x482d,0x0000,5.0,,,0.001823
Philips Lamp 1,Bulb,Power Plug 1,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.715004,45,0x482d,0x6e5f,82.0,,,0.004354
Power Plug 1,Socket,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-12 17:16:42.716796,5,0x6e5f,0x482d,82.0,,,0.001792
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-12 17:16:42.718418,54,0x0000,0xa209,6.0,,,0.001622
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.720529,5,0xa209,0x0000,6.0,,,0.002111
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-12 17:16:42.724647,54,0xa20b,0xccf0,30.0,,,0.004118
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-12 17:16:42.726727,5,0xccf0,0xa20b,30.0,,,0.00208
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.731352,45,0x0000,0xe694,7.0,,,0.004625
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.733144,5,0xe694,0x0000,7.0,,,0.001792
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.734595,107,0xc8f0,0x0000,31.0,,,0.001451
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.737090,5,0x0000,0xc8f0,31.0,,,0.002495
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-12 17:16:42.742397,52,0x0000,0xa209,8.0,0x0000,0xc8f0,0.005307
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.744444,5,0xa209,0x0000,8.0,,,0.002047
Philips Lamp 2,Bulb,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.748810,52,0xa209,0xc8f0,79.0,,,0.004366
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-12 17:16:42.750828,5,,,31.0,,,0.002018
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-12 17:16:42.757731,45,0x0000,0x482d,9.0,0x0000,0x6e5f,0.006903
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-12 17:16:42.762602,45,0x0000,0x482d,9.0,0x0000,0x6e5f,0.004871
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-12 17:16:42.767180,45,0x0000,0x482d,9.0,0x0000,0x6e5f,0.004578
Philips Lamp 1,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.769003,5,0x482d,0x0000,9.0,,,0.001823
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-12 17:16:42.778709,45,0x0000,0xa209,10.0,0x0000,0xc8f0,0.009706
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.780532,5,0xa209,0x0000,10.0,,,0.001823
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.782149,63,0xc8f0,0x0000,33.0,,,0.001617
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.784548,5,0x0000,0xc8f0,33.0,,,0.002399
Unknown,Unknown,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.786634,45,0x0248,0xc8f0,32.0,,,0.002086
Power Plug 2,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-12 17:16:42.788419,5,0xc8f0,0x0248,32.0,,,0.001785
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-12 17:16:42.811172,45,0x0000,0xa209,11.0,,,0.022753
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:42.812995,5,0xa209,0x0000,11.0,,,0.001823
Philips Lamp 2,Bulb,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-12 17:16:42.815745,35,0xa209,0xc8f0,33.0,,,0.00275
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:43.483972,60,0xc8f0,0x0000,34.0,,,0.668227
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-12 17:16:43.486275,5,0x0000,0xc8f0,34.0,,,0.002303
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-12 17:16:43.549129,50,0x0000,0xa209,12.0,0x0000,0xc8f0,0.062854
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-12 17:16:43.551113,5,0xa209,0x0000,12.0,,,0.001984
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-12 17:16:43.563753,5,,,35.0,,,0.01264
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-12 17:16:43.777941,12,0x2cae,0x482d,226.0,,,0.214188
Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-12 17:16:43.778708,5,0x482d,0x2cae,226.0,,,0.000767
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-12 17:16:43.789220,74,0x09ac,0xffff,92.0,,,0.010512
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-10-12 17:16:44.360999,77,0xe694,0xffff,224.0,0xe694,0xfffc,0.571779
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-12 17:16:48.778482,12,0x2cae,0x482d,227.0,,,4.417483
Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-12 17:16:48.779249,5,0x482d,0x2cae,227.0,,,0.000767
Philips Motion,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-12 17:16:49.089189,77,0xe5c4,0xffff,97.0,,,0.30994
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-12 17:16:49.280317,77,0x0000,0xffff,13.0,0x0000,0xfffc,0.191128
Philips Lamp 1,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-12 17:16:51.202835,106,0x482d,0xffff,85.0,,,1.922518
Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-12 17:16:52.367516,71,0xa209,0xffff,35.0,0xa209,0xfffc,1.164681
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-12 17:16:53.841578,12,0x2cae,0x482d,228.0,,,1.474062
Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-12 17:16:53.842346,5,0x482d,0x2cae,228.0,,,0.000768
Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,2023-10-12 17:16:55.145190,68,0xebe5,0xffff,80.0,0xebe5,0xfffc,1.302844
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-12 17:16:56.098144,77,0x82eb,0xffff,38.0,,,0.952954
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-12 17:16:58.004081,77,0x054f,0xffff,12.0,0x054f,0xfffc,1.905937
Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-12 17:16:58.873865,12,0x2cae,0x482d,229.0,,,0.869784
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-10-12 17:16:59.347536,77,0xe694,0xffff,225.0,0xe694,0xfffc,0.473671
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-12 17:17:00.194575,74,0xc8f0,0xffff,37.0,,,0.847039
