Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:12:50.400776,77,0x482d,0xffff,71.0,0x482d,0xfffc,1.847687
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:13:07.157584,77,0x482d,0xffff,72.0,0x482d,0xfffc,1.278751
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:13:23.661993,77,0x482d,0xffff,80.0,0x482d,0xfffc,3.758198
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:13:53.231835,77,0x482d,0xffff,86.0,0x482d,0xfffc,3.825137
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:14:27.260101,77,0x482d,0xffff,92.0,0x482d,0xfffc,0.765145
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:15:16.325551,77,0x482d,0xffff,107.0,0x482d,0xfffc,1.140788
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:22:34.341416,77,0x482d,0xffff,221.0,0x482d,0xfffc,4.442829
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:22:52.370828,77,0x482d,0xffff,225.0,0x482d,0xfffc,4.418566
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:24:38.766345,50,0x0000,0x482d,170.0,0x0000,0x482d,1.044444
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:27:25.689557,77,0x482d,0xffff,37.0,0x482d,0xfffc,0.329127
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:29:24.777327,50,0x0000,0x482d,98.0,0x0000,0x482d,1.466274
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:29:24.782614,50,0x0000,0x482d,98.0,0x0000,0x482d,0.005287
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:29:24.872506,50,0x0000,0x482d,99.0,0x0000,0x482d,0.037858
Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,Philips Lamp 3,Motion,Philips Lamp 1,Bulb,2023-10-12 16:31:22.913752,47,0x2cae,0x482d,45.0,0x2cae,0x482d,0.02218
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:34:10.790114,50,0x0000,0x482d,29.0,0x0000,0x482d,0.673001
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:34:10.887635,50,0x0000,0x482d,30.0,0x0000,0x482d,0.041079
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:38:56.903996,50,0x0000,0x482d,205.0,0x0000,0x482d,0.012205
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:40:16.066482,81,0x482d,0xffff,243.0,0x482d,0xfffc,0.913783
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:43:42.932245,50,0x0000,0x482d,120.0,0x0000,0x482d,0.014216
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:43:43.037130,50,0x0000,0x482d,125.0,0x0000,0x482d,0.01812
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:48:28.829122,50,0x0000,0x482d,33.0,0x0000,0x482d,1.224736
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:53:14.841553,50,0x0000,0x482d,195.0,0x0000,0x482d,0.290424
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:53:14.937697,50,0x0000,0x482d,196.0,0x0000,0x482d,0.039087
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:53:40.698539,77,0x482d,0xffff,205.0,0x482d,0xfffc,0.426677
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-12 16:53:42.960578,45,0x482d,0x0000,207.0,0x482d,0x0000,0.000624
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:53:55.320965,77,0x482d,0xffff,213.0,0x482d,0xfffc,0.484688
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:54:26.791044,77,0x482d,0xffff,221.0,0x482d,0xfffc,0.139064
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:55:01.725122,77,0x482d,0xffff,227.0,0x482d,0xfffc,1.373906
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:55:36.413367,77,0x482d,0xffff,235.0,0x482d,0xfffc,0.344188
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:56:24.071306,77,0x482d,0xffff,246.0,0x482d,0xfffc,1.649636
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:56:41.274632,74,0x482d,0xffff,247.0,0x482d,0xfffc,0.982073
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:57:11.412173,77,0x482d,0xffff,2.0,0x482d,0xfffc,0.054228
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:58:00.853446,50,0x0000,0x482d,107.0,0x0000,0x482d,0.430534
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 16:58:00.951030,50,0x0000,0x482d,108.0,0x0000,0x482d,0.042015
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 16:58:50.561660,77,0x482d,0xffff,28.0,0x482d,0xfffc,3.361577
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 17:00:15.473089,81,0x482d,0xffff,62.0,0x482d,0xfffc,0.082347
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 17:02:25.950235,77,0x482d,0xffff,116.0,0x482d,0xfffc,0.250761
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 17:06:11.247072,77,0x482d,0xffff,167.0,0x482d,0xfffc,0.783697
Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-12 17:07:03.342225,77,0x482d,0xffff,178.0,0x482d,0xfffc,0.757545
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-12 17:07:32.877778,50,0x0000,0x482d,189.0,0x0000,0x482d,0.104771
