Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.413869,,0.413869,0.413869,0.413869,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.413869,,0.413869,0.413869,0.413869,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.246806,,0.246806,0.246806,0.246806,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.246806,,0.246806,0.246806,0.246806,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,74.0,4.242640687119285,77.0,71.0,74.0,,,3.0,2.0,0.450551,,0.450551,0.450551,0.450551,,,0.0,74.0,4.242640687119285,77,71,74.0,,,3.0,2,0.450551,,0.450551,0.450551,0.450551,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.237442,,0.237442,0.237442,0.237442,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.237442,,0.237442,0.237442,0.237442,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,76.0,1.7320508075688772,77.0,74.0,77.0,,-1.7320508075688774,1.3333333333333333,3.0,0.42779500000000004,0.026892685102086783,0.446811,0.408779,0.42779500000000004,,,0.019016000000000005,76.0,1.7320508075688772,77,74,77.0,,-1.7320508075688774,1.3333333333333333,3,0.42779500000000004,0.026892685102086783,0.446811,0.408779,0.42779500000000004,,,0.019016000000000005,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.397278,,0.397278,0.397278,0.397278,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.397278,,0.397278,0.397278,0.397278,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,76.0,1.7320508075688772,77.0,74.0,77.0,,-1.7320508075688774,1.3333333333333333,3.0,0.2362765,0.22055438322667725,0.392232,0.080321,0.2362765,,,0.15595550000000002,76.0,1.7320508075688772,77,74,77.0,,-1.7320508075688774,1.3333333333333333,3,0.2362765,0.22055438322667725,0.392232,0.080321,0.2362765,,,0.15595550000000002,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.655689,,0.655689,0.655689,0.655689,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.655689,,0.655689,0.655689,0.655689,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.459006,,0.459006,0.459006,0.459006,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.459006,,0.459006,0.459006,0.459006,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.464892,,0.464892,0.464892,0.464892,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.464892,,0.464892,0.464892,0.464892,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.358358,,0.358358,0.358358,0.358358,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.358358,,0.358358,0.358358,0.358358,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.431871,,0.431871,0.431871,0.431871,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.431871,,0.431871,0.431871,0.431871,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.532992,,0.532992,0.532992,0.532992,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.532992,,0.532992,0.532992,0.532992,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.204441,,0.204441,0.204441,0.204441,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.204441,,0.204441,0.204441,0.204441,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.447696,,0.447696,0.447696,0.447696,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.447696,,0.447696,0.447696,0.447696,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.568668,,0.568668,0.568668,0.568668,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.568668,,0.568668,0.568668,0.568668,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.168107,,0.168107,0.168107,0.168107,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.168107,,0.168107,0.168107,0.168107,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.29343,,0.29343,0.29343,0.29343,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.29343,,0.29343,0.29343,0.29343,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.173548,,0.173548,0.173548,0.173548,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.173548,,0.173548,0.173548,0.173548,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.0,1.7320508075688772,77.0,74.0,74.0,,1.7320508075688774,1.3333333333333333,3.0,0.447108,0.05963314328458631,0.489275,0.404941,0.447108,,,0.04216700000000001,75.0,1.7320508075688772,77,74,74.0,,1.7320508075688774,1.3333333333333333,3,0.447108,0.05963314328458631,0.489275,0.404941,0.447108,,,0.04216700000000001,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,76.0,1.7320508075688772,77.0,74.0,77.0,,-1.7320508075688774,1.3333333333333333,3.0,0.20116499999999998,0.06335252495362752,0.245962,0.156368,0.20116499999999998,,,0.04479699999999999,76.0,1.7320508075688772,77,74,77.0,,-1.7320508075688774,1.3333333333333333,3,0.20116499999999998,0.06335252495362752,0.245962,0.156368,0.20116499999999998,,,0.04479699999999999,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,74.0,0.0,74.0,74.0,74.0,,,0.0,2.0,0.318501,,0.318501,0.318501,0.318501,,,0.0,74.0,0.0,74,74,74.0,,,0.0,2,0.318501,,0.318501,0.318501,0.318501,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,74.0,4.242640687119285,77.0,71.0,74.0,,,3.0,2.0,0.57436,,0.57436,0.57436,0.57436,,,0.0,74.0,4.242640687119285,77,71,74.0,,,3.0,2,0.57436,,0.57436,0.57436,0.57436,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,74.0,4.242640687119285,77.0,71.0,74.0,,,3.0,2.0,0.322401,,0.322401,0.322401,0.322401,,,0.0,74.0,4.242640687119285,77,71,74.0,,,3.0,2,0.322401,,0.322401,0.322401,0.322401,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.340075,,0.340075,0.340075,0.340075,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.340075,,0.340075,0.340075,0.340075,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.538344,,0.538344,0.538344,0.538344,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.538344,,0.538344,0.538344,0.538344,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.091652,,0.091652,0.091652,0.091652,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.091652,,0.091652,0.091652,0.091652,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.544911,,0.544911,0.544911,0.544911,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.544911,,0.544911,0.544911,0.544911,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.537899,,0.537899,0.537899,0.537899,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.537899,,0.537899,0.537899,0.537899,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.558358,,0.558358,0.558358,0.558358,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.558358,,0.558358,0.558358,0.558358,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,76.0,1.7320508075688772,77.0,74.0,77.0,,-1.7320508075688774,1.3333333333333333,3.0,0.2661445,0.11082696713571116,0.344511,0.187778,0.2661445,,,0.0783665,76.0,1.7320508075688772,77,74,77.0,,-1.7320508075688774,1.3333333333333333,3,0.2661445,0.11082696713571116,0.344511,0.187778,0.2661445,,,0.0783665,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.496685,,0.496685,0.496685,0.496685,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.496685,,0.496685,0.496685,0.496685,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.177363,,0.177363,0.177363,0.177363,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.177363,,0.177363,0.177363,0.177363,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.0,1.7320508075688772,77.0,74.0,74.0,,1.7320508075688774,1.3333333333333333,3.0,0.324728,0.30429916064294366,0.5399,0.109556,0.324728,,,0.21517200000000003,75.0,1.7320508075688772,77,74,74.0,,1.7320508075688774,1.3333333333333333,3,0.324728,0.30429916064294366,0.5399,0.109556,0.324728,,,0.21517200000000003,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.284549,,0.284549,0.284549,0.284549,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.284549,,0.284549,0.284549,0.284549,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.649066,,0.649066,0.649066,0.649066,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.649066,,0.649066,0.649066,0.649066,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.578838,,0.578838,0.578838,0.578838,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.578838,,0.578838,0.578838,0.578838,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,74.0,4.242640687119285,77.0,71.0,74.0,,,3.0,2.0,0.123802,,0.123802,0.123802,0.123802,,,0.0,74.0,4.242640687119285,77,71,74.0,,,3.0,2,0.123802,,0.123802,0.123802,0.123802,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.209299,,0.209299,0.209299,0.209299,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.209299,,0.209299,0.209299,0.209299,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.604041,,0.604041,0.604041,0.604041,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.604041,,0.604041,0.604041,0.604041,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,74.0,4.242640687119285,77.0,71.0,74.0,,,3.0,2.0,0.123267,,0.123267,0.123267,0.123267,,,0.0,74.0,4.242640687119285,77,71,74.0,,,3.0,2,0.123267,,0.123267,0.123267,0.123267,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.528724,,0.528724,0.528724,0.528724,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.528724,,0.528724,0.528724,0.528724,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,76.0,1.7320508075688772,77.0,74.0,77.0,,-1.7320508075688774,1.3333333333333333,3.0,0.337842,0.26234651531514575,0.523349,0.152335,0.337842,,,0.18550699999999998,76.0,1.7320508075688772,77,74,77.0,,-1.7320508075688774,1.3333333333333333,3,0.337842,0.26234651531514575,0.523349,0.152335,0.337842,,,0.18550699999999998,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.030711,,0.030711,0.030711,0.030711,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.030711,,0.030711,0.030711,0.030711,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,71.0,4.242640687119285,74.0,68.0,71.0,,,3.0,2.0,0.202835,,0.202835,0.202835,0.202835,,,0.0,71.0,4.242640687119285,74,68,71.0,,,3.0,2,0.202835,,0.202835,0.202835,0.202835,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.487905,,0.487905,0.487905,0.487905,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.487905,,0.487905,0.487905,0.487905,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.568264,,0.568264,0.568264,0.568264,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.568264,,0.568264,0.568264,0.568264,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.673827,,0.673827,0.673827,0.673827,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.673827,,0.673827,0.673827,0.673827,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,71.0,4.242640687119285,74.0,68.0,71.0,,,3.0,2.0,0.169289,,0.169289,0.169289,0.169289,,,0.0,71.0,4.242640687119285,74,68,71.0,,,3.0,2,0.169289,,0.169289,0.169289,0.169289,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.540475,,0.540475,0.540475,0.540475,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.540475,,0.540475,0.540475,0.540475,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.176329,,0.176329,0.176329,0.176329,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.176329,,0.176329,0.176329,0.176329,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,76.0,1.7320508075688772,77.0,74.0,77.0,,-1.7320508075688774,1.3333333333333333,3.0,0.342636,0.30592550623967263,0.558958,0.126314,0.342636,,,0.21632199999999996,76.0,1.7320508075688772,77,74,77.0,,-1.7320508075688774,1.3333333333333333,3,0.342636,0.30592550623967263,0.558958,0.126314,0.342636,,,0.21632199999999996,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,74.0,4.242640687119285,77.0,71.0,74.0,,,3.0,2.0,0.176441,,0.176441,0.176441,0.176441,,,0.0,74.0,4.242640687119285,77,71,74.0,,,3.0,2,0.176441,,0.176441,0.176441,0.176441,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.221195,,0.221195,0.221195,0.221195,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.221195,,0.221195,0.221195,0.221195,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.0,1.7320508075688772,77.0,74.0,74.0,,1.7320508075688774,1.3333333333333333,3.0,0.3048195,0.4196388832561873,0.601549,0.00809,0.3048195,,,0.2967295,75.0,1.7320508075688772,77,74,74.0,,1.7320508075688774,1.3333333333333333,3,0.3048195,0.4196388832561873,0.601549,0.00809,0.3048195,,,0.2967295,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.129846,,0.129846,0.129846,0.129846,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.129846,,0.129846,0.129846,0.129846,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle2_group.csv,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.012073,,0.012073,0.012073,0.012073,,,0.0,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.012073,,0.012073,0.012073,0.012073,,,0.0,,,,,,,,,,,,,,,,,
