Device Name,Device Type,File Name,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT
Aqara Vibration,Vibration,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,77.5,31.81980515339464,100.0,55.0,77.5,,,22.5,2.0,1.224689,,1.224689,1.224689,1.224689,,,0.0,77.5,31.81980515339464,100,55,77.5,,,22.5,2,1.224689,,1.224689,1.224689,1.224689,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,15,0.06582635714285713,0.05722476167454777,0.21947,0.016036,0.042858,3.0799874563888903,1.7530338962572798,0.04234345918367347,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,15.0,0.06582635714285713,0.05722476167454777,0.21947,0.016036,0.042858,3.0799874563888903,1.7530338962572798,0.04234345918367347
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,,,,,,,,,,,,,,,,,,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.023648,,0.023648,0.023648,0.023648,,,0.0,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.023648,,0.023648,0.023648,0.023648,,,0.0
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,,,,,,,,,,,,,,,,,,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.023648,,0.023648,0.023648,0.023648,,,0.0,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.023648,,0.023648,0.023648,0.023648,,,0.0
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,,,,,,,,,,,,,,,,,,62.0,7.3484692283495345,77,59,59.0,6.0,2.449489742783178,5.0,6,0.35100619999999993,0.7146226986404783,1.628758,0.007598,0.050555,4.981108817233549,2.2307877030307206,0.51110072,62.0,7.3484692283495345,77.0,59.0,59.0,6.0,2.449489742783178,5.0,6.0,0.35100619999999993,0.7146226986404783,1.628758,0.007598,0.050555,4.981108817233549,2.2307877030307206,0.51110072
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,11,0.06517890000000001,0.06702520848730473,0.186018,0.007521,0.0468625,-0.35133808388448884,1.0310946794759517,0.05371606000000001,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,11.0,0.06517890000000001,0.06702520848730473,0.186018,0.007521,0.0468625,-0.35133808388448884,1.0310946794759517,0.05371606000000001
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,,,,,,,,,,,,,,,,,,61.57142857142857,6.80336051416609,77,59,59.0,7.000000000000007,2.645751311064592,4.408163265306121,7,0.28080649999999996,0.5252092381581839,1.345341,0.007521,0.0765725,5.703219914295962,2.3739212526980924,0.35484483333333333,61.57142857142857,6.80336051416609,77.0,59.0,59.0,7.000000000000007,2.645751311064592,4.408163265306121,7.0,0.28080649999999996,0.5252092381581839,1.345341,0.007521,0.0765725,5.703219914295962,2.3739212526980924,0.35484483333333333
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,,,,,,,,,,,,,,,,,,75.5,2.1213203435596424,77,74,75.5,,,1.5,2,0.963811,,0.963811,0.963811,0.963811,,,0.0,75.5,2.1213203435596424,77.0,74.0,75.5,,,1.5,2.0,0.963811,,0.963811,0.963811,0.963811,,,0.0
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,,,,,,,,,,,,,,,,,,74.0,4.242640687119285,77,71,74.0,,,3.0,2,0.884127,,0.884127,0.884127,0.884127,,,0.0,74.0,4.242640687119285,77.0,71.0,74.0,,,3.0,2.0,0.884127,,0.884127,0.884127,0.884127,,,0.0
Broadcast,Broadcast,./Data\Idle\Topology_A\4-Group_dataset\idle3_group.csv,,,,,,,,,,,,,,,,,,74.0,4.242640687119285,77,71,74.0,,,3.0,2,0.186628,,0.186628,0.186628,0.186628,,,0.0,74.0,4.242640687119285,77.0,71.0,74.0,,,3.0,2.0,0.186628,,0.186628,0.186628,0.186628,,,0.0
