Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Philips Lamp 3,Motion,49.2,4.024922359499621,0.0205802,0.027450692317316883,255.0,11.0,148.8
Philips Lamp 3,Motion,49.2,4.024922359499622,0.0985482,0.17616174126268166,255.0,11.0,139.0
Philips Lamp 3,Motion,49.2,4.024922359499622,0.0987378,0.1760327296803069,255.0,11.0,163.2
Philips Lamp 3,Motion,49.2,4.024922359499621,0.0987382,0.17603247223367624,255.0,11.0,153.4
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.20983000000000002,0.29016367791730924,197.0,11.0,141.8
Philips Lamp 3,Motion,50.6,3.361547262794322,0.3294098,0.30703328574065064,203.0,151.0,180.2
Philips Lamp 3,Motion,50.4,3.2093613071762426,0.6862014000000001,0.8958242692315832,215.0,151.0,188.6
Philips Lamp 3,Motion,50.4,3.209361307176242,0.6860762000000001,0.895943614857375,215.0,177.0,200.2
Philips Lamp 3,Motion,50.4,3.2093613071762426,0.6858382000000001,0.8961688677184116,219.0,197.0,208.6
Philips Lamp 3,Motion,50.6,3.361547262794322,0.8912122,0.9909857153464424,222.0,203.0,213.6
Philips Lamp 3,Motion,50.4,3.209361307176242,0.7862416000000001,1.0549754381109069,224.0,209.0,217.8
Philips Lamp 3,Motion,50.0,3.082207001484488,0.34798039999999997,0.7288061630531811,224.0,209.0,218.4
Philips Lamp 3,Motion,50.0,3.082207001484488,0.34803719999999994,0.7287725296433037,224.0,218.0,220.4
Philips Lamp 3,Motion,50.0,3.082207001484488,0.34698319999999994,0.729392776273319,227.0,218.0,222.0
Philips Lamp 3,Motion,48.4,3.209361307176242,0.0172984,0.033610142893180324,229.0,218.0,223.4
Philips Lamp 3,Motion,48.4,3.209361307176242,0.26863040000000005,0.595602387867359,232.0,218.0,225.0
Philips Lamp 3,Motion,48.4,3.209361307176242,0.2692724,0.5952454050694554,236.0,219.0,228.6
Philips Lamp 3,Motion,47.4,3.361547262794322,0.2701682,0.5947475089369437,236.0,227.0,232.0
Philips Lamp 3,Motion,48.4,3.209361307176242,0.27055140000000005,0.5945318196196904,241.0,229.0,234.8
Philips Lamp 3,Motion,48.4,3.2093613071762426,0.2717156,0.5938799196123742,242.0,232.0,237.4
Philips Lamp 3,Motion,48.4,3.209361307176242,0.1319526,0.2813630187156798,245.0,236.0,240.0
Philips Lamp 3,Motion,47.4,3.361547262794322,0.1323798,0.28112490333515455,249.0,236.0,242.6
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.2186344,0.29879626262020076,251.0,241.0,245.6
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.2181884,0.2991989512628679,254.0,242.0,248.2
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.21852899999999997,0.29890048293286514,255.0,245.0,250.8
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.2448502,0.3467387234513907,255.0,6.0,203.0
Philips Lamp 3,Motion,50.6,3.361547262794322,0.2518064,0.34109778538169955,255.0,6.0,154.8
Philips Lamp 3,Motion,50.0,3.082207001484488,0.1643432,0.33725060745786656,255.0,6.0,108.8
Philips Lamp 3,Motion,50.0,3.082207001484488,0.1646062,0.33709217570895944,255.0,6.0,62.4
Philips Lamp 3,Motion,50.0,3.082207001484488,0.1633904,0.3378013862305778,22.0,6.0,13.6
Philips Lamp 3,Motion,48.6,3.5071355833500366,0.0106214,0.01789753001953063,22.0,8.0,15.0
Philips Lamp 3,Motion,48.4,3.209361307176242,0.0476456,0.10067168955222715,22.0,11.0,17.0
Philips Lamp 3,Motion,48.4,3.209361307176242,0.0483726,0.10026611144499424,38.0,11.0,20.4
Philips Lamp 3,Motion,47.4,3.361547262794322,0.0492236,0.09979790708126099,38.0,11.0,20.4
Philips Lamp 3,Motion,48.8,3.5637059362410923,0.3846424,0.7308450679937575,38.0,13.0,23.0
Philips Lamp 3,Motion,49.8,2.8635642126552705,0.38437140000000003,0.7310221805368152,44.0,18.0,29.2
Philips Lamp 3,Motion,48.4,3.2093613071762426,0.34065460000000003,0.7490455267958017,44.0,22.0,31.2
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.46748899999999993,0.7314837863657677,44.0,22.0,29.8
Philips Lamp 3,Motion,50.0,3.082207001484488,0.466584,0.732198548374005,49.0,24.0,35.2
Philips Lamp 3,Motion,48.6,3.507135583350036,0.1318356,0.28361939480366993,49.0,28.0,37.4
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.299088,0.40728277738077756,49.0,28.0,36.0
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.2988636,0.4074827256127553,49.0,31.0,38.6
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.2889886,0.39765400426790626,49.0,35.0,42.0
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.2888766,0.39775497794282855,70.0,35.0,46.2
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.2892102,0.39745988212233446,70.0,37.0,49.6
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.4024062,0.614266198963202,70.0,41.0,53.0
Philips Lamp 3,Motion,50.0,3.082207001484488,0.401385,0.6150894592264609,75.0,48.0,59.8
Philips Lamp 3,Motion,48.4,3.2093613071762426,0.285067,0.6254589844797979,75.0,52.0,61.8
Philips Lamp 3,Motion,48.8,3.5637059362410923,0.5652608000000001,0.765066031144502,75.0,52.0,60.2
Philips Lamp 3,Motion,49.8,2.8635642126552705,0.5640962,0.7661291066058645,89.0,54.0,67.6
Philips Lamp 3,Motion,48.4,3.2093613071762426,0.28462440000000006,0.6250730003505991,89.0,58.0,70.0
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.36660640000000005,0.6054615985430456,89.0,58.0,69.0
Philips Lamp 3,Motion,50.0,3.082207001484488,0.36561960000000004,0.6061953641956527,99.0,62.0,77.2
Philips Lamp 3,Motion,48.6,3.507135583350036,0.08622300000000001,0.18258340012717478,99.0,66.0,79.6
Philips Lamp 3,Motion,49.2,4.024922359499622,0.12422219999999999,0.18061053703258842,199.0,66.0,101.6
Philips Lamp 3,Motion,50.2,3.271085446759225,0.12326220000000002,0.18140338300924821,199.0,70.0,122.6
Philips Lamp 3,Motion,50.0,3.082207001484488,0.061280999999999995,0.08512877648598033,199.0,2.0,109.0
Philips Lamp 3,Motion,50.0,3.082207001484488,0.06146120000000001,0.08497607007681632,199.0,2.0,128.6
Philips Lamp 3,Motion,50.0,3.082207001484488,0.0618464,0.08466445959964547,199.0,2.0,115.0
Philips Lamp 3,Motion,50.0,3.082207001484488,0.21326779999999998,0.41392877732733196,197.0,2.0,77.2
Philips Lamp 3,Motion,50.0,3.082207001484488,0.21339800000000003,0.4138457060499722,202.0,2.0,83.4
Philips Lamp 3,Motion,48.6,3.507135583350036,0.1942852,0.42234307335766735,202.0,6.0,85.8
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.27711359999999996,0.4163017927271032,202.0,6.0,58.2
Philips Lamp 3,Motion,50.0,3.082207001484488,0.2779032,0.41566636248101674,221.0,10.0,101.2
Philips Lamp 3,Motion,48.4,3.2093613071762426,0.089484,0.18384482972060975,221.0,14.0,111.8
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.2271814,0.3140446378117289,221.0,14.0,84.6
Philips Lamp 3,Motion,50.0,3.082207001484488,0.2264052,0.3147278508484751,227.0,59.0,127.2
Philips Lamp 3,Motion,48.6,3.507135583350036,0.14404179999999997,0.30571045164697913,227.0,63.0,129.4
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.48663239999999996,0.7529467798445652,227.0,63.0,100.0
Philips Lamp 3,Motion,50.0,3.082207001484488,0.4858148000000001,0.7535988030356073,237.0,66.0,134.8
Philips Lamp 3,Motion,48.4,3.2093613071762426,0.3492806,0.7688435026234534,237.0,70.0,137.2
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.35433079999999995,0.7660821580602174,237.0,70.0,108.4
Philips Lamp 3,Motion,50.0,3.082207001484488,0.35376320000000006,0.7664052945525626,243.0,74.0,143.0
Philips Lamp 3,Motion,48.6,3.507135583350036,0.0102644,0.010523562172572555,243.0,78.0,145.6
Philips Lamp 3,Motion,49.2,4.024922359499622,0.31363599999999997,0.6747063568657109,243.0,78.0,129.8
Philips Lamp 3,Motion,50.2,3.271085446759225,0.31255160000000004,0.6753240248360781,243.0,24.0,119.0
Philips Lamp 3,Motion,48.6,3.507135583350036,0.3080416,0.6777642539525082,243.0,24.0,134.8
Philips Lamp 3,Motion,49.8,4.868264577855235,0.589006,0.800162446821269,164.0,24.0,119.0
Philips Lamp 3,Motion,52.2,4.868264577855235,0.5880036000000001,0.8010762411167865,164.0,24.0,107.2
Philips Lamp 3,Motion,53.4,5.770615218501403,0.2843134,0.6284249475230117,164.0,24.0,81.4
Philips Lamp 3,Motion,52.4,6.841052550594828,0.2844778,0.6283329895395434,170.0,28.0,110.6
Philips Lamp 3,Motion,53.8,5.540758070878027,0.307557,0.6175824464413638,192.0,28.0,116.6
Philips Lamp 3,Motion,54.0,5.656854249492381,0.103631,0.16755651117608056,208.0,28.0,125.4
Philips Lamp 3,Motion,52.4,5.727128425310541,0.103925,0.16733500918068522,208.0,29.0,128.6
Philips Lamp 3,Motion,49.6,5.079370039680118,0.10509539999999999,0.16646214385349,212.0,44.0,165.2
Philips Lamp 3,Motion,51.0,4.415880433163924,0.3583992,0.5331618515645131,212.0,44.0,144.8
Philips Lamp 3,Motion,50.6,4.393176527297759,0.33442579999999994,0.5489345338254826,212.0,44.0,124.4
Philips Lamp 3,Motion,48.2,3.1144823004794873,0.25808899999999996,0.5657571412196226,212.0,44.0,97.2
Philips Lamp 3,Motion,49.0,3.8078865529319543,0.2587403999999999,0.5653926168608854,212.0,68.0,103.8
Philips Lamp 3,Motion,50.0,3.082207001484488,0.25791539999999996,0.5658530331727489,96.0,68.0,80.6
Philips Lamp 3,Motion,48.6,3.507135583350036,0.005329799999999999,0.0024925547536613917,96.0,72.0,83.2
Unknown,Unknown,15.8,24.14953415699773,0.007558999999999999,0.013114901162418266,217.0,15.0,140.4
Unknown,Unknown,15.8,24.14953415699773,0.007885199999999998,0.01292260765867323,181.0,15.0,133.2
Unknown,Unknown,15.8,24.14953415699773,0.0077994,0.012969479048905549,246.0,15.0,146.6
Unknown,Unknown,15.8,24.14953415699773,0.0078262,0.012954137879457666,246.0,15.0,133.0
Unknown,Unknown,15.8,24.14953415699773,0.0078262,0.012954137879457666,246.0,15.0,147.2
