Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Aqara Button,Button,80.0,0.0,0.675263,0.0,92.0,92.0,92.0
Aqara Door 1,Door,83.0,0.0,1.241996,0.0,131.0,131.0,131.0
Aqara Door 2,Door,83.0,0.0,0.898672,0.0,124.0,124.0,124.0
Aqara Door 2,Door,83.0,0.0,3.189512,0.0,126.0,126.0,126.0
Aqara Motion,Motion,102.0,0.0,1.700818,0.0,230.0,230.0,230.0
Aqara Vibration,Vibration,55.0,0.0,0.739386,0.0,125.0,125.0,125.0
Aqara Vibration,Vibration,55.0,0.0,0.727535,0.0,126.0,126.0,126.0
Aqara Vibration,Vibration,55.0,0.0,0.050376,0.0,127.0,127.0,127.0
Aqara Vibration,Vibration,55.0,0.0,2.568571,0.0,128.0,128.0,128.0
Aqara Vibration,Vibration,100.0,0.0,0.981878,0.0,129.0,129.0,129.0
Aqara Vibration,Vibration,55.0,0.0,1.007845,0.0,131.0,131.0,131.0
Aqara Vibration,Vibration,55.0,0.0,0.333973,0.0,132.0,132.0,132.0
Aqara Vibration,Vibration,55.0,0.0,0.203968,0.0,133.0,133.0,133.0
Aqara Vibration,Vibration,55.0,0.0,1.287019,0.0,134.0,134.0,134.0
Broadcast,Broadcast,77.0,0.0,0.0,0.0,79.0,79.0,79.0
Broadcast,Broadcast,68.0,0.0,1.367973,0.0,79.0,79.0,79.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.710318,0.41924219635194165,55.0,37.0,46.0
Broadcast,Broadcast,77.0,0.0,0.721616,0.0,11.0,11.0,11.0
Broadcast,Broadcast,74.0,0.0,0.010512,0.0,92.0,92.0,92.0
Broadcast,Broadcast,77.0,0.0,0.571779,0.0,224.0,224.0,224.0
Broadcast,Broadcast,77.0,0.0,0.250534,0.08401277088633609,97.0,13.0,55.0
Broadcast,Broadcast,71.0,0.0,1.164681,0.0,35.0,35.0,35.0
Broadcast,Broadcast,68.0,0.0,1.302844,0.0,80.0,80.0,80.0
Broadcast,Broadcast,77.0,0.0,0.952954,0.0,38.0,38.0,38.0
Broadcast,Broadcast,77.0,0.0,1.905937,0.0,12.0,12.0,12.0
Broadcast,Broadcast,77.0,0.0,0.473671,0.0,225.0,225.0,225.0
Broadcast,Broadcast,74.0,0.0,0.4345335,0.5833708726534947,93.0,37.0,65.0
Broadcast,Broadcast,77.0,0.0,0.7439993333333333,0.7734426824647921,98.0,16.0,68.0
Broadcast,Broadcast,68.0,0.0,1.160127,0.0,81.0,81.0,81.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.057264,0.06160597120409677,59.0,39.0,49.0
Broadcast,Broadcast,77.0,0.0,0.435427,0.0,231.0,231.0,231.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.43114399999999997,0.5867996334354684,42.0,15.0,28.5
Broadcast,Broadcast,77.0,0.0,1.796069,0.0,99.0,99.0,99.0
Broadcast,Broadcast,77.0,0.0,0.414051,0.0,32.0,32.0,32.0
Broadcast,Broadcast,68.0,0.0,1.142456,0.0,82.0,82.0,82.0
Broadcast,Broadcast,77.0,0.0,0.897104,0.0,40.0,40.0,40.0
Broadcast,Broadcast,77.0,0.0,0.12557949999999998,0.11035320559231615,232.0,16.0,124.0
Broadcast,Broadcast,71.0,0.0,0.88285,0.0,43.0,43.0,43.0
Broadcast,Broadcast,74.0,0.0,0.888913,0.0,95.0,95.0,95.0
Broadcast,Broadcast,77.0,0.0,2.181765,0.0,100.0,100.0,100.0
Broadcast,Broadcast,77.0,0.0,2.551564,0.0,33.0,33.0,33.0
Broadcast,Broadcast,68.0,0.0,0.959939,0.0,83.0,83.0,83.0
Broadcast,Broadcast,74.0,4.242640687119285,0.7067985,0.36238868982419964,63.0,41.0,52.0
Broadcast,Broadcast,77.0,0.0,1.148407,0.0,17.0,17.0,17.0
Broadcast,Broadcast,77.0,0.0,0.14112,0.0,235.0,235.0,235.0
Broadcast,Broadcast,74.0,0.0,0.722506,0.0,48.0,48.0,48.0
Broadcast,Broadcast,77.0,0.0,2.77043,0.0,101.0,101.0,101.0
Broadcast,Broadcast,77.0,0.0,0.065034,0.0,46.0,46.0,46.0
Broadcast,Broadcast,68.0,0.0,0.810951,0.0,84.0,84.0,84.0
Broadcast,Broadcast,75.0,3.4641016151377544,0.4697246666666666,0.4503080737643212,101.0,42.0,69.66666666666667
Broadcast,Broadcast,77.0,0.0,0.039163,0.0,236.0,236.0,236.0
Broadcast,Broadcast,77.0,0.0,0.229073,0.0,18.0,18.0,18.0
Broadcast,Broadcast,74.0,0.0,3.833281,0.0,97.0,97.0,97.0
Broadcast,Broadcast,77.0,0.0,4.316362,0.0,102.0,102.0,102.0
Broadcast,Broadcast,72.5,6.363961030678928,0.673678,0.14904255312493805,102.0,85.0,93.5
Broadcast,Broadcast,76.0,1.7320508075688772,0.32605866666666666,0.07678577852918685,67.0,43.0,52.333333333333336
Broadcast,Broadcast,77.0,0.0,0.003805,0.0,239.0,239.0,239.0
Broadcast,Broadcast,77.0,0.0,2.316208,0.0,19.0,19.0,19.0
Broadcast,Broadcast,71.0,0.0,0.053018,0.0,56.0,56.0,56.0
Broadcast,Broadcast,77.0,0.0,0.080042,0.0,107.0,107.0,107.0
Broadcast,Broadcast,68.0,0.0,0.58133,0.0,86.0,86.0,86.0
Broadcast,Broadcast,76.0,1.7320508075688772,0.47828699999999996,0.4640160887005967,70.0,44.0,59.666666666666664
Broadcast,Broadcast,77.0,0.0,2.416872,0.0,240.0,240.0,240.0
Broadcast,Broadcast,71.0,0.0,0.731854,0.0,53.0,53.0,53.0
Broadcast,Broadcast,77.0,0.0,1.439409,0.0,26.0,26.0,26.0
Broadcast,Broadcast,71.0,0.0,0.248059,0.0,57.0,57.0,57.0
Broadcast,Broadcast,74.0,0.0,0.37571,0.0,99.0,99.0,99.0
Broadcast,Broadcast,77.0,0.0,4.15871,0.0,108.0,108.0,108.0
Broadcast,Broadcast,68.0,0.0,0.55346,0.0,87.0,87.0,87.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.6809385,0.4011565262095333,71.0,45.0,58.0
Broadcast,Broadcast,77.0,0.0,0.697555,0.0,78.0,78.0,78.0
Broadcast,Broadcast,77.0,0.0,0.918328,0.0,243.0,243.0,243.0
Broadcast,Broadcast,75.5,2.1213203435596424,2.12989,2.633135545490965,62.0,27.0,44.5
Broadcast,Broadcast,74.0,0.0,1.102484,0.0,100.0,100.0,100.0
Broadcast,Broadcast,68.0,0.0,0.504497,0.0,88.0,88.0,88.0
Broadcast,Broadcast,76.0,1.7320508075688772,0.460552,0.41859361877720974,109.0,46.0,76.33333333333333
Broadcast,Broadcast,77.0,0.0,1.585999,0.0,113.0,113.0,113.0
Broadcast,Broadcast,77.0,0.0,0.7485715,0.5622453504587654,244.0,79.0,161.5
Broadcast,Broadcast,71.0,0.0,0.54915,0.0,58.0,58.0,58.0
Broadcast,Broadcast,77.0,0.0,0.204298,0.0,28.0,28.0,28.0
Broadcast,Broadcast,74.0,0.0,0.9223915,1.172717504714797,101.0,63.0,82.0
Broadcast,Broadcast,68.0,0.0,0.1761,0.0,89.0,89.0,89.0
Broadcast,Broadcast,77.0,0.0,1.009224,0.0,47.0,47.0,47.0
Broadcast,Broadcast,77.0,0.0,0.339866,0.0,110.0,110.0,110.0
Broadcast,Broadcast,77.0,0.0,0.62566,0.5068527265409549,251.0,96.0,173.5
Broadcast,Broadcast,74.0,4.242640687119285,0.2000405,0.04365747977723865,119.0,61.0,90.0
Broadcast,Broadcast,77.0,0.0,0.701335,0.0,31.0,31.0,31.0
Broadcast,Broadcast,74.0,0.0,2.097007,0.0,102.0,102.0,102.0
Broadcast,Broadcast,68.0,0.0,0.295419,0.0,90.0,90.0,90.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.688797,0.3629310407253698,80.0,48.0,64.0
Broadcast,Broadcast,77.0,0.0,2.815216,0.0,252.0,252.0,252.0
Broadcast,Broadcast,74.0,4.242640687119285,0.258002,0.15078627844734416,111.0,64.0,87.5
Broadcast,Broadcast,77.0,0.0,0.978969,0.0,100.0,100.0,100.0
Broadcast,Broadcast,77.0,0.0,1.865263,0.0,120.0,120.0,120.0
Broadcast,Broadcast,77.0,0.0,1.140743,0.0,32.0,32.0,32.0
Broadcast,Broadcast,74.0,0.0,1.153561,0.0,103.0,103.0,103.0
Broadcast,Broadcast,71.0,4.242640687119285,0.072047,0.07614267241172981,91.0,74.0,82.5
Broadcast,Broadcast,74.0,4.242640687119285,0.6988989999999999,0.41085308149994443,81.0,49.0,65.0
Broadcast,Broadcast,77.0,0.0,0.982526,0.7403690841735627,255.0,112.0,183.5
Broadcast,Broadcast,71.0,0.0,0.342571,0.0,67.0,67.0,67.0
Broadcast,Broadcast,77.0,0.0,1.481793,0.0,113.0,113.0,113.0
Broadcast,Broadcast,77.0,0.0,0.945735,0.0,33.0,33.0,33.0
Broadcast,Broadcast,68.0,0.0,0.058242,0.0,92.0,92.0,92.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.6990700000000001,0.35411341916397354,84.0,50.0,67.0
Broadcast,Broadcast,77.0,0.0,2.790008,0.0,1.0,1.0,1.0
Broadcast,Broadcast,74.0,4.242640687119285,0.43126000000000003,0.3833466277117878,113.0,68.0,90.5
Broadcast,Broadcast,77.0,0.0,3.728551,0.0,116.0,116.0,116.0
Broadcast,Broadcast,77.0,0.0,2.305937,0.0,34.0,34.0,34.0
Broadcast,Broadcast,75.0,1.7320508075688772,0.482485,0.39634749471013436,126.0,82.0,104.33333333333333
Broadcast,Broadcast,68.0,0.0,0.065209,0.0,93.0,93.0,93.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.675917,0.2984344169997824,85.0,51.0,68.0
Broadcast,Broadcast,77.0,0.0,0.9430855,0.826929560792514,114.0,4.0,59.0
Broadcast,Broadcast,71.0,0.0,0.021581,0.0,77.0,77.0,77.0
Broadcast,Broadcast,77.0,0.0,0.458099,0.0,129.0,129.0,129.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.8753865,1.070756949508384,106.0,35.0,70.5
Broadcast,Broadcast,77.0,0.0,1.915171,0.0,131.0,131.0,131.0
Broadcast,Broadcast,71.0,4.242640687119285,0.3864925,0.3606449645017937,94.0,87.0,90.5
Broadcast,Broadcast,77.0,0.0,0.828686,0.0,52.0,52.0,52.0
Broadcast,Broadcast,77.0,0.0,3.253659,0.0,5.0,5.0,5.0
Broadcast,Broadcast,74.0,0.0,0.960825,0.0,78.0,78.0,78.0
Broadcast,Broadcast,77.0,0.0,0.926437,0.0,115.0,115.0,115.0
Broadcast,Broadcast,77.0,0.0,1.100478,0.0,130.0,130.0,130.0
Broadcast,Broadcast,74.0,0.0,3.145666,0.0,107.0,107.0,107.0
Broadcast,Broadcast,72.5,6.363961030678928,0.258486,0.35510478287119707,95.0,36.0,65.5
Broadcast,Broadcast,75.5,2.1213203435596424,0.4038795,0.45429842924282715,89.0,53.0,71.0
Broadcast,Broadcast,74.0,0.0,0.004219,0.0,90.0,90.0,90.0
Broadcast,Broadcast,77.0,0.0,1.524494,0.0,8.0,8.0,8.0
Broadcast,Broadcast,74.0,0.0,0.922403,0.0,81.0,81.0,81.0
Broadcast,Broadcast,77.0,0.0,1.696817,0.0,116.0,116.0,116.0
Broadcast,Broadcast,77.0,0.0,3.132432,0.0,143.0,143.0,143.0
Broadcast,Broadcast,68.0,0.0,1.55035,0.0,96.0,96.0,96.0
Broadcast,Broadcast,75.0,1.7320508075688772,0.4554926666666667,0.18089083461948355,108.0,54.0,84.66666666666667
Broadcast,Broadcast,75.5,2.1213203435596424,0.2217795,0.005479370447414561,93.0,37.0,65.0
Broadcast,Broadcast,77.0,0.0,0.416477,0.21241204864131416,137.0,13.0,75.0
Broadcast,Broadcast,74.0,0.0,0.900136,0.0,82.0,82.0,82.0
Broadcast,Broadcast,77.0,0.0,3.683326,0.0,117.0,117.0,117.0
Broadcast,Broadcast,68.0,0.0,4.640168,0.0,97.0,97.0,97.0
Broadcast,Broadcast,77.0,0.0,0.3284376666666667,0.17155304746443106,146.0,38.0,79.66666666666667
Broadcast,Broadcast,77.0,0.0,0.486746,0.0,143.0,143.0,143.0
Broadcast,Broadcast,74.0,3.0,0.37210766666666667,0.44753657460517493,109.0,16.0,74.66666666666667
Broadcast,Broadcast,74.0,0.0,0.82298,0.0,86.0,86.0,86.0
Broadcast,Broadcast,77.0,0.0,1.519717,0.0,118.0,118.0,118.0
Broadcast,Broadcast,68.0,0.0,2.987575,0.0,98.0,98.0,98.0
Broadcast,Broadcast,77.0,0.0,0.434972,0.0,56.0,56.0,56.0
Broadcast,Broadcast,77.0,0.0,1.2825925,1.0233199839857032,160.0,39.0,99.5
Broadcast,Broadcast,75.5,2.1213203435596424,0.3645775,0.03941625330368171,110.0,17.0,63.5
Broadcast,Broadcast,71.0,0.0,0.00408,0.0,87.0,87.0,87.0
Broadcast,Broadcast,71.0,0.0,1.377811,0.0,100.0,100.0,100.0
Broadcast,Broadcast,77.0,0.0,2.33649,0.0,119.0,119.0,119.0
Broadcast,Broadcast,68.0,0.0,0.942596,0.0,99.0,99.0,99.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.36677150000000003,0.10188065214013892,104.0,57.0,80.5
Broadcast,Broadcast,75.5,2.1213203435596424,0.3696895,0.32785076620392395,111.0,40.0,75.5
Broadcast,Broadcast,77.0,0.0,0.770732,0.0,20.0,20.0,20.0
Broadcast,Broadcast,74.0,4.242640687119285,0.4459135,0.5469449739274509,177.0,92.0,134.5
Broadcast,Broadcast,77.0,0.0,0.686267,0.0,152.0,152.0,152.0
Broadcast,Broadcast,74.0,0.0,2.441326,0.0,107.0,107.0,107.0
Broadcast,Broadcast,68.0,0.0,4.271746,0.0,100.0,100.0,100.0
Broadcast,Broadcast,76.0,1.7320508075688772,0.2672063333333333,0.12860730613901114,120.0,59.0,95.33333333333333
Broadcast,Broadcast,77.0,0.0,1.3533845,1.3972946184196444,41.0,23.0,32.0
Broadcast,Broadcast,75.0,3.4641016151377544,0.43215699999999996,0.39782256556786716,181.0,93.0,143.66666666666666
Broadcast,Broadcast,74.0,0.0,4.383832,0.0,108.0,108.0,108.0
Broadcast,Broadcast,68.0,0.0,4.244612,0.0,101.0,101.0,101.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.254789,0.19829112622101877,108.0,60.0,84.0
Broadcast,Broadcast,77.0,0.0,0.704272,0.0,121.0,121.0,121.0
Broadcast,Broadcast,74.0,0.0,0.880343,0.0,113.0,113.0,113.0
Broadcast,Broadcast,77.0,0.0,0.3506285,0.4662372201363808,194.0,26.0,110.0
Broadcast,Broadcast,74.0,4.242640687119285,0.668545,0.23076571225379222,97.0,42.0,69.5
Broadcast,Broadcast,74.0,0.0,2.419353,0.0,114.0,114.0,114.0
Broadcast,Broadcast,68.0,0.0,4.130568,0.0,102.0,102.0,102.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.2352215,0.3004843195584422,111.0,61.0,86.0
Broadcast,Broadcast,77.0,0.0,0.574085,0.0,122.0,122.0,122.0
Broadcast,Broadcast,77.0,0.0,1.284573,0.0,27.0,27.0,27.0
Broadcast,Broadcast,77.0,0.0,1.229101,0.0,196.0,196.0,196.0
