Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 12, 2023 16:12:33.000000",0.000000,77,0x482d,0xffff,0x8841,64,0x482d,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:33.459795",0.459795,12,0x2cae,0xe694,0x8863,146,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:33.460530",0.000735,5,,,0x0002,146,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:38.000207",4.539677,77,0x054f,0xffff,0x8841,72,0x054f,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:38.489499",0.489292,12,0x2cae,0xe694,0x8863,147,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:38.490225",0.000726,5,,,0x0002,147,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:38.498247",0.008022,12,0x2cae,0xe694,0x8863,147,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:38.498984",0.000737,5,,,0x0002,147,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:39.493891",0.994907,77,0xe5c4,0xffff,0x8841,6,0xe5c4,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:39.969934",0.476043,68,0xebe5,0xffff,0x8841,250,0xebe5,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:40.118177",0.148243,77,0x0000,0xffff,0x8841,8,0x0000,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:41.128932",1.010755,77,0x82eb,0xffff,0x8841,249,0x82eb,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:41.133968",0.005036,71,0x6e5f,0xffff,0x8841,43,0x6e5f,0xfffc,0x1209,,,idel1.pcapng
"Oct 12, 2023 16:12:42.602055",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.604072",0.002017,5,,,0x0002,9,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.611954",,63,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.614353",0.002399,5,,,0x0002,104,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.637365",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.639412",0.002047,5,,,0x0002,10,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.643719",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.645737",0.002018,5,,,0x0002,65,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.650686",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.652481",0.001795,5,,,0x0002,11,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.655812",0.003331,5,,,0x0002,44,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.667343",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.669417",0.002074,5,,,0x0002,12,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.677180",,66,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.682310",,66,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.684805",0.002495,5,,,0x0002,105,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.699260",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.701371",0.002111,5,,,0x0002,13,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.705541",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.707622",0.002081,5,,,0x0002,66,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.713863",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.718721",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.720594",,66,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.723621",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.725444",0.001823,5,,,0x0002,14,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.725890",,66,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.728385",0.002495,5,,,0x0002,45,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.731155",,66,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.734135",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.736216",0.002081,5,,,0x0002,15,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.736973",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.738878",0.001905,107,0x6e5f,0x0000,0x886b,46,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.744005",0.005127,71,0x6e5f,0x0000,0x8847,46,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.748562",0.004557,45,0x482d,0x6e5f,0x8861,67,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.754850",,54,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.762257",,66,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.764752",0.002495,5,,,0x0002,47,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.767210",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.769002",0.001792,5,,,0x0002,16,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.772686",0.003684,107,0x6e5f,0x0000,0x886b,47,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.777939",,66,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.780434",0.002495,5,,,0x0002,47,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.781819",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.783836",0.002017,5,,,0x0002,17,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.787599",,52,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.789617",0.002018,5,,,0x0002,107,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.791406",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.793188",0.001782,5,,,0x0002,68,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.794525",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.796348",0.001823,5,,,0x0002,18,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.797497",0.001149,63,0xc8f0,0x0000,0x8861,11,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.799896",0.002399,5,,,0x0002,11,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.802297",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.804079",0.001782,5,,,0x0002,69,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.805796",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.807619",0.001823,5,,,0x0002,18,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.815434",,45,,,,,,,,,,idel1.pcapng
"Oct 12, 2023 16:12:42.817256",0.001822,5,,,0x0002,19,,,,,,idel1.pcapng
