Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 12, 2023 18:13:30.000000",0.000000,12,0x2cae,0x482d,0x8863,217,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:30.000767",0.000767,5,,,0x0002,217,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:30.701537",0.700770,77,0xe694,0xffff,0x8841,154,0xe694,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.756978",,63,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:30.759377",0.002399,5,,,0x0002,179,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:30.804815",0.045438,59,0x0000,0xffff,0x8841,245,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.823907",0.019092,59,0x82eb,0xffff,0x8841,46,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.834136",0.010229,59,0x054f,0xffff,0x8841,110,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.839900",0.005764,45,0x6e5f,0x054f,0x8861,180,0x6e5f,0x054f,0x0209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.841710",0.001810,5,,,0x0002,180,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:30.844320",0.002610,45,0x054f,0x0000,0x8861,111,0x054f,0x0000,0x0209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.846143",0.001823,5,,,0x0002,111,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:30.852299",0.006156,59,0xe5c4,0xffff,0x8841,14,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.857529",0.005230,59,0x09ac,0xffff,0x8841,104,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.878934",0.021405,59,0xe694,0xffff,0x8841,155,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.889293",0.010359,59,0xa209,0xffff,0x8841,154,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:30.920289",0.030996,59,0x4e2d,0xffff,0x8841,15,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:30.957578",,63,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:30.959976",0.002398,5,,,0x0002,181,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:30.998683",0.038707,59,0xebe5,0xffff,0x8841,124,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.001872",,50,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.003842",0.001970,5,,,0x0002,246,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.005774",,50,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.007718",0.001944,5,,,0x0002,112,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.013092",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.014915",0.001823,5,,,0x0002,182,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.032158",,57,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.034365",0.002207,5,,,0x0002,183,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.074499",0.040134,59,0x0000,0xffff,0x8841,247,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.082041",,50,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.084938",,50,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.086907",0.001969,5,,,0x0002,248,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.088487",,50,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.095625",,45,,,,,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.097448",0.001823,5,,,0x0002,184,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.133128",0.035680,59,0xe694,0xffff,0x8841,156,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.139027",0.005899,59,0x054f,0xffff,0x8841,114,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.175306",0.036279,59,0xc8f0,0xffff,0x8841,201,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.198282",0.022976,59,0xe5c4,0xffff,0x8841,15,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.205036",0.006754,59,0x09ac,0xffff,0x8841,105,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.236839",0.031803,59,0xa209,0xffff,0x8841,155,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.252875",0.016036,59,0xebe5,0xffff,0x8841,125,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.271533",0.018658,45,0x6e5f,0x482d,0x8861,185,0x6e5f,0x482d,0x0209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.278432",0.006899,5,,,0x0002,17,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.387233",0.108801,59,0xe694,0xffff,0x8841,157,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.403459",0.016226,59,0x0000,0xffff,0x8841,249,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.415439",0.011980,59,0x054f,0xffff,0x8841,115,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.429494",0.014055,59,0xc8f0,0xffff,0x8841,202,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.463376",0.033882,59,0xe5c4,0xffff,0x8841,16,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.472299",0.008923,59,0x09ac,0xffff,0x8841,106,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.506914",0.034615,59,0xebe5,0xffff,0x8841,126,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.563885",0.056971,59,0xa209,0xffff,0x8841,156,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:31.573107",0.009222,106,0xc8f0,0xffff,0x886a,203,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.593675",0.020568,59,0x482d,0xfff4,0x8841,18,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:31.726384",0.132709,59,0x0000,0xffff,0x8841,250,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:32.941238",1.214854,77,0x482d,0xffff,0x8841,19,0x482d,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:35.079719",2.138481,12,0x1523,0x6723,0x8863,218,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:35.080487",0.000768,5,,,0x0002,218,,,,,,idle3.pcapng
"Oct 12, 2023 18:13:35.143728",0.063241,71,0xa209,0xffff,0x8841,157,0xa209,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:37.181609",2.037881,74,0x0000,0xffff,0x8841,251,0x0000,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:39.059946",1.878337,74,0x09ac,0xffff,0x8841,107,0x09ac,0xfffc,0x1209,,,idle3.pcapng
"Oct 12, 2023 18:13:39.083594",0.023648,77,0x054f,0xffff,0x8841,116,0x054f,0xfffc,0x1209,,,idle3.pcapng
