Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-26 17:22:33.000000,74,0x3d95,0xffff,97.0,0x3d95,0xfffc,0.0
2023-10-26 17:22:33.635838,10,,0xffff,211.0,,,0.635838
2023-10-26 17:22:33.638678,28,0xe1a6,,203.0,,,0.00284
2023-10-26 17:22:33.643486,28,0x1e15,,51.0,,,0.004808
2023-10-26 17:22:33.644981,28,0x1cd8,,47.0,,,0.001495
2023-10-26 17:22:33.649644,28,0x711c,,32.0,,,0.004663
2023-10-26 17:22:33.659905,28,0x5bb9,,215.0,,,0.010261
2023-10-26 17:22:33.684275,28,0xec7f,,51.0,,,0.02437
2023-10-26 17:22:33.686527,28,0x0112,,35.0,,,0.002252
2023-10-26 17:22:33.694208,28,0x0000,,61.0,,,0.007681
2023-10-26 17:22:33.723755,28,0x3d95,,98.0,,,0.029547
2023-10-26 17:22:33.730381,28,0x4e11,,109.0,,,0.006626
2023-10-26 17:22:33.733576,28,0xa706,,94.0,,,0.003195
2023-10-26 17:22:34.875733,74,0xe1a6,0xffff,204.0,,,1.142157
2023-10-26 17:22:34.956194,12,0x48f1,0x0000,126.0,,,0.080461
2023-10-26 17:22:34.956961,5,0x0000,0x48f1,126.0,,,0.000767
2023-10-26 17:22:36.126858,77,0x5bb9,0xffff,216.0,0x5bb9,0xfffc,1.169897
2023-10-26 17:22:37.748186,52,0x0000,0xec7f,62.0,,,1.621328
2023-10-26 17:22:37.750219,5,0xec7f,0x0000,62.0,,,0.002033
2023-10-26 17:22:37.754013,52,0xec7f,0xe1a6,100.0,0x0000,0xe1a6,0.003794
2023-10-26 17:22:37.756031,5,0xe1a6,0xec7f,100.0,,,0.002018
2023-10-26 17:22:37.763437,63,0xe1a6,0x0000,205.0,0xe1a6,0x0000,0.007406
2023-10-26 17:22:37.765835,5,0x0000,0xe1a6,205.0,,,0.002398
2023-10-26 17:22:37.775377,52,0x0000,0xec7f,63.0,,,0.009542
2023-10-26 17:22:37.777411,5,0xec7f,0x0000,63.0,,,0.002034
2023-10-26 17:22:37.779279,52,0xec7f,0x3d95,101.0,,,0.001868
2023-10-26 17:22:37.781297,5,0x3d95,0xec7f,101.0,,,0.002018
2023-10-26 17:22:37.788333,63,0x3d95,0x0000,99.0,,,0.007036
2023-10-26 17:22:37.790732,5,0x0000,0x3d95,99.0,,,0.002399
2023-10-26 17:22:37.796359,45,0x0000,0xec7f,64.0,0x0000,0xe1a6,0.005627
2023-10-26 17:22:37.798168,5,0xec7f,0x0000,64.0,,,0.001809
2023-10-26 17:22:37.801626,45,0xec7f,0xe1a6,102.0,,,0.003458
2023-10-26 17:22:37.803420,5,0xe1a6,0xec7f,102.0,,,0.001794
2023-10-26 17:22:37.813501,54,0x0000,0xec7f,65.0,,,0.010081
2023-10-26 17:22:37.815598,5,0xec7f,0x0000,65.0,,,0.002097
2023-10-26 17:22:37.818829,54,0xec7f,0xe1a6,103.0,,,0.003231
2023-10-26 17:22:37.820910,5,0xe1a6,0xec7f,103.0,,,0.002081
2023-10-26 17:22:37.828077,66,0xe1a6,0x0000,206.0,,,0.007167
2023-10-26 17:22:37.830572,5,0x0000,0xe1a6,206.0,,,0.002495
2023-10-26 17:22:37.832195,45,0x0000,0xec7f,66.0,0x0000,0x3d95,0.001623
2023-10-26 17:22:37.834004,5,0xec7f,0x0000,66.0,,,0.001809
2023-10-26 17:22:37.835530,45,0xec7f,0x3d95,104.0,,,0.001526
2023-10-26 17:22:37.837321,5,0x3d95,0xec7f,104.0,,,0.001791
2023-10-26 17:22:37.857751,54,0x0000,0xec7f,67.0,0x0000,0x3d95,0.02043
2023-10-26 17:22:37.859848,5,0xec7f,0x0000,67.0,,,0.002097
2023-10-26 17:22:37.863364,54,0xec7f,0x3d95,105.0,,,0.003516
2023-10-26 17:22:37.865446,5,0x3d95,0xec7f,105.0,,,0.002082
2023-10-26 17:22:37.870108,54,0x0000,0xec7f,68.0,,,0.004662
2023-10-26 17:22:37.872205,5,0xec7f,0x0000,68.0,,,0.002097
2023-10-26 17:22:37.874910,66,0x3d95,0x0000,100.0,0x3d95,0x0000,0.002705
2023-10-26 17:22:37.877405,5,0x0000,0x3d95,100.0,,,0.002495
2023-10-26 17:22:37.879569,54,0xec7f,0xa706,106.0,,,0.002164
2023-10-26 17:22:37.881644,5,0xa706,0xec7f,106.0,,,0.002075
2023-10-26 17:22:37.889000,66,0xa706,0x0000,95.0,0xa706,0x0000,0.007356
2023-10-26 17:22:37.891495,5,0x0000,0xa706,95.0,,,0.002495
2023-10-26 17:22:37.894290,66,0xa706,0x0000,95.0,0xa706,0x0000,0.002795
2023-10-26 17:22:37.897004,45,0x0000,0xec7f,69.0,0x0000,0xe1a6,0.002714
2023-10-26 17:22:37.898813,5,0xec7f,0x0000,69.0,,,0.001809
2023-10-26 17:22:37.899395,66,0xa706,0x0000,95.0,0xa706,0x0000,0.000582
2023-10-26 17:22:37.902928,45,0xec7f,0xe1a6,107.0,0x0000,0xe1a6,0.003533
2023-10-26 17:22:37.904497,108,0x1886,0xa9d6,136.0,,,0.001569
2023-10-26 17:22:37.908731,52,0x0000,0xec7f,70.0,0x0000,0xa706,0.004234
2023-10-26 17:22:37.910764,5,0xec7f,0x0000,70.0,,,0.002033
2023-10-26 17:22:37.911949,66,0xa706,0x0000,96.0,,,0.001185
2023-10-26 17:22:37.914444,5,0x0000,0xa706,96.0,,,0.002495
2023-10-26 17:22:37.917126,52,0xec7f,0xa706,108.0,,,0.002682
2023-10-26 17:22:37.921088,52,0xec7f,0xa706,108.0,,,0.003962
2023-10-26 17:22:37.925326,52,0xec7f,0xa706,108.0,,,0.004238
2023-10-26 17:22:37.927342,66,0xa706,0x0000,96.0,,,0.002016
2023-10-26 17:22:37.930188,45,0x0000,0xec7f,71.0,0x0000,0x3d95,0.002846
2023-10-26 17:22:37.932285,5,0xa706,0xec7f,108.0,,,0.002097
2023-10-26 17:22:37.933753,45,0x0000,0xec7f,71.0,0x0000,0x3d95,0.001468
2023-10-26 17:22:37.935563,5,0xec7f,0x0000,71.0,,,0.00181
2023-10-26 17:22:37.937175,66,0xa706,0x0000,97.0,,,0.001612
2023-10-26 17:22:37.939658,45,0xec7f,0x3d95,109.0,0x0000,0x3d95,0.002483
2023-10-26 17:22:37.941450,5,0x3d95,0xec7f,109.0,,,0.001792
2023-10-26 17:22:37.943373,66,0xa706,0x0000,97.0,,,0.001923
2023-10-26 17:22:37.945868,5,0x0000,0xa706,97.0,,,0.002495
2023-10-26 17:22:37.948487,66,0xa706,0x0000,97.0,,,0.002619
2023-10-26 17:22:37.952419,45,0x0000,0xec7f,72.0,,,0.003932
2023-10-26 17:22:37.954229,5,0xec7f,0x0000,72.0,,,0.00181
2023-10-26 17:22:37.962523,45,0xec7f,0xa706,110.0,,,0.008294
2023-10-26 17:22:37.965916,45,0xec7f,0xa706,110.0,,,0.003393
2023-10-26 17:22:37.968752,45,0x0000,0xec7f,72.0,,,0.002836
2023-10-26 17:22:37.972097,45,0xec7f,0xa706,110.0,,,0.003345
2023-10-26 17:22:37.978601,66,0xa706,0x0000,99.0,,,0.006504
2023-10-26 17:22:37.981473,45,0x0000,0xec7f,72.0,,,0.002872
2023-10-26 17:22:37.983282,5,0xec7f,0x0000,72.0,,,0.001809
2023-10-26 17:22:37.983801,66,0xa706,0x0000,99.0,,,0.000519
2023-10-26 17:22:37.988720,45,0x0000,0xec7f,73.0,0x0000,0xa706,0.004919
2023-10-26 17:22:37.990529,5,0xec7f,0x0000,73.0,,,0.001809
2023-10-26 17:22:37.992388,45,0xec7f,0xa706,111.0,,,0.001859
2023-10-26 17:22:37.994055,66,0xa706,0x0000,99.0,,,0.001667
2023-10-26 17:22:37.997846,45,0x0000,0xec7f,74.0,,,0.003791
2023-10-26 17:22:37.999655,5,0xec7f,0x0000,74.0,,,0.001809
2023-10-26 17:22:38.003987,63,0xa706,0x0000,100.0,,,0.004332
2023-10-26 17:22:38.007043,45,0xec7f,0xa706,111.0,,,0.003056
2023-10-26 17:22:38.009112,63,0xa706,0x0000,100.0,,,0.002069
2023-10-26 17:22:38.011923,45,0xec7f,0xa706,111.0,,,0.002811
2023-10-26 17:22:38.013730,5,0xa706,0xec7f,111.0,,,0.001807
2023-10-26 17:22:38.016608,45,0xec7f,0xa706,112.0,0x0000,0xa706,0.002878
2023-10-26 17:22:38.020939,45,0xec7f,0xa706,112.0,0x0000,0xa706,0.004331
2023-10-26 17:22:38.022730,5,0xa706,0xec7f,112.0,,,0.001791
2023-10-26 17:22:38.024485,63,0xa706,0x0000,101.0,,,0.001755
2023-10-26 17:22:38.029624,63,0x3f1a,0x0000,101.0,,,0.005139
2023-10-26 17:22:38.034733,63,0xa706,0x0000,101.0,,,0.005109
2023-10-26 17:22:38.039835,63,0xa706,0x0000,101.0,,,0.005102
2023-10-26 17:22:38.043215,45,0xec7f,0xa706,113.0,,,0.00338
2023-10-26 17:22:38.045007,5,0xa706,0xec7f,113.0,,,0.001792
2023-10-26 17:22:38.049688,63,0xa706,0x0000,102.0,,,0.004681
2023-10-26 17:22:38.054691,63,0xa706,0x0000,102.0,,,0.005003
2023-10-26 17:22:38.057634,10,,0xffff,211.0,,,0.002943
2023-10-26 17:22:38.068810,28,0x1cd8,,48.0,,,0.011176
2023-10-26 17:22:38.108343,28,0xe1a6,,207.0,,,0.039533
2023-10-26 17:22:38.125482,28,0xa706,,103.0,,,0.017139
2023-10-26 17:22:38.130309,77,0x0000,0xffff,75.0,,,0.004827
2023-10-26 17:22:38.142400,28,0x0000,,76.0,,,0.012091
2023-10-26 17:22:38.149974,28,0xec7f,,52.0,,,0.007574
2023-10-26 17:22:38.154205,28,0x1e15,,52.0,,,0.004231
2023-10-26 17:22:38.158360,28,0x4e11,,110.0,,,0.004155
2023-10-26 17:22:38.169239,28,0x3d95,,101.0,,,0.010879
2023-10-26 17:22:40.018366,12,0x48f1,0x0000,127.0,,,1.849127
2023-10-26 17:22:40.019133,5,0x0000,0x48f1,127.0,,,0.000767
2023-10-26 17:22:40.156671,77,0x711c,0xffff,34.0,,,0.137538
2023-10-26 17:22:40.223366,77,0x4e11,0xffff,190.0,0x4e11,0xfffc,0.066695
2023-10-26 17:22:42.477386,10,,0xffff,211.0,,,2.25402
2023-10-26 17:22:42.482349,28,0x711c,,35.0,,,0.004963
2023-10-26 17:22:42.486550,28,0x1cd8,,49.0,,,0.004201
2023-10-26 17:22:42.491003,28,0x1e15,,53.0,,,0.004453
2023-10-26 17:22:42.493085,28,0x5bb9,,218.0,,,0.002082
2023-10-26 17:22:42.510280,28,0xe1a6,,208.0,,,0.017195
2023-10-26 17:22:42.512234,28,0x0112,,37.0,,,0.001954
2023-10-26 17:22:42.552224,28,0x0000,,77.0,,,0.03999
2023-10-26 17:22:42.559282,28,0xec7f,,53.0,,,0.007058
2023-10-26 17:22:42.591994,28,0x3d95,,102.0,,,0.032712
2023-10-26 17:22:42.593747,28,0x4e11,,111.0,,,0.001753
2023-10-26 17:22:42.777263,57,0x27d7,0x0000,13.0,,,0.183516
2023-10-26 17:22:42.779469,5,0x0000,0x27d7,13.0,,,0.002206
2023-10-26 17:22:42.845552,71,0xa706,0xffff,105.0,,,0.066083
2023-10-26 17:22:44.018968,77,0x1cd8,0xffff,50.0,,,1.173416
2023-10-26 17:22:44.139935,68,0x1e15,0xffff,54.0,,,0.120967
2023-10-26 17:22:45.018035,12,0x48f1,0x0000,128.0,,,0.8781
2023-10-26 17:22:45.018802,5,0x0000,0x48f1,128.0,,,0.000767
2023-10-26 17:22:45.420474,77,0xec7f,0xffff,114.0,,,0.401672
2023-10-26 17:22:46.457740,60,0xe1a6,0x0000,209.0,0xe1a6,0x0000,1.037266
2023-10-26 17:22:46.460043,5,0x0000,0xe1a6,209.0,,,0.002303
2023-10-26 17:22:46.499483,50,0x0000,0xec7f,78.0,,,0.03944
2023-10-26 17:22:46.501452,5,0xec7f,0x0000,78.0,,,0.001969
2023-10-26 17:22:46.504591,50,0xec7f,0xe1a6,115.0,,,0.003139
2023-10-26 17:22:46.506542,5,0xe1a6,0xec7f,115.0,,,0.001951
2023-10-26 17:22:46.511710,45,0xe1a6,0x0000,210.0,,,0.005168
2023-10-26 17:22:46.513533,5,0x0000,0xe1a6,210.0,,,0.001823
2023-10-26 17:22:46.895531,10,,0xffff,211.0,,,0.381998
2023-10-26 17:22:46.901459,28,0x1cd8,,51.0,,,0.005928
2023-10-26 17:22:46.903345,28,0xec7f,,54.0,,,0.001886
2023-10-26 17:22:46.906786,28,0x5bb9,,219.0,,,0.003441
2023-10-26 17:22:46.911137,28,0x711c,,36.0,,,0.004351
2023-10-26 17:22:46.913938,28,0x0112,,38.0,,,0.002801
2023-10-26 17:22:46.922323,28,0x4e11,,112.0,,,0.008385
2023-10-26 17:22:46.937249,28,0x3d95,,103.0,,,0.014926
2023-10-26 17:22:46.943478,28,0xe1a6,,211.0,,,0.006229
2023-10-26 17:22:47.001155,28,0x1e15,,55.0,,,0.057677
2023-10-26 17:22:47.008408,28,0xa706,,106.0,,,0.007253
2023-10-26 17:22:47.019049,28,0x0000,,79.0,,,0.010641
2023-10-26 17:22:48.052133,74,0x3d95,0xffff,104.0,0x3d95,0xfffc,1.033084
2023-10-26 17:22:48.427642,52,0xe01d,0xe1a6,162.0,0xe01d,0x0000,0.375509
2023-10-26 17:22:48.429659,5,0xe1a6,0xe01d,162.0,,,0.002017
2023-10-26 17:22:48.433377,52,0xe1a6,0x0000,212.0,,,0.003718
