Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
"Oct 26, 2023 18:20:09.000000000",0.0,77,0x0000,0xffff,159.0,0x0000,0xfffc
"Oct 26, 2023 18:20:09.553524000",0.553524,10,,0xffff,211.0,,
"Oct 26, 2023 18:20:09.559542000",0.006018,28,0xec7f,,58.0,,
"Oct 26, 2023 18:20:09.567627000",0.008085,28,0x5bb9,,220.0,,
"Oct 26, 2023 18:20:09.570339000",0.002712,28,0x1cd8,,138.0,,
"Oct 26, 2023 18:20:09.571960000",0.001621,28,0x711c,,99.0,,
"Oct 26, 2023 18:20:09.576163000",0.004203,28,0x1e15,,30.0,,
"Oct 26, 2023 18:20:09.599091000",0.022928,28,0x0112,,35.0,,
"Oct 26, 2023 18:20:09.603690000",0.004599,28,0x4e11,,114.0,,
"Oct 26, 2023 18:20:09.622312000",0.018622,28,0xe1a6,,63.0,,
"Oct 26, 2023 18:20:09.623759000",0.001447,28,0x0000,,160.0,,
"Oct 26, 2023 18:20:09.635239000",0.01148,28,0xa706,,80.0,,
"Oct 26, 2023 18:20:09.651128000",0.015889,28,0x3d95,,222.0,,
"Oct 26, 2023 18:20:11.229946000",1.578818,74,0x0112,0xffff,234.0,0x0112,0xfffc
"Oct 26, 2023 18:20:11.684967000",0.455021,12,0x48f1,0x0000,62.0,,
"Oct 26, 2023 18:20:11.685734000",0.000767,5,,,62.0,,
"Oct 26, 2023 18:20:11.836595000",0.150861,53,0xe1a6,0x0000,64.0,0xe1a6,0x0000
"Oct 26, 2023 18:20:11.838674000",0.002079,5,,,64.0,,
"Oct 26, 2023 18:20:11.851740000",0.013066,45,0x0000,0xe1a6,161.0,0x0000,0xe1a6
"Oct 26, 2023 18:20:11.853533000",0.001793,5,,,161.0,,
"Oct 26, 2023 18:20:12.869295000",1.015762,74,0x5bb9,0xffff,221.0,0x5bb9,0xfffc
"Oct 26, 2023 18:20:13.282976000",0.413681,74,0xa706,0xffff,81.0,0xa706,0xfffc
"Oct 26, 2023 18:20:13.975660000",0.692684,10,,0xffff,211.0,,
"Oct 26, 2023 18:20:13.981919000",0.006259,28,0x5bb9,,222.0,,
"Oct 26, 2023 18:20:13.985769000",0.00385,28,0x1cd8,,139.0,,
"Oct 26, 2023 18:20:13.988375000",0.002606,28,0xa706,,82.0,,
"Oct 26, 2023 18:20:14.000952000",0.012577,28,0x0000,,162.0,,
"Oct 26, 2023 18:20:14.012211000",0.011259,28,0x1e15,,31.0,,
"Oct 26, 2023 18:20:14.020429000",0.008218,28,0xec7f,,59.0,,
"Oct 26, 2023 18:20:14.024410000",0.003981,28,0x4e11,,115.0,,
"Oct 26, 2023 18:20:14.039230000",0.01482,28,0x0112,,36.0,,
"Oct 26, 2023 18:20:14.047379000",0.008149,28,0x3d95,,223.0,,
"Oct 26, 2023 18:20:14.066493000",0.019114,28,0xe1a6,,65.0,,
"Oct 26, 2023 18:20:14.146781000",0.080288,71,0x1e15,0xffff,32.0,0x1e15,0xfffc
"Oct 26, 2023 18:20:16.716374000",2.569593,12,0x48f1,0x0000,63.0,,
"Oct 26, 2023 18:20:16.717141000",0.000767,5,,,63.0,,
"Oct 26, 2023 18:20:16.981914000",0.264773,50,0x0000,0x5bb9,163.0,0x0000,0x5bb9
"Oct 26, 2023 18:20:16.983896000",0.001982,5,,,163.0,,
"Oct 26, 2023 18:20:16.989520000",0.005624,55,0x5bb9,0x0000,223.0,0x5bb9,0x0000
"Oct 26, 2023 18:20:16.991663000",0.002143,5,,,223.0,,
"Oct 26, 2023 18:20:16.994299000",0.002636,55,0x5bb9,0x0000,223.0,0x5bb9,0x0000
"Oct 26, 2023 18:20:16.996442000",0.002143,5,,,223.0,,
"Oct 26, 2023 18:20:17.035410000",0.038968,53,0x5bb9,0x0000,224.0,0x5bb9,0x0000
"Oct 26, 2023 18:20:17.037488000",0.002078,5,,,224.0,,
"Oct 26, 2023 18:20:17.078874000",0.041386,50,0x0000,0x5bb9,164.0,0x0000,0x5bb9
"Oct 26, 2023 18:20:17.080857000",0.001983,5,,,164.0,,
"Oct 26, 2023 18:20:17.084720000",0.003863,55,0x5bb9,0x0000,225.0,0x5bb9,0x0000
"Oct 26, 2023 18:20:17.086862000",0.002142,5,,,225.0,,
"Oct 26, 2023 18:20:17.134245000",0.047383,53,0x5bb9,0x0000,226.0,0x5bb9,0x0000
"Oct 26, 2023 18:20:17.136323000",0.002078,5,,,226.0,,
"Oct 26, 2023 18:20:17.653401000",0.517078,77,0xec7f,0xffff,190.0,0xec7f,0xfffc
"Oct 26, 2023 18:20:18.435126000",0.781725,74,0x3d95,0xffff,224.0,0x3d95,0xfffc
"Oct 26, 2023 18:20:19.058335000",0.623209,77,0x1cd8,0xffff,140.0,0x1cd8,0xfffc
"Oct 26, 2023 18:20:20.226428000",1.168093,77,0xe1a6,0xffff,66.0,0xe1a6,0xfffc
"Oct 26, 2023 18:20:20.372295000",0.145867,63,0x3d95,0x0000,225.0,0x3d95,0x0000
"Oct 26, 2023 18:20:20.374694000",0.002399,5,,,225.0,,
"Oct 26, 2023 18:20:20.421005000",0.046311,50,0x0000,0xec7f,165.0,0x0000,0x3d95
"Oct 26, 2023 18:20:20.422974000",0.001969,5,,,165.0,,
"Oct 26, 2023 18:20:20.476395000",0.053421,50,0xec7f,0x3d95,192.0,0x0000,0x3d95
"Oct 26, 2023 18:20:20.478348000",0.001953,5,,,192.0,,
"Oct 26, 2023 18:20:20.483113000",0.004765,45,0x3d95,0x0000,226.0,0x3d95,0x0000
"Oct 26, 2023 18:20:20.484935000",0.001822,5,,,226.0,,
"Oct 26, 2023 18:20:20.498040000",0.013105,57,0x3d95,0x0000,227.0,0x3d95,0x0000
"Oct 26, 2023 18:20:20.500247000",0.002207,5,,,227.0,,
"Oct 26, 2023 18:20:20.502763000",0.002516,57,0x3d95,0x0000,227.0,0x3d95,0x0000
"Oct 26, 2023 18:20:20.504969000",0.002206,5,,,227.0,,
"Oct 26, 2023 18:20:20.537825000",0.032856,50,0x0000,0xec7f,166.0,0x0000,0x3d95
"Oct 26, 2023 18:20:20.539795000",0.00197,5,,,166.0,,
"Oct 26, 2023 18:20:20.543579000",0.003784,50,0xec7f,0x3d95,193.0,0x0000,0x3d95
"Oct 26, 2023 18:20:20.545531000",0.001952,5,,,193.0,,
"Oct 26, 2023 18:20:20.550306000",0.004775,45,0x3d95,0x0000,228.0,0x3d95,0x0000
"Oct 26, 2023 18:20:20.552129000",0.001823,5,,,228.0,,
"Oct 26, 2023 18:20:21.716246000",1.164117,12,0x48f1,0x0000,64.0,,
