Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-26 18:20:09.000000,77,0x0000,0xffff,159.0,,,0.0
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-26 18:20:09.553524,10,,0xffff,211.0,,,0.553524
Ledvance Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.559542,28,0xec7f,,58.0,,,0.006018
Philips Lamp 2,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.567627,28,0x5bb9,,220.0,,,0.008085
Philips Lamp 1,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.570339,28,0x1cd8,,138.0,,,0.002712
Philips Lamp 3,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.571960,28,0x711c,,99.0,,,0.001621
Moes Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.576163,28,0x1e15,,30.0,,,0.004203
Ledvance Smart+ Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.599091,28,0x0112,,35.0,,,0.022928
Ledvance Z3 Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.603690,28,0x4e11,,114.0,,,0.004599
Smart Socket,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.622312,28,0xe1a6,,63.0,,,0.018622
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.623759,28,0x0000,,160.0,,,0.001447
Power Plug 2,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.635239,28,0xa706,,80.0,,,0.01148
Power Plug 1,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:09.651128,28,0x3d95,,222.0,,,0.015889
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-26 18:20:11.229946,74,0x0112,0xffff,234.0,,,1.578818
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-26 18:20:11.684967,12,0x48f1,0x0000,62.0,,,0.455021
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:11.685734,5,0x0000,0x48f1,62.0,,,0.000767
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-26 18:20:11.836595,53,0xe1a6,0x0000,64.0,0xe1a6,0x0000,0.150861
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-26 18:20:11.838674,5,0x0000,0xe1a6,64.0,,,0.002079
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-26 18:20:11.851740,45,0x0000,0xe1a6,161.0,0x0000,0xe1a6,0.013066
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-26 18:20:11.853533,5,0xe1a6,0x0000,161.0,,,0.001793
Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-26 18:20:12.869295,74,0x5bb9,0xffff,221.0,0x5bb9,0xfffc,1.015762
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-26 18:20:13.282976,74,0xa706,0xffff,81.0,,,0.413681
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-26 18:20:13.975660,10,,0xffff,211.0,,,0.692684
Philips Lamp 2,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:13.981919,28,0x5bb9,,222.0,,,0.006259
Philips Lamp 1,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:13.985769,28,0x1cd8,,139.0,,,0.00385
Power Plug 2,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:13.988375,28,0xa706,,82.0,,,0.002606
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:14.000952,28,0x0000,,162.0,,,0.012577
Moes Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:14.012211,28,0x1e15,,31.0,,,0.011259
Ledvance Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:14.020429,28,0xec7f,,59.0,,,0.008218
Ledvance Z3 Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:14.024410,28,0x4e11,,115.0,,,0.003981
Ledvance Smart+ Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:14.039230,28,0x0112,,36.0,,,0.01482
Power Plug 1,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:14.047379,28,0x3d95,,223.0,,,0.008149
Smart Socket,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:14.066493,28,0xe1a6,,65.0,,,0.019114
Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,2023-10-26 18:20:14.146781,71,0x1e15,0xffff,32.0,0x1e15,0xfffc,0.080288
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-26 18:20:16.716374,12,0x48f1,0x0000,63.0,,,2.569593
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-10-26 18:20:16.717141,5,0x0000,0x48f1,63.0,,,0.000767
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-26 18:20:16.981914,50,0x0000,0x5bb9,163.0,0x0000,0x5bb9,0.264773
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-26 18:20:16.983896,5,0x5bb9,0x0000,163.0,,,0.001982
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-26 18:20:16.989520,55,0x5bb9,0x0000,223.0,0x5bb9,0x0000,0.005624
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-26 18:20:16.991663,5,0x0000,0x5bb9,223.0,,,0.002143
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-26 18:20:16.994299,55,0x5bb9,0x0000,223.0,0x5bb9,0x0000,0.002636
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-26 18:20:16.996442,5,0x0000,0x5bb9,223.0,,,0.002143
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-26 18:20:17.035410,53,0x5bb9,0x0000,224.0,,,0.038968
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-26 18:20:17.037488,5,0x0000,0x5bb9,224.0,,,0.002078
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-26 18:20:17.078874,50,0x0000,0x5bb9,164.0,,,0.041386
Philips Lamp 2,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-26 18:20:17.080857,5,0x5bb9,0x0000,164.0,,,0.001983
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-26 18:20:17.084720,55,0x5bb9,0x0000,225.0,0x5bb9,0x0000,0.003863
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-26 18:20:17.086862,5,0x0000,0x5bb9,225.0,,,0.002142
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-26 18:20:17.134245,53,0x5bb9,0x0000,226.0,0x5bb9,0x0000,0.047383
Coordinator,Coordinator,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-26 18:20:17.136323,5,0x0000,0x5bb9,226.0,,,0.002078
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-26 18:20:17.653401,77,0xec7f,0xffff,190.0,0xec7f,0xfffc,0.517078
Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,2023-10-26 18:20:18.435126,74,0x3d95,0xffff,224.0,0x3d95,0xfffc,0.781725
Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-26 18:20:19.058335,77,0x1cd8,0xffff,140.0,0x1cd8,0xfffc,0.623209
Smart Socket,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-26 18:20:20.226428,77,0xe1a6,0xffff,66.0,,,1.168093
Power Plug 1,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-26 18:20:20.372295,63,0x3d95,0x0000,225.0,,,0.145867
Coordinator,Coordinator,Power Plug 1,Socket,Unknown,Unknown,,,2023-10-26 18:20:20.374694,5,0x0000,0x3d95,225.0,,,0.002399
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-26 18:20:20.421005,50,0x0000,0xec7f,165.0,0x0000,0x3d95,0.046311
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-26 18:20:20.422974,5,0xec7f,0x0000,165.0,,,0.001969
Ledvance Bulb,Bulb,Power Plug 1,Socket,Unknown,Unknown,,,2023-10-26 18:20:20.476395,50,0xec7f,0x3d95,192.0,,,0.053421
Power Plug 1,Socket,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-26 18:20:20.478348,5,0x3d95,0xec7f,192.0,,,0.001953
Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-26 18:20:20.483113,45,0x3d95,0x0000,226.0,0x3d95,0x0000,0.004765
Coordinator,Coordinator,Power Plug 1,Socket,Unknown,Unknown,,,2023-10-26 18:20:20.484935,5,0x0000,0x3d95,226.0,,,0.001822
