Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-26 18:20:11.836595,53,0xe1a6,0x0000,64.0,0xe1a6,0x0000,0.150861
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-26 18:20:11.851740,45,0x0000,0xe1a6,161.0,0x0000,0xe1a6,0.013066
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-26 18:20:16.981914,50,0x0000,0x5bb9,163.0,0x0000,0x5bb9,0.264773
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-26 18:20:16.989520,55,0x5bb9,0x0000,223.0,0x5bb9,0x0000,0.005624
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-26 18:20:16.994299,55,0x5bb9,0x0000,223.0,0x5bb9,0x0000,0.002636
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-26 18:20:17.084720,55,0x5bb9,0x0000,225.0,0x5bb9,0x0000,0.003863
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-26 18:20:17.134245,53,0x5bb9,0x0000,226.0,0x5bb9,0x0000,0.047383
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-26 18:20:20.421005,50,0x0000,0xec7f,165.0,0x0000,0x3d95,0.046311
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-26 18:20:20.483113,45,0x3d95,0x0000,226.0,0x3d95,0x0000,0.004765
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-26 18:20:20.498040,57,0x3d95,0x0000,227.0,0x3d95,0x0000,0.013105
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-26 18:20:20.502763,57,0x3d95,0x0000,227.0,0x3d95,0x0000,0.002516
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-26 18:20:20.537825,50,0x0000,0xec7f,166.0,0x0000,0x3d95,0.032856
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-26 18:20:37.867677,63,0xe1a6,0x0000,68.0,0xe1a6,0x0000,0.007111
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-26 18:20:37.891310,52,0x0000,0xec7f,169.0,0x0000,0x3d95,0.021234
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-26 18:20:37.938725,54,0x0000,0xe1a6,171.0,0x0000,0xe1a6,0.01957
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-26 18:20:37.947987,66,0xe1a6,0x0000,69.0,0xe1a6,0x0000,0.007182
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-26 18:20:37.973284,54,0x0000,0xec7f,173.0,0x0000,0x3d95,0.013988
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-26 18:20:37.991457,54,0x0000,0x711c,174.0,0x0000,0xa706,0.004863
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,2023-10-26 18:20:38.010954,66,0xa706,0x0000,84.0,0xa706,0x0000,0.007964
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-26 18:20:38.013412,45,0x0000,0xe1a6,175.0,0x0000,0xe1a6,0.002458
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,2023-10-26 18:20:38.016081,66,0xa706,0x0000,84.0,0xa706,0x0000,0.000877
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,2023-10-26 18:20:38.038347,63,0xa706,0x0000,85.0,0xa706,0x0000,0.007254
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-26 18:20:39.364801,77,0x0000,0xffff,180.0,0x0000,0xfffc,1.217573
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-26 18:21:07.907516,45,0x0000,0xe1a6,184.0,0x0000,0xe1a6,0.001166
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-26 18:21:07.931392,54,0x0000,0xe1a6,185.0,0x0000,0xe1a6,0.010493
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-26 18:21:07.949430,54,0x0000,0xec7f,186.0,0x0000,0x3d95,0.006166
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-26 18:21:07.964568,66,0x3d95,0x0000,235.0,0x3d95,0x0000,0.007127
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-26 18:21:07.969686,66,0x3d95,0x0000,235.0,0x3d95,0x0000,0.002623
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-26 18:21:07.982911,45,0x0000,0xec7f,187.0,0x0000,0x3d95,0.01073
