Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Coordinator,Coordinator,51.4,7.3688533707762165,0.0079984,0.00885637709788828,136.0,17.0,111.6
Coordinator,Coordinator,53.6,9.044335243676011,0.0084668,0.008376531603235315,225.0,17.0,129.8
Coordinator,Coordinator,51.8,7.463243262818116,0.010166600000000001,0.008894176735370173,225.0,135.0,153.8
Coordinator,Coordinator,54.6,9.813256340277675,0.007003999999999999,0.0051970058687671305,225.0,18.0,130.4
Coordinator,Coordinator,56.4,8.324662155306964,0.0070638,0.005182481471264514,225.0,18.0,130.8
Coordinator,Coordinator,60.6,6.148170459575759,0.007743599999999999,0.004871416046695252,226.0,18.0,148.8
Coordinator,Coordinator,61.2,6.572670690061993,0.0082962,0.004218437826968652,226.0,18.0,149.0
Coordinator,Coordinator,59.4,9.581231653602787,0.005378,0.002564978752348643,226.0,18.0,149.4
Coordinator,Coordinator,57.0,9.0,0.0060404,0.00345004707214264,226.0,138.0,173.8
Coordinator,Coordinator,55.2,10.52140675005011,0.005436,0.003677763042937922,226.0,139.0,174.4
Coordinator,Coordinator,55.2,10.52140675005011,0.00451,0.003685622878157775,226.0,56.0,140.4
Coordinator,Coordinator,52.4,8.61974477580398,0.004315000000000001,0.0036720401005435658,142.0,56.0,123.6
Coordinator,Coordinator,52.4,8.61974477580398,0.0059802,0.0037251665331901607,143.0,56.0,124.4
Coordinator,Coordinator,50.6,9.126883367283709,0.0046872,0.0027142691834083077,144.0,56.0,125.2
Coordinator,Coordinator,50.6,9.126883367283709,0.0045962,0.002785263488433366,144.0,56.0,125.8
Coordinator,Coordinator,46.4,3.1304951684997055,0.004653599999999999,0.002737233512143237,144.0,142.0,143.4
Coordinator,Coordinator,45.0,0.0,0.004521,0.002784588748810136,144.0,143.0,143.8
Coordinator,Coordinator,48.6,8.049844718999243,0.0037992,0.0012432749896945567,144.0,58.0,126.8
Coordinator,Coordinator,48.6,8.049844718999243,0.006010799999999999,0.00526760511997625,145.0,58.0,127.0
Coordinator,Coordinator,51.0,8.48528137423857,0.3957414,0.869626185045218,145.0,34.0,105.0
Coordinator,Coordinator,57.4,13.446189051177289,0.4037144,0.8652962688038127,147.0,34.0,105.6
Coordinator,Coordinator,58.4,12.441864811996632,0.4562004,0.8426108658181427,148.0,34.0,106.4
Coordinator,Coordinator,55.8,12.597618822618822,0.4560257999999999,0.8427276102876896,148.0,34.0,124.4
Coordinator,Coordinator,57.8,11.166915420114902,0.45357839999999994,0.8443442022254906,148.0,34.0,103.4
Coordinator,Coordinator,57.0,11.379806676741042,0.0718806,0.11019037460368306,148.0,40.0,104.8
Coordinator,Coordinator,51.6,2.302172886644268,0.0714616,0.11033256138284835,149.0,40.0,105.2
Coordinator,Coordinator,52.6,2.5099800796022267,0.0193408,0.020514423552710416,149.0,40.0,84.0
Coordinator,Coordinator,53.2,2.04939015319192,0.0271534,0.021081363969155314,149.0,40.0,63.0
Coordinator,Coordinator,57.6,10.99090533122727,0.15653440000000002,0.2762398616027383,150.0,41.0,85.0
Coordinator,Coordinator,57.4,11.104053313993049,0.34504799999999997,0.44768668139838597,151.0,42.0,107.0
