Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 26, 2023 18:20:09.000000",0.000000,77,0x0000,0xffff,0x8841,159,0x0000,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:09.553524",0.553524,10,,,0x0803,211,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.559542",0.006018,28,0xec7f,,0x8000,58,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.567627",0.008085,28,0x5bb9,,0x8000,220,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.570339",0.002712,28,0x1cd8,,0x8000,138,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.571960",0.001621,28,0x711c,,0x8000,99,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.576163",0.004203,28,0x1e15,,0x8000,30,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.599091",0.022928,28,0x0112,,0x8000,35,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.603690",0.004599,28,0x4e11,,0x8000,114,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.622312",0.018622,28,0xe1a6,,0x8000,63,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.623759",0.001447,28,0x0000,,0x8000,160,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.635239",0.011480,28,0xa706,,0x8000,80,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:09.651128",0.015889,28,0x3d95,,0x8000,222,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:11.229946",1.578818,74,0x0112,0xffff,0x8841,234,0x0112,0xfffc,0x1209,,,idle2.pcapng
"Oct 26, 2023 18:20:11.684967",0.455021,12,0x48f1,0x0000,0x8863,62,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:11.685734",0.000767,5,,,0x0002,62,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:11.836595",,53,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:11.838674",0.002079,5,,,0x0002,64,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:11.851740",,45,,,,,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:11.853533",0.001793,5,,,0x0002,161,,,,,,idle2.pcapng
"Oct 26, 2023 18:20:12.869295",1.015762,74,0x5bb9,0xffff,0x8841,221,0x5bb9,0xfffc,0x1209,,,idle2.pcapng
