Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-13 18:18:43.000000,71,0x6e5f,0xffff,12.0,0x6e5f,0xfffc,0.0
2023-10-13 18:18:43.448635,74,0xe694,0xffff,2.0,0xe694,0xfffc,0.448635
2023-10-13 18:18:43.586199,74,0x482d,0xffff,38.0,,,0.137564
2023-10-13 18:18:45.564788,107,0x054f,0xffff,182.0,,,1.978589
2023-10-13 18:18:45.748905,68,0xebe5,0xffff,211.0,0xebe5,0xfffc,0.184117
2023-10-13 18:18:45.789800,52,0x5db6,0xe694,222.0,0x5db6,0x0000,0.040895
2023-10-13 18:18:45.791806,5,0xe694,0x5db6,222.0,,,0.002006
2023-10-13 18:18:45.795575,52,0xe694,0x0000,3.0,,,0.003769
2023-10-13 18:18:45.797622,5,0x0000,0xe694,3.0,,,0.002047
2023-10-13 18:18:47.209047,52,0x0000,0xe694,113.0,,,1.411425
2023-10-13 18:18:47.211061,5,0xe694,0x0000,113.0,,,0.002014
2023-10-13 18:18:47.218746,63,0xe694,0x0000,4.0,,,0.007685
2023-10-13 18:18:47.221145,5,0x0000,0xe694,4.0,,,0.002399
2023-10-13 18:18:47.245541,52,0x0000,0x482d,114.0,0x0000,0x6e5f,0.024396
2023-10-13 18:18:47.247589,5,0x482d,0x0000,114.0,,,0.002048
2023-10-13 18:18:47.251880,52,0x482d,0x6e5f,39.0,,,0.004291
2023-10-13 18:18:47.253897,5,0x6e5f,0x482d,39.0,,,0.002017
2023-10-13 18:18:47.258561,45,0x0000,0xe694,115.0,,,0.004664
2023-10-13 18:18:47.260354,5,0xe694,0x0000,115.0,,,0.001793
2023-10-13 18:18:47.261804,63,0x6e5f,0x0000,13.0,,,0.00145
2023-10-13 18:18:47.264203,5,0x0000,0x6e5f,13.0,,,0.002399
2023-10-13 18:18:47.282872,54,0x0000,0xe694,116.0,,,0.018669
2023-10-13 18:18:47.284942,5,0xe694,0x0000,116.0,,,0.00207
2023-10-13 18:18:47.292784,66,0xe694,0x0000,5.0,0xe694,0x0000,0.007842
2023-10-13 18:18:47.295279,5,0x0000,0xe694,5.0,,,0.002495
2023-10-13 18:18:47.296313,54,0x0000,0x482d,117.0,0x0000,0x6e5f,0.001034
2023-10-13 18:18:47.298424,5,0x482d,0x0000,117.0,,,0.002111
2023-10-13 18:18:47.300928,54,0x482d,0x6e5f,40.0,0x0000,0x6e5f,0.002504
2023-10-13 18:18:47.303008,5,0x6e5f,0x482d,40.0,,,0.00208
2023-10-13 18:18:47.310784,66,0x6e5f,0x0000,14.0,0x6e5f,0x0000,0.007776
2023-10-13 18:18:47.313279,5,0x0000,0x6e5f,14.0,,,0.002495
2023-10-13 18:18:47.332995,45,0x0000,0x482d,118.0,0x0000,0x6e5f,0.019716
2023-10-13 18:18:47.334819,5,0x482d,0x0000,118.0,,,0.001824
2023-10-13 18:18:47.339382,45,0x482d,0x6e5f,41.0,0x0000,0x6e5f,0.004563
2023-10-13 18:18:47.341176,5,0x6e5f,0x482d,41.0,,,0.001794
2023-10-13 18:18:47.343266,54,0x0000,0x482d,119.0,,,0.00209
2023-10-13 18:18:47.345377,5,0x482d,0x0000,119.0,,,0.002111
2023-10-13 18:18:47.349676,54,0x482d,0x6e5f,42.0,,,0.004299
2023-10-13 18:18:47.354362,54,0x482d,0x6e5f,42.0,,,0.004686
2023-10-13 18:18:47.356441,5,0x6e5f,0x482d,42.0,,,0.002079
2023-10-13 18:18:47.358558,45,0x0000,0xe694,120.0,0x0000,0xe694,0.002117
2023-10-13 18:18:47.360351,5,0xe694,0x0000,120.0,,,0.001793
2023-10-13 18:18:47.367020,5,,,8.0,,,0.006669
2023-10-13 18:18:47.370023,52,0x0000,0x482d,121.0,,,0.003003
2023-10-13 18:18:47.372070,5,0x482d,0x0000,121.0,,,0.002047
2023-10-13 18:18:47.372656,107,0xc8f0,0x0000,233.0,,,0.000586
2023-10-13 18:18:47.375151,5,0x0000,0xc8f0,233.0,,,0.002495
