Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-13 18:01:09.000000,71,0x09ac,0xffff,255.0,,,0.0
Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,2023-10-13 18:01:10.534370,65,0xebe5,0xffff,199.0,0xebe5,0xfffc,1.53437
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:11.197795,63,0xc8f0,0x0000,79.0,,,0.663425
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-13 18:01:11.200193,5,0x0000,0xc8f0,79.0,,,0.002398
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-13 18:01:11.245003,50,0x0000,0xe5c4,206.0,0x0000,0xc8f0,0.04481
Philips Motion,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:11.246986,5,0xe5c4,0x0000,206.0,,,0.001983
Philips Motion,Bulb,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-13 18:01:11.251428,50,0xe5c4,0xc8f0,139.0,0x0000,0xc8f0,0.004442
Power Plug 2,Socket,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-13 18:01:11.253383,5,0xc8f0,0xe5c4,139.0,,,0.001955
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:11.258649,45,0xc8f0,0x0000,80.0,,,0.005266
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-13 18:01:11.260472,5,0x0000,0xc8f0,80.0,,,0.001823
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:11.272863,57,0xc8f0,0x0000,81.0,,,0.012391
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-13 18:01:11.275069,5,0x0000,0xc8f0,81.0,,,0.002206
Coordinator,Coordinator,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-13 18:01:11.318179,50,0x0000,0xe5c4,207.0,,,0.04311
Philips Motion,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:11.320162,5,0xe5c4,0x0000,207.0,,,0.001983
Philips Motion,Bulb,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-13 18:01:11.324897,50,0xe5c4,0xc8f0,140.0,,,0.004735
Power Plug 2,Socket,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-13 18:01:11.326850,5,0xc8f0,0xe5c4,140.0,,,0.001953
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:11.331916,45,0xc8f0,0x0000,82.0,,,0.005066
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-13 18:01:11.333738,5,0x0000,0xc8f0,82.0,,,0.001822
Philips Lamp 3,Motion,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-13 18:01:11.974234,12,0x2cae,0x054f,87.0,,,0.640496
Ledvance Bulb,Bulb,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-13 18:01:11.974987,5,0x054f,0x2cae,87.0,,,0.000753
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,2023-10-13 18:01:11.995398,52,0x09ac,0x0000,0.0,0x09ac,0x0000,0.020411
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-13 18:01:11.997445,5,0x0000,0x09ac,0.0,,,0.002047
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-13 18:01:12.011537,45,0x0000,0x09ac,208.0,,,0.014092
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:12.013361,5,0x09ac,0x0000,208.0,,,0.001824
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-13 18:01:12.037968,50,0x0000,0x09ac,209.0,,,0.024607
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:12.039952,5,0x09ac,0x0000,209.0,,,0.001984
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:12.045248,45,0x09ac,0x0000,1.0,,,0.005296
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-13 18:01:12.047071,5,0x0000,0x09ac,1.0,,,0.001823
Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-13 18:01:12.110409,63,0x6e5f,0x0000,95.0,0x6e5f,0x0000,0.063338
Coordinator,Coordinator,Power Plug 1,Socket,Unknown,Unknown,,,2023-10-13 18:01:12.112808,5,0x0000,0x6e5f,95.0,,,0.002399
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:01:12.158061,50,0x0000,0x482d,210.0,0x0000,0x6e5f,0.045253
Philips Lamp 1,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 18:01:12.160044,5,0x482d,0x0000,210.0,,,0.001983
