Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Power Plug 1,Socket,Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,2023-10-13 18:18:43.000000,71,0x6e5f,0xffff,12.0,0x6e5f,0xfffc,0.0
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:18:47.300928,54,0x482d,0x6e5f,40.0,0x0000,0x6e5f,0.002504
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-13 18:18:47.310784,66,0x6e5f,0x0000,14.0,0x6e5f,0x0000,0.007776
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:18:47.339382,45,0x482d,0x6e5f,41.0,0x0000,0x6e5f,0.004563
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:18:47.415742,45,0x482d,0x6e5f,44.0,0x0000,0x6e5f,0.001781
Power Plug 1,Socket,Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,2023-10-13 18:19:13.018143,71,0x6e5f,0xffff,24.0,0x6e5f,0xfffc,0.705354
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:19:17.249309,52,0x482d,0x6e5f,52.0,0x0000,0x6e5f,0.003141
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:19:17.323714,45,0x482d,0x6e5f,54.0,0x0000,0x6e5f,0.002704
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:19:17.381239,45,0x482d,0x6e5f,57.0,0x0000,0x6e5f,0.00144
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-13 18:19:47.290277,63,0x6e5f,0x0000,60.0,0x6e5f,0x0000,0.002713
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-13 18:19:47.295537,63,0x6e5f,0x0000,60.0,0x6e5f,0x0000,0.00526
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-13 18:19:47.356230,66,0x6e5f,0x0000,63.0,0x6e5f,0x0000,0.006146
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-13 18:19:47.426748,66,0x6e5f,0x0000,66.0,0x6e5f,0x0000,0.000287
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-13 18:19:47.442444,66,0x6e5f,0x0000,66.0,0x6e5f,0x0000,0.000463
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:19:47.490717,45,0x482d,0x6e5f,116.0,0x0000,0x6e5f,0.002695
Power Plug 1,Socket,Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,2023-10-13 18:19:57.944584,74,0x6e5f,0xffff,72.0,0x6e5f,0xfffc,0.014926
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:20:06.806181,50,0x482d,0x6e5f,132.0,0x0000,0x6e5f,0.003808
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:20:17.317000,45,0x482d,0x6e5f,135.0,0x0000,0x6e5f,0.003775
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-13 18:20:33.276638,60,0x6e5f,0x0000,84.0,0x6e5f,0x0000,0.210887
Power Plug 1,Socket,Philips Lamp 1,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 18:20:33.323744,50,0x482d,0x6e5f,168.0,0x0000,0x6e5f,0.002443
