Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Broadcast,Broadcast,71.0,3.0,0.294493,0.2651232506646673,231.0,47.0,163.66666666666666
Coordinator,Coordinator,71.0,0.0,0.514167,0.0,47.0,47.0,47.0
Ledvance Bulb,Bulb,74.0,0.0,0.369312,0.0,213.0,213.0,213.0
Moes Bulb,Bulb,68.0,0.0,0.0,0.0,231.0,231.0,231.0
Broadcast,Broadcast,72.5,2.1213203435596424,0.93113,0.6942218814197662,54.0,40.0,47.0
Power Plug 1,Socket,71.0,0.0,1.422019,0.0,40.0,40.0,40.0
Smart Socket,Socket,74.0,0.0,0.440241,0.0,54.0,54.0,54.0
Broadcast,Broadcast,72.5,2.1213203435596424,1.4050275,1.2515995087968437,177.0,46.0,111.5
Ledvance Smart+ Plug,Socket,74.0,0.0,2.290042,0.0,177.0,177.0,177.0
Power Plug 2,Socket,71.0,0.0,0.520013,0.0,46.0,46.0,46.0
Coordinator,Coordinator,54.166666666666664,8.304853294025978,0.06896966666666667,0.262914161439455,59.0,41.0,51.72222222222222
Power Plug 1,Socket,54.166666666666664,8.841191473249895,0.0035691666666666667,0.00225076390735827,51.0,41.0,46.833333333333336
Power Plug 2,Socket,54.166666666666664,8.841191473249895,0.004389833333333333,0.0020448709902257077,132.0,47.0,102.83333333333333
Smart Socket,Socket,54.166666666666664,8.841191473249895,0.19168033333333334,0.45582415948945343,56.0,48.0,52.333333333333336
Unknown,Unknown,5.0,0.0,0.0020505,0.00025160147058393755,132.0,41.0,63.5
Broadcast,Broadcast,74.0,0.0,2.038429,0.0,52.0,52.0,52.0
Philips Lamp 1,Bulb,74.0,0.0,2.038429,0.0,52.0,52.0,52.0
Broadcast,Broadcast,74.0,0.0,0.228642,0.0,133.0,133.0,133.0
Coordinator,Coordinator,51.666666666666664,7.637626158259733,0.23614900000000003,0.36836857488662084,60.0,43.0,49.0
Philips Motion,Bulb,74.0,0.0,0.228642,0.0,133.0,133.0,133.0
Power Plug 1,Socket,51.666666666666664,7.637626158259733,0.22314333333333333,0.37916772980612856,53.0,43.0,46.666666666666664
Unknown,Unknown,5.0,0.0,0.0020135,0.00020477711460675153,60.0,43.0,50.0
Aqara Door 1,Door,52.0,0.0,2.650539,0.0,211.0,211.0,211.0
Coordinator,Coordinator,52.0,0.0,0.0037215,0.00018596908345206215,57.0,57.0,57.0
Unknown,Unknown,5.0,0.0,0.002036666666666667,1.789785834487852e-05,211.0,57.0,108.33333333333333
Broadcast,Broadcast,68.0,0.0,0.429425,0.0,232.0,232.0,232.0
Moes Bulb,Bulb,68.0,0.0,0.429425,0.0,232.0,232.0,232.0
Broadcast,Broadcast,74.0,0.0,0.6408505,0.6839992386841524,214.0,61.0,137.5
Coordinator,Coordinator,74.0,0.0,1.124511,0.0,61.0,61.0,61.0
Ledvance Bulb,Bulb,74.0,0.0,0.15719,0.0,214.0,214.0,214.0
Broadcast,Broadcast,72.5,2.1213203435596424,0.78071,0.3254883224479796,58.0,45.0,51.5
Power Plug 1,Socket,71.0,0.0,1.010865,0.0,45.0,45.0,45.0
Smart Socket,Socket,74.0,0.0,0.550555,0.0,58.0,58.0,58.0
Aqara Button,Button,53.0,0.0,0.019479,0.0,165.0,165.0,165.0
Aqara Door 1,Door,52.0,0.0,0.069323,0.0,212.0,212.0,212.0
Broadcast,Broadcast,74.0,0.0,2.204662,0.0,178.0,178.0,178.0
Coordinator,Coordinator,50.388888888888886,4.0020419624587955,0.012905277777777778,0.011867448017485158,224.0,59.0,150.05555555555554
Ledvance Bulb,Bulb,50.125,4.177319714841085,0.0140269375,0.012146461753497052,224.0,62.0,161.375
Ledvance Smart+ Plug,Socket,74.0,0.0,2.204662,0.0,178.0,178.0,178.0
Unknown,Unknown,5.0,0.0,0.0019942,0.00012555334366420973,224.0,59.0,153.9
Aqara Motion,Motion,102.0,0.0,0.53085,0.0,198.0,198.0,198.0
Coordinator,Coordinator,57.625,18.485032555325095,0.114016,0.2506903979687181,228.0,54.0,144.0
Ledvance Bulb,Bulb,50.333333333333336,4.546060565661952,0.14366916666666665,0.2890835746405643,228.0,68.0,173.83333333333334
Unknown,Unknown,5.0,0.0,0.002381777777777778,0.0007303916377153044,228.0,54.0,150.0
Unknown,Unknown,5.0,0.0,0.000766,0.0,199.0,199.0,199.0
Coordinator,Coordinator,55.5,2.1213203435596424,0.024311,0.02827578596608766,230.0,229.0,229.5
Sonoff Door 1,Door,54.0,0.0,0.861904,0.0,161.0,161.0,161.0
Unknown,Unknown,5.0,0.0,0.001795,0.0006870550681471367,230.0,161.0,205.0
Unknown,Unknown,5.0,0.0,0.00076,9.899494936611676e-06,201.0,162.0,181.5
Broadcast,Broadcast,74.0,0.0,0.932095,0.0,134.0,134.0,134.0
Philips Motion,Bulb,74.0,0.0,0.932095,0.0,134.0,134.0,134.0
Coordinator,Coordinator,53.666666666666664,3.5118845842842465,0.030226000000000003,0.024509470740919723,232.0,70.0,177.66666666666666
Power Plug 1,Socket,50.0,0.0,0.003451,0.0,56.0,56.0,56.0
Sonoff Door 1,Door,54.0,0.0,0.047449,0.0,163.0,163.0,163.0
Unknown,Unknown,10.875,16.617009357883866,0.1751355,0.4900973452806522,232.0,46.0,124.875
Broadcast,Broadcast,74.0,0.0,0.954814,0.0,57.0,57.0,57.0
Philips Lamp 1,Bulb,74.0,0.0,0.954814,0.0,57.0,57.0,57.0
Broadcast,Broadcast,68.0,0.0,1.240539,0.0,233.0,233.0,233.0
Moes Bulb,Bulb,68.0,0.0,1.240539,0.0,233.0,233.0,233.0
Aqara Door 1,Door,52.0,0.0,0.092223,0.0,213.0,213.0,213.0
Coordinator,Coordinator,51.0,1.4142135623730951,0.022518999999999997,0.026150222981840898,71.0,61.0,66.0
Power Plug 1,Socket,50.0,0.0,0.004727,0.0,58.0,58.0,58.0
Unknown,Unknown,5.0,0.0,0.138398,0.3010776539931185,213.0,48.0,88.4
Broadcast,Broadcast,74.0,0.0,0.413771,0.0,233.0,233.0,233.0
Coordinator,Coordinator,55.5,2.1213203435596424,0.2529135,0.32590480834209856,141.0,72.0,106.5
Ledvance Bulb,Bulb,74.0,0.0,0.413771,0.0,233.0,233.0,233.0
Philips Lamp 2,Bulb,54.0,0.0,0.0107987,0.012447894939771099,140.0,135.0,137.55
Philips Motion,Bulb,57.0,0.0,0.022464,0.0,141.0,141.0,141.0
Unknown,Unknown,29.5,28.290163190291665,0.004619,0.0034253797842964317,141.0,72.0,99.33333333333333
Broadcast,Broadcast,74.0,0.0,0.008557,0.0,62.0,62.0,62.0
Smart Socket,Socket,74.0,0.0,0.008557,0.0,62.0,62.0,62.0
Sonoff Motion 1,Motion,54.0,0.0,0.268397,0.0,62.0,62.0,62.0
Unknown,Unknown,5.0,0.0,0.001639,0.0007908141374558246,63.0,50.0,58.333333333333336
Aqara Door 1,Door,52.0,0.0,0.462877,0.0,214.0,214.0,214.0
Aqara Door 2,Door,52.0,0.0,0.516197,0.0,201.0,201.0,201.0
Broadcast,Broadcast,74.0,0.0,0.089242,0.0,73.0,73.0,73.0
Coordinator,Coordinator,59.333333333333336,12.701705922171767,0.032364333333333335,0.049257594889857675,73.0,63.0,66.66666666666667
Unknown,Unknown,5.0,0.0,0.0020307499999999996,1.8191115047370586e-05,214.0,63.0,135.5
Broadcast,Broadcast,74.0,0.0,1.188905,0.0,179.0,179.0,179.0
Ledvance Smart+ Plug,Socket,74.0,0.0,1.188905,0.0,179.0,179.0,179.0
Aqara Motion,Motion,57.0,0.0,0.594698,0.0,202.0,202.0,202.0
Coordinator,Coordinator,52.0,7.7192102508321225,0.01777023333333333,0.04251780572214935,147.0,51.0,77.36666666666666
Philips Lamp 2,Bulb,54.0,0.0,0.013128200000000001,0.017948256199126246,146.0,142.0,144.0
Philips Motion,Bulb,57.0,0.0,0.024577,0.0,147.0,147.0,147.0
Power Plug 1,Socket,57.0,9.486832980505138,0.00234825,0.0009180241009908183,63.0,51.0,57.0
Power Plug 2,Socket,51.27272727272727,7.484529498784933,0.003625,0.0014570995161621596,152.0,52.0,132.27272727272728
Smart Socket,Socket,54.166666666666664,8.841191473249895,0.015454166666666666,0.02292168327515819,82.0,65.0,73.83333333333333
Unknown,Unknown,7.914285714285715,17.241146796461738,0.002129742857142858,0.0003825057741092162,202.0,34.0,87.82352941176471
Aqara Door 2,Door,52.0,0.0,2.04906,0.0,202.0,202.0,202.0
Coordinator,Coordinator,52.0,0.0,0.004019,0.0,67.0,67.0,67.0
Unknown,Unknown,5.0,0.0,0.0020315000000000003,2.050609665440984e-05,202.0,67.0,134.5
Broadcast,Broadcast,72.5,2.1213203435596424,1.403135,1.0642296468112509,153.0,106.0,129.5
Ledvance Z3 Plug,Socket,71.0,0.0,2.155659,0.0,106.0,106.0,106.0
Philips Motion,Bulb,74.0,0.0,0.650611,0.0,153.0,153.0,153.0
Broadcast,Broadcast,59.42857142857143,7.828519290754434,0.2914872857142857,0.7188230777404395,234.0,72.0,140.57142857142858
Coordinator,Coordinator,56.57142857142857,14.388640207919824,0.0077118571428571436,0.006695927693033257,95.0,74.0,85.14285714285714
Philips Lamp 1,Bulb,54.93333333333333,13.215070761751344,0.13452826666666665,0.49428887290421963,95.0,72.0,83.13333333333334
Unknown,Unknown,5.0,0.0,0.0022098181818181817,0.00046567753181398354,95.0,74.0,83.27272727272727
Broadcast,Broadcast,59.0,0.0,0.02862373333333333,0.036852899937195614,236.0,55.0,135.26666666666668
Coordinator,Coordinator,60.375,13.553465555769439,0.020357125000000004,0.02392580605859647,99.0,79.0,89.25
Philips Lamp 1,Bulb,60.1,11.967084486670556,0.028647500000000003,0.0368603330100409,99.0,79.0,88.0
Unknown,Unknown,5.0,0.0,0.002314875,0.00043376769210521634,99.0,79.0,89.25
Aqara Button,Button,53.0,0.0,0.042463,0.0,166.0,166.0,166.0
Broadcast,Broadcast,71.0,4.242640687119285,0.19985699999999998,0.24785789736863337,237.0,159.0,198.0
Coordinator,Coordinator,50.0,4.055175020198813,0.013491894736842105,0.011514110888117225,246.0,61.0,172.3684210526316
Ledvance Bulb,Bulb,50.125,4.177319714841085,0.012685875,0.009168466224874619,246.0,101.0,189.75
Moes Bulb,Bulb,68.0,0.0,0.375119,0.0,237.0,237.0,237.0
Philips Motion,Bulb,74.0,0.0,0.024595,0.0,159.0,159.0,159.0
Power Plug 2,Socket,49.166666666666664,2.041241452319315,0.009767333333333333,0.014684417518807705,158.0,61.0,141.16666666666666
Unknown,Unknown,12.88888888888889,20.9877864360961,0.004782407407407408,0.007070599524462379,246.0,57.0,150.03703703703704
Coordinator,Coordinator,50.333333333333336,4.546060565661952,0.07964066666666667,0.13445208910190523,250.0,108.0,201.83333333333334
Ledvance Bulb,Bulb,50.333333333333336,4.546060565661952,0.07964066666666667,0.13445208910190523,250.0,108.0,201.83333333333334
Unknown,Unknown,5.0,0.0,0.0019888333333333333,0.0001488750034984606,250.0,108.0,201.83333333333334
Broadcast,Broadcast,68.0,4.242640687119285,0.10189172727272724,0.16107487814000723,252.0,58.0,145.63636363636363
Coordinator,Coordinator,50.75,2.8722813232690143,0.013102250000000001,0.02092102882070255,111.0,104.0,107.75
Ledvance Bulb,Bulb,74.0,0.0,0.29349,0.0,251.0,251.0,251.0
Philips Lamp 1,Bulb,57.0,10.334408546211051,0.09507966666666666,0.1844132144252864,111.0,102.0,106.0
Power Plug 1,Socket,71.0,0.0,0.253648,0.0,58.0,58.0,58.0
Smart Socket,Socket,74.0,0.0,0.024986,0.0,72.0,72.0,72.0
Unknown,Unknown,25.0,40.0,0.00589325,0.007735622637081862,136.0,104.0,114.0
Broadcast,Broadcast,65.0,0.0,0.12708314285714287,0.1606539762921422,184.0,60.0,102.57142857142857
Philips Lamp 1,Bulb,65.0,0.0,0.2229845,0.30528416038913647,107.0,106.0,106.5
Coordinator,Coordinator,50.0,0.0,0.044195,0.0,113.0,113.0,113.0
Power Plug 2,Socket,50.0,0.0,0.008640333333333333,0.008861113064959729,163.0,161.0,161.66666666666666
Unknown,Unknown,5.0,0.0,0.003294,0.0026003008800265146,130.0,65.0,93.5
Broadcast,Broadcast,59.78947368421053,3.441236008058426,0.06308799999999999,0.14388569625265435,254.0,62.0,158.42105263157896
Coordinator,Coordinator,60.76923076923077,15.695826654208894,0.006561153846153846,0.004022837780434641,121.0,110.0,115.38461538461539
Ledvance Smart+ Plug,Socket,74.0,0.0,0.59494,0.0,185.0,185.0,185.0
Philips Lamp 1,Bulb,77.0,0.0,0.00628325,0.003929368683389229,121.0,109.0,115.0
Philips Lamp 2,Bulb,64.72727272727273,19.344719739975087,0.004734,0.002111578414362109,170.0,109.0,157.54545454545453
Unknown,Unknown,12.8,19.23428955633252,0.00359355,0.003426287732947624,204.0,74.0,110.4
Broadcast,Broadcast,62.0,7.3484692283495345,0.05163766666666667,0.04705666509928925,255.0,64.0,132.83333333333334
Coordinator,Coordinator,77.0,0.0,0.062338,0.0,122.0,122.0,122.0
Philips Lamp 1,Bulb,77.0,0.0,0.066959,0.06473531619603012,122.0,118.0,119.66666666666667
Philips Lamp 2,Bulb,77.0,0.0,0.004658,0.0,118.0,118.0,118.0
Unknown,Unknown,25.46153846153846,13.72112352430481,0.018649230769230772,0.03393515552037898,173.0,3.0,96.38461538461539
Coordinator,Coordinator,53.5,1.7320508075688772,0.6426565000000001,1.26201110445207,124.0,121.0,122.5
Philips Lamp 1,Bulb,53.5,1.7320508075688772,0.6426565000000001,1.26201110445207,124.0,121.0,122.5
Unknown,Unknown,5.0,0.0,0.002095,5.542562584220392e-05,124.0,121.0,122.5
Broadcast,Broadcast,77.0,0.0,1.460238,0.0,125.0,125.0,125.0
Philips Lamp 1,Bulb,77.0,0.0,1.460238,0.0,125.0,125.0,125.0
Broadcast,Broadcast,63.0,0.0,0.06218225,0.15690271269780062,242.0,0.0,126.25
Coordinator,Coordinator,54.0,0.0,0.013176,0.0,190.0,190.0,190.0
Ledvance Smart+ Plug,Socket,49.0,0.0,0.003085,0.0,191.0,191.0,191.0
Philips Lamp 1,Bulb,56.0,9.899494936611665,0.2266745,0.31620330330421914,191.0,126.0,158.5
Sonoff Door 2,Door,54.0,0.0,0.601954,0.0,20.0,20.0,20.0
