Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:01:14.199227000",0.814747,53,0xe011,0xe694,157.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:01:14.205376000",0.00411,53,0xe694,0x0000,92.0,0xe011,0x0000
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:01:30.012697000",1.619583,53,0xe011,0xe694,158.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:01:30.018727000",0.003981,53,0xe694,0x0000,96.0,0xe011,0x0000
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:02:02.761117000",0.749678,53,0xe011,0xe694,159.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:02:02.766979000",0.003815,53,0xe694,0x0000,145.0,0xe011,0x0000
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:02:33.953682000",1.865847,53,0xe011,0xe694,160.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:02:33.959533000",0.003803,53,0xe694,0x0000,175.0,0xe011,0x0000
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:02:35.605238000",0.374585,53,0xe011,0xe694,161.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:02:35.611276000",0.00399,53,0xe694,0x0000,176.0,0xe011,0x0000
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:02:42.577903000",2.028131,53,0xe011,0xe694,162.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:02:42.583781000",0.003831,53,0xe694,0x0000,179.0,0xe011,0x0000
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:03:07.131718000",0.140468,53,0xe011,0xe694,163.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:03:07.137628000",0.00386,53,0xe694,0x0000,190.0,0xe011,0x0000
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:03:27.784856000",0.370461,53,0xe011,0xe694,164.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 13, 2023 18:03:27.790779000",0.003874,53,0xe694,0x0000,208.0,0xe011,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:38.295230000",1.390145,52,0x5db6,0xe694,201.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:38.301179000",0.003944,52,0xe694,0x0000,98.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:39.416630000",1.113404,52,0x5db6,0xe694,202.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:39.422524000",0.003889,52,0xe694,0x0000,99.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:39.801372000",0.376801,52,0x5db6,0xe694,203.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:39.812101000",0.002113,52,0xe694,0x0000,100.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:39.814340000",0.002239,62,0x5db6,0xe694,204.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:39.816784000",0.002444,52,0xe694,0x0000,100.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:39.820889000",0.002058,62,0x5db6,0xe694,204.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:39.827106000",0.003881,62,0xe694,0x0000,101.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:42.308061000",0.402484,52,0x5db6,0xe694,206.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:01:42.314034000",0.003957,52,0xe694,0x0000,104.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:08.976451000",0.020075,52,0x5db6,0xe694,207.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:08.984174000",0.003462,52,0xe694,0x0000,162.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:13.026008000",0.146321,52,0x5db6,0xe694,208.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:13.031864000",0.00385,52,0xe694,0x0000,163.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:46.702161000",0.670516,52,0x5db6,0xe694,209.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:46.707910000",0.003731,52,0xe694,0x0000,181.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:48.192002000",0.039579,52,0x5db6,0xe694,210.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:48.202886000",0.004243,52,0xe694,0x0000,184.0,0x5db6,0x0000
Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:18.533992000",0.119397,52,0x772c,0xe694,197.0,0x772c,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 2,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:18.540015000",0.004006,52,0xe694,0x0000,170.0,0x772c,0x0000
Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,"Oct 13, 2023 18:02:22.798780000",0.138013,52,0x772c,0xe694,198.0,0x772c,0x0000
