Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Ledvance Z3 Plug,Socket,71.0,0.0,0.0,0.0,255.0,255.0,255.0
Moes Bulb,Bulb,65.0,0.0,1.53437,0.0,199.0,199.0,199.0
Ledvance Z3 Plug,Socket,52.0,0.0,0.020411,0.0,0.0,0.0,0.0
Power Plug 2,Socket,52.5,9.0,0.17153700000000002,0.3279430301856304,82.0,79.0,80.5
Unknown,Unknown,5.636363636363637,2.1105794120443453,0.059947181818181816,0.1925467042594176,207.0,0.0,108.0
Ledvance Z3 Plug,Socket,45.0,0.0,0.005296,0.0,1.0,1.0,1.0
Power Plug 1,Socket,56.2,11.366617790706258,0.153121,0.2917457256901976,99.0,95.0,97.0
Unknown,Unknown,5.0,0.0,0.0019802,0.00019036094370665667,211.0,1.0,124.3
Smart Socket,Socket,74.0,0.0,0.466506,0.0,91.0,91.0,91.0
Aqara Button,Button,53.0,0.0,0.4094285,0.5732069197807192,157.0,92.0,124.5
Ledvance Bulb,Bulb,51.9,4.0400770069668495,0.014346499999999998,0.010216077995547563,131.0,122.0,126.5
Unknown,Unknown,5.0,0.0,0.0019903888888888888,0.00013175071777408627,217.0,92.0,155.61111111111111
Ledvance Bulb,Bulb,51.75,4.716990566028302,0.22484975,0.3900798333421634,135.0,132.0,133.5
Ledvance Smart+ Plug,Socket,74.0,0.0,0.205584,0.0,67.0,67.0,67.0
Unknown,Unknown,5.0,0.0,0.0019888333333333333,0.00014878900048950747,219.0,132.0,161.83333333333334
Power Plug 2,Socket,71.0,0.0,0.4049,0.0,83.0,83.0,83.0
Unknown,Unknown,8.5,4.949747468305833,0.46732100000000004,0.6598253791557279,88.0,88.0,88.0
Power Plug 1,Socket,65.0,1.7320508075688772,0.003323333333333333,0.003116273148062174,101.0,100.0,100.66666666666667
Smart Socket,Socket,64.5,2.1213203435596424,0.007869500000000001,4.3133513652379604e-05,94.0,93.0,93.5
Unknown,Unknown,13.694444444444445,23.22168868529646,0.002218277777777778,0.0013388432664294546,232.0,20.0,134.94285714285715
Ledvance Bulb,Bulb,74.0,0.0,0.009133,0.0,138.0,138.0,138.0
Sonoff Door 1,Door,55.0,1.7320508075688772,0.27168333333333333,0.42924726425957954,153.0,136.0,142.0
Unknown,Unknown,6.4,3.1304951684997055,0.0917224,0.20109082818666793,154.0,136.0,146.8
Moes Bulb,Bulb,52.0,0.0,0.148669,0.0,200.0,200.0,200.0
Philips Motion,Bulb,74.0,0.0,2.516746,0.0,146.0,146.0,146.0
Unknown,Unknown,6.75,3.5,0.11877949999999998,0.23450166452927362,233.0,89.0,152.75
Sonoff Door 1,Door,55.0,1.7320508075688772,0.23748433333333333,0.3706960792904793,155.0,139.0,144.66666666666666
Unknown,Unknown,5.0,0.0,0.0021379999999999997,5.930430001273101e-05,155.0,139.0,144.66666666666666
Unknown,Unknown,8.5,4.949747468305833,0.2263735,0.3190755710493989,156.0,156.0,156.0
Ledvance Z3 Plug,Socket,71.0,0.0,0.927987,0.0,2.0,2.0,2.0
Moes Bulb,Bulb,52.0,0.0,0.367031,0.5177591415339762,202.0,201.0,201.5
Unknown,Unknown,5.0,0.0,0.0019165000000000002,0.00014953371972011313,236.0,201.0,218.5
Philips Lamp 1,Bulb,74.0,0.0,0.771782,0.0,25.0,25.0,25.0
Unknown,Unknown,8.5,4.949747468305833,0.32292950000000004,0.45562496156433313,90.0,90.0,90.0
Sonoff Motion 2,Motion,55.0,1.7320508075688772,0.079974,0.09954510704700657,142.0,34.0,105.66666666666667
Unknown,Unknown,23.166666666666668,41.16511468059657,0.10846800000000001,0.1849883002851802,142.0,34.0,81.5
Smart Socket,Socket,74.0,0.0,0.566354,0.0,95.0,95.0,95.0
Aqara Button,Button,53.0,0.0,0.811782,1.1424031298985486,158.0,96.0,127.0
Aqara Motion,Motion,57.0,0.0,0.0053845,0.002356786901694763,27.0,26.0,26.5
Ledvance Bulb,Bulb,51.55555555555556,4.126472801046649,0.013163222222222222,0.007763872870188205,152.0,143.0,147.77777777777777
Ledvance Smart+ Plug,Socket,74.0,0.0,0.362803,0.0,68.0,68.0,68.0
Unknown,Unknown,5.0,0.0,0.002508263157894737,0.0021472258806320634,242.0,26.0,156.8421052631579
Ledvance Bulb,Bulb,51.75,4.716990566028302,0.03737975,0.0146855497996046,157.0,153.0,155.0
Power Plug 2,Socket,71.0,0.0,0.414463,0.0,87.0,87.0,87.0
Unknown,Unknown,5.875,2.4748737341529163,0.084296125,0.23329915465185005,244.0,91.0,161.125
Aqara Vibration,Vibration,53.0,0.0,0.7472075,1.0516042552331653,97.0,5.0,51.0
Unknown,Unknown,5.0,0.0,0.0020635000000000002,2.1920310216783122e-05,97.0,5.0,51.0
Ledvance Bulb,Bulb,74.0,0.0,2.460835,0.0,158.0,158.0,158.0
Philips Motion,Bulb,74.0,0.0,0.338469,0.0,147.0,147.0,147.0
Unknown,Unknown,8.5,4.949747468305833,0.335062,0.47278290760982467,92.0,92.0,92.0
Aqara Door 1,Door,52.0,0.0,0.6970445,0.9801921271875733,201.0,98.0,149.5
Unknown,Unknown,5.0,0.0,0.002026,2.9698484809835258e-05,201.0,98.0,149.5
Aqara Door 1,Door,55.75,5.175491695067657,0.188353625,0.39603041536944666,204.0,99.0,151.625
Unknown,Unknown,19.25,26.385872843517717,0.0024272499999999997,0.000819558897038087,204.0,99.0,164.625
Moes Bulb,Bulb,65.0,0.0,0.057709,0.0,204.0,204.0,204.0
Unknown,Unknown,8.5,4.949747468305833,0.252117,0.355506419522911,205.0,205.0,205.0
Ledvance Z3 Plug,Socket,71.0,0.0,0.985527,0.0,3.0,3.0,3.0
Smart Socket,Socket,48.5,4.949747468305833,0.1516365,0.20720137877075048,103.0,102.0,102.5
Unknown,Unknown,6.4,3.1304951684997055,0.0022012,0.0013558193832513236,246.0,93.0,127.4
Aqara Door 1,Door,52.0,0.0,0.2032205,0.2818011441859312,206.0,104.0,155.0
Philips Lamp 1,Bulb,74.0,0.0,0.081933,0.0,28.0,28.0,28.0
Power Plug 1,Socket,71.0,0.0,0.512387,0.0,103.0,103.0,103.0
Unknown,Unknown,5.0,0.0,0.002031,2.1213203435596482e-05,206.0,104.0,155.0
Philips Lamp 3,Motion,40.714285714285715,10.708936393560224,0.03090807142857143,0.04860626222627996,98.0,94.0,96.07142857142857
Smart Socket,Socket,74.0,0.0,0.481406,0.0,105.0,105.0,105.0
Unknown,Unknown,25.75,6.363961030678928,0.012898125,0.013482849809374238,247.0,29.0,125.0
Philips Lamp 3,Motion,29.0,0.0,0.08053775,0.14215354543210193,99.0,99.0,99.0
Ledvance Smart+ Plug,Socket,74.0,0.0,0.042098,0.0,69.0,69.0,69.0
Ledvance Z3 Plug,Socket,48.5,4.949747468305833,0.6542945,0.9172313393907232,5.0,4.0,4.5
Unknown,Unknown,5.0,0.0,0.00191875,0.0001141705595443356,249.0,4.0,126.5
Power Plug 2,Socket,71.0,0.0,0.367236,0.0,89.0,89.0,89.0
Ledvance Smart+ Plug,Socket,57.0,0.0,0.025234,0.0,70.0,70.0,70.0
Philips Lamp 3,Motion,54.0,4.216370213557839,0.011800600000000001,0.004959433798328192,154.0,8.0,95.6
Power Plug 2,Socket,66.0,0.0,0.007984,0.0,91.0,91.0,91.0
Smart Socket,Socket,65.25,1.5,0.00483025,0.0033206282914532907,109.0,108.0,108.75
Unknown,Unknown,14.212765957446809,19.49909269930801,0.03154151063829787,0.15590071677776388,255.0,0.0,104.68085106382979
Philips Lamp 3,Motion,57.0,0.0,0.048759000000000004,0.031007384263383828,112.0,7.0,54.0
Unknown,Unknown,18.2,21.970434679359442,0.07660960000000001,0.13588028450735598,110.0,106.0,107.2
