Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 13, 2023 18:09:11.000000",0.000000,68,0xebe5,0xffff,0x8841,231,0xebe5,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:11.514167",0.514167,71,0x0000,0xffff,0x8841,47,0x0000,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:11.883479",0.369312,74,0x054f,0xffff,0x8841,213,0x054f,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:13.305498",1.422019,71,0x6e5f,0xffff,0x8841,40,0x6e5f,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:13.745739",0.440241,74,0xe694,0xffff,0x8841,54,0xe694,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:16.035781",2.290042,74,0x82eb,0xffff,0x8841,177,0x82eb,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:16.555794",0.520013,71,0xc8f0,0xffff,0x8841,46,0xc8f0,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.677911",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.679928",0.002017,5,,,0x0002,48,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.688233",,63,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.690632",0.002399,5,,,0x0002,55,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.713108",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.715155",0.002047,5,,,0x0002,49,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.719422",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.721428",0.002006,5,,,0x0002,48,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.725223",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.727013",0.001790,5,,,0x0002,50,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.729316",,63,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.731715",0.002399,5,,,0x0002,41,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.736323",,54,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.738402",0.002079,5,,,0x0002,51,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.746469",,66,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.748964",0.002495,5,,,0x0002,56,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.774364",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.776187",0.001823,5,,,0x0002,52,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.778891",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.780684",0.001793,5,,,0x0002,49,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.787062",,54,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.789173",0.002111,5,,,0x0002,53,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.796933",,54,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.799015",0.002082,5,,,0x0002,50,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.802205",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.803999",0.001794,5,,,0x0002,54,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.806940",,66,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.809435",0.002495,5,,,0x0002,42,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.813724",,54,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.815835",0.002111,5,,,0x0002,55,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.820698",,54,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.822777",0.002079,5,,,0x0002,129,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.830545",,66,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.833039",0.002494,5,,,0x0002,47,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.841820",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.843867",0.002047,5,,,0x0002,56,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.847677",,52,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.849694",0.002017,5,,,0x0002,130,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.854162",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.855985",0.001823,5,,,0x0002,57,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.857507",,63,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.859906",0.002399,5,,,0x0002,48,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.861346",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.863139",0.001793,5,,,0x0002,51,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.863932",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.865755",0.001823,5,,,0x0002,58,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.870504",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.872295",0.001791,5,,,0x0002,131,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.876548",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.878371",0.001823,5,,,0x0002,59,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.881998",,45,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:17.883781",0.001783,5,,,0x0002,132,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:19.921129",2.037348,107,0x09ac,0xffff,0x886b,104,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:21.959558",2.038429,74,0x482d,0xffff,0x8841,52,0x482d,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.188200",0.228642,74,0xe5c4,0xffff,0x8841,133,0xe5c4,0xfffc,0x1209,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.849167",,60,,,,,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.851470",0.002303,5,,,0x0002,43,,,,,,physicalInteraction2.pcapng
"Oct 13, 2023 18:09:22.893721",,50,,,,,,,,,,physicalInteraction2.pcapng
