Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
"Oct 28, 2023 13:12:01.000000000",0.0,12,0x059b,0xec7f,160.0,,
"Oct 28, 2023 13:12:01.000753000",0.000753,5,,,160.0,,
"Oct 28, 2023 13:12:01.016541000",0.015788,77,0x711c,0xffff,94.0,0x711c,0xfffc
"Oct 28, 2023 13:12:01.563284000",0.546743,12,0x059b,0xec7f,161.0,,
"Oct 28, 2023 13:12:01.564037000",0.000753,5,,,161.0,,
"Oct 28, 2023 13:12:02.061937000",0.4979,12,0x059b,0xec7f,162.0,,
"Oct 28, 2023 13:12:02.062690000",0.000753,5,,,162.0,,
"Oct 28, 2023 13:12:02.595602000",0.532912,12,0x059b,0xec7f,163.0,,
"Oct 28, 2023 13:12:02.596356000",0.000754,5,,,163.0,,
"Oct 28, 2023 13:12:02.920108000",0.323752,53,0x059b,0xec7f,164.0,0x059b,0x0000
"Oct 28, 2023 13:12:02.922173000",0.002065,5,,,164.0,,
"Oct 28, 2023 13:12:02.924537000",0.002364,57,0xec7f,0x0000,7.0,0x059b,0x0000
"Oct 28, 2023 13:12:02.926744000",0.002207,5,,,7.0,,
"Oct 28, 2023 13:12:02.972170000",0.045426,53,0xec7f,0x0000,8.0,0x059b,0x0000
"Oct 28, 2023 13:12:02.974249000",0.002079,5,,,8.0,,
"Oct 28, 2023 13:12:03.017962000",0.043713,54,0x0000,0xec7f,32.0,0x0000,0x059b
"Oct 28, 2023 13:12:03.020059000",0.002097,5,,,32.0,,
"Oct 28, 2023 13:12:03.063886000",0.043827,12,0x059b,0xec7f,165.0,,
"Oct 28, 2023 13:12:03.064639000",0.000753,5,,,165.0,,
"Oct 28, 2023 13:12:03.066654000",0.002015,50,0xec7f,0x059b,9.0,0x0000,0x059b
"Oct 28, 2023 13:12:03.068640000",0.001986,5,,,9.0,,
"Oct 28, 2023 13:12:03.071848000",0.003208,12,0x059b,0xec7f,166.0,,
"Oct 28, 2023 13:12:03.072601000",0.000753,5,,,166.0,,
"Oct 28, 2023 13:12:03.079443000",0.006842,45,0x059b,0xec7f,167.0,0x059b,0x0000
"Oct 28, 2023 13:12:03.081253000",0.00181,5,,,167.0,,
"Oct 28, 2023 13:12:03.084537000",0.003284,57,0xec7f,0x0000,10.0,0x059b,0x0000
"Oct 28, 2023 13:12:03.086743000",0.002206,5,,,10.0,,
"Oct 28, 2023 13:12:03.131674000",0.044931,45,0xec7f,0x0000,11.0,0x059b,0x0000
"Oct 28, 2023 13:12:03.133496000",0.001822,5,,,11.0,,
"Oct 28, 2023 13:12:03.490211000",0.356715,74,0x0112,0xffff,59.0,0x0112,0xfffc
"Oct 28, 2023 13:12:03.562213000",0.072002,12,0x059b,0xec7f,168.0,,
"Oct 28, 2023 13:12:03.562966000",0.000753,5,,,168.0,,
"Oct 28, 2023 13:12:04.063791000",0.500825,12,0x059b,0xec7f,169.0,,
"Oct 28, 2023 13:12:04.064544000",0.000753,5,,,169.0,,
"Oct 28, 2023 13:12:04.248918000",0.184374,57,0x27d7,0x0000,69.0,0x27d7,0x0000
"Oct 28, 2023 13:12:04.251125000",0.002207,5,,,69.0,,
"Oct 28, 2023 13:12:04.563355000",0.31223,12,0x059b,0xec7f,170.0,,
"Oct 28, 2023 13:12:04.564109000",0.000754,5,,,170.0,,
"Oct 28, 2023 13:12:04.757315000",0.193206,77,0xec7f,0xffff,12.0,0xec7f,0xfffc
"Oct 28, 2023 13:12:05.094639000",0.337324,12,0x059b,0xec7f,171.0,,
"Oct 28, 2023 13:12:05.095393000",0.000754,5,,,171.0,,
"Oct 28, 2023 13:12:05.593354000",0.497961,12,0x059b,0xec7f,172.0,,
"Oct 28, 2023 13:12:05.594107000",0.000753,5,,,172.0,,
"Oct 28, 2023 13:12:06.126730000",0.532623,12,0x059b,0xec7f,173.0,,
"Oct 28, 2023 13:12:06.127483000",0.000753,5,,,173.0,,
"Oct 28, 2023 13:12:06.624613000",0.49713,12,0x059b,0xec7f,174.0,,
"Oct 28, 2023 13:12:06.625367000",0.000754,5,,,174.0,,
"Oct 28, 2023 13:12:06.696638000",0.071271,53,0xc31c,0x1cd8,115.0,0xc31c,0x0000
"Oct 28, 2023 13:12:06.698718000",0.00208,5,,,115.0,,
"Oct 28, 2023 13:12:06.702765000",0.004047,57,0x1cd8,0x0000,195.0,0xc31c,0x0000
"Oct 28, 2023 13:12:06.704972000",0.002207,5,,,195.0,,
"Oct 28, 2023 13:12:06.751550000",0.046578,53,0x1cd8,0x0000,196.0,0xc31c,0x0000
"Oct 28, 2023 13:12:06.753628000",0.002078,5,,,196.0,,
"Oct 28, 2023 13:12:06.804588000",0.05096,48,0x0000,0xec7f,33.0,0x0000,0x1e15
"Oct 28, 2023 13:12:06.806493000",0.001905,5,,,33.0,,
"Oct 28, 2023 13:12:06.810327000",0.003834,48,0xec7f,0x1e15,13.0,0x0000,0x1e15
"Oct 28, 2023 13:12:06.812213000",0.001886,5,,,13.0,,
"Oct 28, 2023 13:12:06.819973000",0.00776,50,0x1e15,0x0000,63.0,,
"Oct 28, 2023 13:12:06.821956000",0.001983,5,,,63.0,,
