Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-11-28 16:39:41.000000,71,0xb1bf,0xffff,140.0,,,0.0
2023-11-28 16:39:42.621569,71,0xec7f,0xffff,133.0,,,1.621569
2023-11-28 16:39:43.390701,59,0x4e08,0xff5f,221.0,,,0.769132
2023-11-28 16:39:43.714061,59,0x4308,0xffff,222.0,0x4308,0xfffc,0.32336
2023-11-28 16:39:45.981891,71,0x4e11,0xffff,81.0,,,2.26783
2023-11-28 16:39:46.038716,71,0x3d95,0xffff,179.0,0x3d95,0xfffc,0.056825
2023-11-28 16:39:46.096030,57,0x27d7,0x0000,165.0,,,0.057314
2023-11-28 16:39:46.098236,5,0x0000,0x27d7,165.0,,,0.002206
2023-11-28 16:39:46.391299,59,0x4308,0xffff,225.0,,,0.293063
2023-11-28 16:39:47.435469,53,0x4615,0xe1a6,13.0,0x4615,0x0000,1.04417
2023-11-28 16:39:47.437517,5,0xe1a6,0x4615,13.0,,,0.002048
2023-11-28 16:39:47.441124,53,0xe1a6,0x0000,253.0,,,0.003607
2023-11-28 16:39:47.443202,5,0x0000,0xe1a6,253.0,,,0.002078
2023-11-28 16:39:47.924844,71,0x0000,0xffff,71.0,,,0.481642
2023-11-28 16:39:47.941321,12,0x4675,0xe1a6,14.0,,,0.016477
2023-11-28 16:39:47.942056,5,0xe1a6,0x4675,14.0,,,0.000735
2023-11-28 16:39:49.564334,53,0x187a,0x0000,157.0,0x187a,0x0000,1.622278
2023-11-28 16:39:49.566413,5,0x0000,0x187a,157.0,,,0.002079
2023-11-28 16:39:49.780928,100,0x187a,0x0000,158.0,,,0.214515
2023-11-28 16:39:49.784511,5,0x0000,0x187a,158.0,,,0.003583
2023-11-28 16:39:50.295290,12,0x187a,0x0000,159.0,,,0.510779
2023-11-28 16:39:50.296056,5,0x0000,0x187a,159.0,,,0.000766
2023-11-28 16:39:52.711448,71,0x711c,0xffff,79.0,0x711c,0xfffc,2.415392
2023-11-28 16:39:52.844538,71,0xe1a6,0xffff,254.0,,,0.13309
2023-11-28 16:39:54.018006,65,0x1e15,0xffff,93.0,,,1.173468
2023-11-28 16:39:54.387803,71,0x0112,0xffff,102.0,,,0.369797
2023-11-28 16:39:54.588396,50,0x0000,0x1cd8,72.0,,,0.200593
2023-11-28 16:39:54.591854,50,0x0000,0x1cd8,72.0,,,0.003458
2023-11-28 16:39:54.596397,50,0x0000,0x1cd8,72.0,,,0.004543
2023-11-28 16:39:54.601528,50,0x0000,0x1cd8,72.0,,,0.005131
2023-11-28 16:39:54.644568,50,0x0000,0x1cd8,73.0,0x0000,0x1cd8,0.04304
2023-11-28 16:39:54.647805,50,0x0000,0x1cd8,73.0,0x0000,0x1cd8,0.003237
2023-11-28 16:39:54.652731,50,0x0000,0x1cd8,73.0,0x0000,0x1cd8,0.004926
2023-11-28 16:39:54.657862,50,0x0000,0x1cd8,73.0,0x0000,0x1cd8,0.005131
2023-11-28 16:39:54.689761,50,0x0000,0x1cd8,74.0,,,0.031899
2023-11-28 16:39:54.693584,50,0x0000,0x1cd8,74.0,,,0.003823
2023-11-28 16:39:54.697322,50,0x0000,0x1cd8,74.0,,,0.003738
2023-11-28 16:39:54.701443,50,0x0000,0x1cd8,74.0,,,0.004121
2023-11-28 16:39:54.741003,50,0x0000,0x1cd8,75.0,,,0.03956
