Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,"Nov 28, 2023 16:14:22.000000000",0.0,59,0x4308,0xffff,114.0,,
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:14:22.320891000",0.320891,59,0x4308,0xffff,115.0,0x4308,0xfffc
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,"Nov 28, 2023 16:14:22.455593000",0.134702,74,0xe1a6,0xffff,227.0,0xe1a6,0xfffc
Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,"Nov 28, 2023 16:14:22.784498000",0.328905,55,0x711c,0x0000,126.0,0x711c,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:22.786641000",0.002143,5,,,126.0,,
Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,"Nov 28, 2023 16:14:22.821562000",0.034921,52,0x711c,0x0000,127.0,0x711c,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:22.823609000",0.002047,5,,,127.0,,
Philips Lamp 3,Bulb,Broadcast,Broadcast,Philips Lamp 3,Bulb,Broadcast,Broadcast,"Nov 28, 2023 16:14:22.856650000",0.033041,74,0x711c,0xffff,128.0,0x711c,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:14:22.960778000",0.104128,59,0x4308,0xffff,117.0,0x4308,0xfffc
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,"Nov 28, 2023 16:14:23.223566000",0.262788,74,0x0000,0xffff,54.0,0x0000,0xfffc
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,"Nov 28, 2023 16:14:24.214719000",0.991153,74,0x0112,0xffff,207.0,0x0112,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:14:25.782226000",1.567507,74,0xb1bf,0xffff,82.0,0xb1bf,0xfffc
Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,"Nov 28, 2023 16:14:26.155599000",0.373373,50,0x0000,0x711c,55.0,0x0000,0x711c
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:26.157582000",0.001983,5,,,55.0,,
Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,"Nov 28, 2023 16:14:26.162588000",0.005006,55,0x711c,0x0000,129.0,0x711c,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:26.164731000",0.002143,5,,,129.0,,
Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,"Nov 28, 2023 16:14:26.211167000",0.046436,53,0x711c,0x0000,130.0,0x711c,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:26.213246000",0.002079,5,,,130.0,,
Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,"Nov 28, 2023 16:14:26.253349000",0.040103,50,0x0000,0x711c,56.0,0x0000,0x711c
Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,"Nov 28, 2023 16:14:26.257000000",0.003651,50,0x0000,0x711c,56.0,0x0000,0x711c
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:26.258983000",0.001983,5,,,56.0,,
Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,"Nov 28, 2023 16:14:26.263542000",0.004559,55,0x711c,0x0000,131.0,0x711c,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:26.265685000",0.002143,5,,,131.0,,
Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,"Nov 28, 2023 16:14:26.312005000",0.04632,53,0x711c,0x0000,132.0,0x711c,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:26.314084000",0.002079,5,,,132.0,,
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,"Nov 28, 2023 16:14:26.573434000",0.25935,74,0xec7f,0xffff,181.0,0xec7f,0xfffc
Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Nov 28, 2023 16:14:26.612007000",0.038573,74,0x1cd8,0xffff,227.0,0x1cd8,0xfffc
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,"Nov 28, 2023 16:14:27.966832000",1.354825,74,0x4e11,0xffff,140.0,0x4e11,0xfffc
Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:14:28.664809000",0.697977,63,0xb1bf,0x0000,83.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:28.667208000",0.002399,5,,,83.0,,
Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:14:28.716168000",0.04896,50,0x0000,0x711c,57.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:28.718150000",0.001982,5,,,57.0,,
Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:14:28.721558000",0.003408,50,0x711c,0xb1bf,133.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:28.730176000",0.008618,5,,,84.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:28.745509000",0.015333,5,,,85.0,,
Coordinator,Coordinator,Philips Lamp 3,Bulb,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:14:28.783445000",0.037936,50,0x0000,0x711c,58.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:28.785428000",0.001983,5,,,58.0,,
Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:14:28.789181000",0.003753,50,0x711c,0xb1bf,134.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:28.795932000",0.006751,45,0xb1bf,0x0070,86.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:28.797754000",0.001822,5,,,86.0,,
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,"Nov 28, 2023 16:14:29.175781000",0.378027,47,0x4308,0xffff,118.0,,
Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,"Nov 28, 2023 16:14:29.584425000",0.408644,57,0x27d7,0x0000,146.0,0x27d7,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:14:29.586632000",0.002207,5,,,146.0,,
Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,"Nov 28, 2023 16:14:30.765987000",1.179355,74,0x3d95,0xffff,135.0,0x3d95,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:14:31.001690000",0.235703,59,0x4308,0xffff,119.0,0x4308,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:14:31.326266000",0.324576,59,0x4308,0xffff,120.0,0x4308,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:14:31.646097000",0.319831,59,0x4308,0xffff,121.0,0x4308,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:14:34.335346000",2.689249,59,0x4308,0xffff,124.0,0x4308,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:14:34.519606000",0.18426,51,0x4308,0xffff,125.0,0x4308,0xfffc
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:14:34.655845000",0.136239,59,0x4308,0xffff,126.0,0x4308,0xfffc
