Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-28 13:20:49.000000,63,0x3d95,0x0000,120.0,0x3d95,0x0000,0.0
Power Plug 1,Socket,Ledvance Bulb,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-28 13:20:49.053950,50,0xec7f,0x3d95,169.0,0x0000,0x3d95,0.00343
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-28 13:20:59.520056,53,0x3d95,0x0000,126.0,0x3d95,0x0000,0.000943
Power Plug 1,Socket,Ledvance Bulb,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-28 13:20:59.546402,45,0xec7f,0x3d95,172.0,0x0000,0x3d95,0.00214
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-28 13:21:12.512052,53,0x3d95,0x0000,129.0,0x3d95,0x0000,0.000932
Power Plug 1,Socket,Ledvance Bulb,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-28 13:21:12.560712,45,0xec7f,0x3d95,190.0,0x0000,0x3d95,0.005688
Power Plug 1,Socket,Ledvance Bulb,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-28 13:21:14.773247,52,0xec7f,0x3d95,195.0,0x0000,0x3d95,0.007646
Power Plug 1,Socket,Ledvance Bulb,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-28 13:21:14.833794,54,0xec7f,0x3d95,196.0,0x0000,0x3d95,0.002249
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-28 13:21:17.509805,53,0x3d95,0x0000,132.0,0x3d95,0x0000,0.079281
Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-28 13:21:17.512816,53,0x3d95,0x0000,133.0,0x3d95,0x0000,0.000932
Power Plug 1,Socket,Ledvance Bulb,Bulb,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-28 13:21:17.546807,45,0xec7f,0x3d95,206.0,0x0000,0x3d95,0.002454
Power Plug 1,Socket,Power Plug 1,Socket,Broadcast,Broadcast,Power Plug 1,Socket,Broadcast,Broadcast,2023-10-28 13:21:24.611531,77,0x3d95,0xffff,134.0,0x3d95,0xfffc,0.040104
