Device Name,Device Type,File Name,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT
Aqara Button,Button,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,53.0,0.0,53.0,53.0,53.0,,,0.0,2.0,3.995928,,3.995928,3.995928,3.995928,,,0.0,53.0,0.0,53,53,53.0,,,0.0,2,3.995928,,3.995928,3.995928,3.995928,,,0.0,,,,,,,,,,,,,,,,,
Aqara Button,Button,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,53.0,0.0,53.0,53.0,53.0,,,0.0,2.0,2.143537,,2.143537,2.143537,2.143537,,,0.0,53.0,0.0,53,53,53.0,,,0.0,2,2.143537,,2.143537,2.143537,2.143537,,,0.0,,,,,,,,,,,,,,,,,
Aqara Button,Button,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,53.0,0.0,53.0,53.0,53.0,,,0.0,2.0,2.143537,,2.143537,2.143537,2.143537,,,0.0,53.0,0.0,53,53,53.0,,,0.0,2,2.143537,,2.143537,2.143537,2.143537,,,0.0,,,,,,,,,,,,,,,,,
Aqara Button,Button,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,53.0,0.0,53.0,53.0,53.0,,,0.0,2.0,2.143537,,2.143537,2.143537,2.143537,,,0.0,53.0,0.0,53,53,53.0,,,0.0,2,2.143537,,2.143537,2.143537,2.143537,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,,,,,,,,,,,,,,,,,,77.0,0.0,77,77,77.0,,,0.0,2,1.822816,,1.822816,1.822816,1.822816,,,0.0,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,1.822816,,1.822816,1.822816,1.822816,,,0.0
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,,,,,,,,,,,,,,,,,,77.0,0.0,77,77,77.0,,,0.0,2,3.933008,,3.933008,3.933008,3.933008,,,0.0,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,3.933008,,3.933008,3.933008,3.933008,,,0.0
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,,,,,,,,,,,,,,,,,,74.0,5.196152422706632,77,68,77.0,,-1.7320508075688774,4.0,3,1.3051715000000002,0.9673397543327268,1.989184,0.621159,1.3051715000000002,,,0.6840125,74.0,5.196152422706632,77.0,68.0,77.0,,-1.7320508075688774,4.0,3.0,1.3051715000000002,0.9673397543327268,1.989184,0.621159,1.3051715000000002,,,0.6840125
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,,,,,,,,,,,,,,,,,,74.75,4.5,77,68,77.0,4.0,-1.9999999999999998,3.375,4,1.2891190000000001,0.6845773502132538,1.989184,0.621159,1.257014,,0.2105748167242626,0.46671,74.75,4.5,77.0,68.0,77.0,4.0,-1.9999999999999998,3.375,4.0,1.2891190000000001,0.6845773502132538,1.989184,0.621159,1.257014,,0.2105748167242626,0.46671
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,,,,,,,,,,,,,,,,,,74.75,4.5,77,68,77.0,4.0,-1.9999999999999998,3.375,4,1.2891190000000001,0.6845773502132538,1.989184,0.621159,1.257014,,0.2105748167242626,0.46671,74.75,4.5,77.0,68.0,77.0,4.0,-1.9999999999999998,3.375,4.0,1.2891190000000001,0.6845773502132538,1.989184,0.621159,1.257014,,0.2105748167242626,0.46671
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,,,,,,,,,,,,,,,,,,74.75,4.5,77,68,77.0,4.0,-1.9999999999999998,3.375,4,1.0101353333333334,0.34091304670008354,1.257014,0.621159,1.152233,,-1.54979885570847,0.2593175555555556,74.75,4.5,77.0,68.0,77.0,4.0,-1.9999999999999998,3.375,4.0,1.0101353333333334,0.34091304670008354,1.257014,0.621159,1.152233,,-1.54979885570847,0.2593175555555556
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,,,,,,,,,,,,,,,,,,74.75,4.5,77,68,77.0,4.0,-1.9999999999999998,3.375,4,1.0101353333333334,0.34091304670008354,1.257014,0.621159,1.152233,,-1.54979885570847,0.2593175555555556,74.75,4.5,77.0,68.0,77.0,4.0,-1.9999999999999998,3.375,4.0,1.0101353333333334,0.34091304670008354,1.257014,0.621159,1.152233,,-1.54979885570847,0.2593175555555556
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction2_group.csv,,,,,,,,,,,,,,,,,,77.0,0.0,77,77,77.0,,,0.0,2,1.152233,,1.152233,1.152233,1.152233,,,0.0,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,1.152233,,1.152233,1.152233,1.152233,,,0.0
