Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.182595,,0.182595,0.182595,0.182595,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.182595,,0.182595,0.182595,0.182595,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.182595,,0.182595,0.182595,0.182595,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.182595,,0.182595,0.182595,0.182595,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.900056,,0.900056,0.900056,0.900056,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.900056,,0.900056,0.900056,0.900056,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,1.568573,,1.568573,1.568573,1.568573,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,1.568573,,1.568573,1.568573,1.568573,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,68.0,4.242640687119285,71.0,65.0,68.0,,,3.0,2.0,0.388161,,0.388161,0.388161,0.388161,,,0.0,68.0,4.242640687119285,71,65,68.0,,,3.0,2,0.388161,,0.388161,0.388161,0.388161,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,68.0,4.242640687119285,71.0,65.0,68.0,,,3.0,2.0,0.388161,,0.388161,0.388161,0.388161,,,0.0,68.0,4.242640687119285,71,65,68.0,,,3.0,2,0.388161,,0.388161,0.388161,0.388161,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,1.588771,,1.588771,1.588771,1.588771,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,1.588771,,1.588771,1.588771,1.588771,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,1.466067,,1.466067,1.466067,1.466067,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,1.466067,,1.466067,1.466067,1.466067,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.818779,,0.818779,0.818779,0.818779,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.818779,,0.818779,0.818779,0.818779,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.818779,,0.818779,0.818779,0.818779,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.818779,,0.818779,0.818779,0.818779,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,69.0,3.4641016151377544,71.0,65.0,71.0,,-1.7320508075688774,2.6666666666666665,3.0,0.323918,0.020524481430720724,0.338431,0.309405,0.323918,,,0.014512999999999998,69.0,3.4641016151377544,71,65,71.0,,-1.7320508075688774,2.6666666666666665,3,0.323918,0.020524481430720724,0.338431,0.309405,0.323918,,,0.014512999999999998,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,69.0,3.4641016151377544,71.0,65.0,71.0,,-1.7320508075688774,2.6666666666666665,3.0,0.323918,0.020524481430720724,0.338431,0.309405,0.323918,,,0.014512999999999998,69.0,3.4641016151377544,71,65,71.0,,-1.7320508075688774,2.6666666666666665,3,0.323918,0.020524481430720724,0.338431,0.309405,0.323918,,,0.014512999999999998,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,68.0,4.242640687119285,71.0,65.0,68.0,,,3.0,2.0,0.358034,,0.358034,0.358034,0.358034,,,0.0,68.0,4.242640687119285,71,65,68.0,,,3.0,2,0.358034,,0.358034,0.358034,0.358034,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,69.0,3.4641016151377544,71.0,65.0,71.0,,-1.7320508075688774,2.6666666666666665,3.0,0.8257114999999999,0.661395863316743,1.293389,0.358034,0.8257114999999999,,,0.46767749999999997,69.0,3.4641016151377544,71,65,71.0,,-1.7320508075688774,2.6666666666666665,3,0.8257114999999999,0.661395863316743,1.293389,0.358034,0.8257114999999999,,,0.46767749999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,68.0,4.242640687119285,71.0,65.0,68.0,,,3.0,2.0,1.12002,,1.12002,1.12002,1.12002,,,0.0,68.0,4.242640687119285,71,65,68.0,,,3.0,2,1.12002,,1.12002,1.12002,1.12002,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,69.0,3.4641016151377544,71.0,65.0,71.0,,-1.7320508075688774,2.6666666666666665,3.0,0.606632,0.7572222671963629,1.142069,0.071195,0.606632,,,0.5354369999999999,69.0,3.4641016151377544,71,65,71.0,,-1.7320508075688774,2.6666666666666665,3,0.606632,0.7572222671963629,1.142069,0.071195,0.606632,,,0.5354369999999999,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,68.0,4.242640687119285,71.0,65.0,68.0,,,3.0,2.0,0.071195,,0.071195,0.071195,0.071195,,,0.0,68.0,4.242640687119285,71,65,68.0,,,3.0,2,0.071195,,0.071195,0.071195,0.071195,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.320163,,0.320163,0.320163,0.320163,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.320163,,0.320163,0.320163,0.320163,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.320163,,0.320163,0.320163,0.320163,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.320163,,0.320163,0.320163,0.320163,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,0.885133,,0.885133,0.885133,0.885133,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,0.885133,,0.885133,0.885133,0.885133,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,68.0,4.242640687119285,71.0,65.0,68.0,,,3.0,2.0,1.240133,,1.240133,1.240133,1.240133,,,0.0,68.0,4.242640687119285,71,65,68.0,,,3.0,2,1.240133,,1.240133,1.240133,1.240133,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,65.0,6.0,71.0,59.0,65.0,,0.0,4.0,3.0,0.694813,0.5372993303252852,1.074741,0.314885,0.694813,,,0.37992799999999993,65.0,6.0,71,59,65.0,,0.0,4.0,3,0.694813,0.5372993303252852,1.074741,0.314885,0.694813,,,0.37992799999999993,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,65.0,8.48528137423857,71.0,59.0,65.0,,,6.0,2.0,0.314885,,0.314885,0.314885,0.314885,,,0.0,65.0,8.48528137423857,71,59,65.0,,,6.0,2,0.314885,,0.314885,0.314885,0.314885,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,1.155493,,1.155493,1.155493,1.155493,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,1.155493,,1.155493,1.155493,1.155493,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,63.0,6.928203230275509,71.0,59.0,59.0,,1.7320508075688774,5.333333333333333,3.0,0.32116849999999997,0.07144253363718285,0.371686,0.270651,0.32116849999999997,,,0.05051750000000002,63.0,6.928203230275509,71,59,59.0,,1.7320508075688774,5.333333333333333,3,0.32116849999999997,0.07144253363718285,0.371686,0.270651,0.32116849999999997,,,0.05051750000000002,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,66.5,5.744562646538029,71.0,59.0,68.0,-1.2892561983471076,-0.8545630383279712,4.5,4.0,0.5306256666666667,0.34464294614184887,0.921551,0.270651,0.399675,,1.4629749511375891,0.2606168888888889,66.5,5.744562646538029,71,59,68.0,-1.2892561983471076,-0.8545630383279712,4.5,4,0.5306256666666667,0.34464294614184887,0.921551,0.270651,0.399675,,1.4629749511375891,0.2606168888888889,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,68.0,4.242640687119285,71.0,65.0,68.0,,,3.0,2.0,0.399675,,0.399675,0.399675,0.399675,,,0.0,68.0,4.242640687119285,71,65,68.0,,,3.0,2,0.399675,,0.399675,0.399675,0.399675,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,1.387419,,1.387419,1.387419,1.387419,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,1.387419,,1.387419,1.387419,1.387419,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,63.0,13.856406460551018,71.0,47.0,71.0,,-1.7320508075688774,10.666666666666666,3.0,0.8116410000000001,1.1100119824659551,1.596538,0.026744,0.8116410000000001,,,0.784897,63.0,13.856406460551018,71,47,71.0,,-1.7320508075688774,10.666666666666666,3,0.8116410000000001,1.1100119824659551,1.596538,0.026744,0.8116410000000001,,,0.784897,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,59.0,16.97056274847714,71.0,47.0,59.0,,,12.0,2.0,0.026744,,0.026744,0.026744,0.026744,,,0.0,59.0,16.97056274847714,71,47,59.0,,,12.0,2,0.026744,,0.026744,0.026744,0.026744,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,65.0,8.48528137423857,71.0,59.0,65.0,,,6.0,2.0,0.624107,,0.624107,0.624107,0.624107,,,0.0,65.0,8.48528137423857,71,59,65.0,,,6.0,2,0.624107,,0.624107,0.624107,0.624107,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,62.0,4.242640687119285,65.0,59.0,62.0,,,3.0,2.0,0.966502,,0.966502,0.966502,0.966502,,,0.0,62.0,4.242640687119285,65,59,62.0,,,3.0,2,0.966502,,0.966502,0.966502,0.966502,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,56.333333333333336,4.618802153517007,59.0,51.0,59.0,,-1.7320508075688823,3.555555555555555,3.0,0.23003099999999999,0.12700486318247817,0.319837,0.140225,0.23003099999999999,,,0.089806,56.333333333333336,4.618802153517007,59,51,59.0,,-1.7320508075688823,3.555555555555555,3,0.23003099999999999,0.12700486318247817,0.319837,0.140225,0.23003099999999999,,,0.089806,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.319837,,0.319837,0.319837,0.319837,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.319837,,0.319837,0.319837,0.319837,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,71.0,0.0,71.0,71.0,71.0,,,0.0,2.0,1.403631,,1.403631,1.403631,1.403631,,,0.0,71.0,0.0,71,71,71.0,,,0.0,2,1.403631,,1.403631,1.403631,1.403631,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Physical_Interaction\Topology_B\4-Group_dataset\physicalInteraction5_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,13.0,0.06343775,0.05588029330163965,0.175197,0.013894,0.035378,-0.07430076961760301,1.1717708085753933,0.04494483333333333,59.0,0.0,59,59,59.0,0.0,0.0,0.0,13,0.06343775,0.05588029330163965,0.175197,0.013894,0.035378,-0.07430076961760301,1.1717708085753933,0.04494483333333333,,,,,,,,,,,,,,,,,
