Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:39:41.000000000",0.0,71,0xb1bf,0xffff,140.0,0xb1bf,0xfffc
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:39:43.390701000",0.769132,59,0x4e08,0xff5f,221.0,,
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:39:43.714061000",0.32336,59,0x4308,0xffff,222.0,0x4308,0xfffc
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:39:46.098236000",0.002206,5,,,165.0,,
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,"Nov 28, 2023 16:39:46.391299000",0.293063,59,0x4308,0xffff,225.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:39:47.437517000",0.002048,5,,,13.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:39:47.443202000",0.002078,5,,,253.0,,
Unknown,Unknown,Unknown,Unknown,Smart Socket,Socket,Unknown,Unknown,,,"Nov 28, 2023 16:39:47.941321000",0.016477,12,0x4675,0xe1a6,14.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:39:47.942056000",0.000735,5,,,14.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:39:49.566413000",0.002079,5,,,157.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:39:49.784511000",0.003583,5,,,158.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:39:50.296056000",0.000766,5,,,159.0,,
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:39:55.723236000",0.60444,59,0x4308,0xffff,231.0,0x4308,0xfffc
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,"Nov 28, 2023 16:39:56.048479000",0.325243,59,0x4308,0xffff,232.0,,
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:39:56.070503000",0.022024,71,0xb1bf,0xffff,141.0,0xb1bf,0xfffc
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,"Nov 28, 2023 16:39:58.716179000",2.645676,59,0x4368,0xffff,235.0,,
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,"Nov 28, 2023 16:39:59.357094000",0.59526,59,0x4308,0xffff,237.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:06.284944000",0.002303,5,,,255.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:06.327792000",0.001952,5,,,83.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:06.334880000",0.001823,5,,,0.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:06.714418000",0.379538,21,0x15d1,,,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:09.395782000",0.419864,58,0x1209,0xfc5f,103.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.164416000",0.002005,5,,,84.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.174401000",0.002399,5,,,2.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.211495000",0.006901,5,,,135.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.221499000",0.002399,5,,,181.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.224975000",0.001794,5,,,86.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.246192000",0.002079,5,,,87.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.256493000",0.002495,5,,,3.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.268212000",0.002098,5,,,88.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.271890000",0.00208,5,,,136.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.287467000",0.002495,5,,,182.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.292767000",0.002494,5,,,182.0,,
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.299604000",0.006837,106,0xb1bf,0x0000,142.0,,
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:40:10.304642000",0.005038,66,0xb1bf,0x0000,142.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.307136000",0.002494,5,,,142.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.311128000",0.001809,5,,,90.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.316382000",0.001794,5,,,137.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.329784000",0.006428,5,,,82.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.337486000",0.001791,5,,,92.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.343405000",0.001809,5,,,93.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.346741000",0.001792,5,,,138.0,,
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:40:10.351762000",0.005021,63,0xb1bf,0x0000,143.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.354161000",0.002399,5,,,143.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.399782000",0.008838,5,,,83.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:10.403504000",0.003722,5,,,84.0,,
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:40:11.011073000",0.606415,71,0xb1bf,0xffff,144.0,0xb1bf,0xfffc
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:40:13.986563000",0.370728,53,0xb1bf,0x0000,145.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:13.988642000",0.002079,5,,,145.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:14.005078000",0.001823,5,,,97.0,,
Unknown,Unknown,Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:40:14.007439000",0.002361,45,0x711c,0xb1bf,85.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:14.009230000",0.001791,5,,,85.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:25.514535000",2.649117,101,,,136.0,,
Unknown,Unknown,Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,Broadcast,Broadcast,"Nov 28, 2023 16:40:25.998579000",0.484044,71,0xb1bf,0xffff,146.0,0xb1bf,0xfffc
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:35.041216000",3.609979,59,0x43a8,0xff5f,104.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:35.359117000",0.289388,44,0x1209,0xff9f,9.0,,
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:40:39.894362000",0.495745,63,0xb1bf,0x0000,147.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:39.896760000",0.002398,5,,,147.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:39.951637000",0.001983,5,,,100.0,,
Unknown,Unknown,Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:40:39.955633000",0.003996,50,0x711c,0xb1bf,87.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:39.957587000",0.001954,5,,,87.0,,
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:40:39.962478000",0.004891,45,0xb1bf,0x0000,148.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:39.964301000",0.001823,5,,,148.0,,
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,,,"Nov 28, 2023 16:40:39.977303000",0.013002,57,0xb1bf,0x0000,149.0,,
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:40:39.982148000",0.004845,57,0xb1bf,0x0000,149.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:39.984355000",0.002207,5,,,149.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.027221000",0.001984,5,,,101.0,,
Unknown,Unknown,Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:40:40.030817000",0.003596,50,0x711c,0xb1bf,88.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.032769000",0.001952,5,,,88.0,,
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:40:40.037714000",0.004945,45,0xb1bf,0x0000,150.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.039537000",0.001823,5,,,150.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.165889000",0.002011,5,,,102.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.175827000",0.002399,5,,,6.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.200185000",0.002034,5,,,103.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.205346000",0.002017,5,,,141.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.211391000",0.001791,5,,,104.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.215296000",0.002399,5,,,185.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.226628000",0.002069,5,,,105.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.236894000",0.002495,5,,,7.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.269292000",0.002097,5,,,106.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.273633000",0.00208,5,,,142.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.297443000",0.001784,5,,,143.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.300616000",0.002111,5,,,108.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.304375000",0.002495,5,,,186.0,,
Unknown,Unknown,Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:40:40.306781000",0.002406,54,0x711c,0xb1bf,89.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.308863000",0.002082,5,,,89.0,,
Unknown,Unknown,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,Coordinator,Coordinator,"Nov 28, 2023 16:40:40.316029000",0.007166,66,0xb1bf,0x0000,151.0,0xb1bf,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.318524000",0.002495,5,,,151.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.325331000",0.001792,5,,,109.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.337579000",0.002047,5,,,110.0,,
Unknown,Unknown,Philips Lamp 3,Bulb,Unknown,Unknown,Coordinator,Coordinator,Unknown,Unknown,"Nov 28, 2023 16:40:40.341620000",0.004041,52,0x711c,0xb1bf,90.0,0x0000,0xb1bf
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.343636000",0.002016,5,,,90.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.350602000",0.001809,5,,,111.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.358164000",0.007562,5,,,152.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Nov 28, 2023 16:40:40.367415000",0.001782,5,,,144.0,,
