Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Aqara Button,Button,80.0,0.0,0.9160136000000001,1.9789845198791476,25.0,24.0,24.2
Aqara Button,Button,80.0,0.0,0.0260352,0.046499128676782756,25.0,24.0,24.4
Aqara Button,Button,80.0,0.0,0.026035000000000003,0.046499240047553465,25.0,24.0,24.6
Aqara Button,Button,80.0,0.0,0.025971000000000004,0.0465350857418357,25.0,24.0,24.8
Aqara Button,Button,80.0,0.0,0.04669380000000001,0.05680001590844848,26.0,25.0,25.2
Aqara Button,Button,80.0,0.0,0.025914799999999998,0.046230465876951746,26.0,25.0,25.4
Aqara Button,Button,80.0,0.0,0.025915,0.046230354508699154,26.0,25.0,25.6
Aqara Button,Button,80.0,0.0,0.025851000000000002,0.04626620103271934,26.0,25.0,25.8
Aqara Button,Button,80.0,0.0,0.0667152,0.0914320894473051,27.0,26.0,26.2
Aqara Button,Button,80.0,0.0,0.0460564,0.09126779138502257,27.0,26.0,26.4
Aqara Button,Button,80.0,0.0,0.0460564,0.09126779138502257,27.0,26.0,26.6
Aqara Button,Button,80.0,0.0,0.0459922,0.09130371506242228,27.0,26.0,26.8
Aqara Button,Button,80.0,0.0,0.127034,0.181300940249906,28.0,27.0,27.2
Aqara Button,Button,80.0,0.0,0.0862338,0.18110769556316483,28.0,27.0,27.4
Aqara Button,Button,80.0,0.0,0.086234,0.18110758387074793,28.0,27.0,27.6
Aqara Button,Button,80.0,0.0,0.08617,0.18114337872387162,28.0,27.0,27.8
Aqara Button,Button,80.0,0.0,0.1102014,0.17556734531313048,29.0,28.0,28.2
Aqara Button,Button,80.0,0.0,0.029223599999999995,0.053628580312180554,29.0,28.0,28.4
Aqara Button,Button,80.0,0.0,0.029223599999999995,0.053628580312180554,29.0,28.0,28.6
Aqara Button,Button,80.0,0.0,0.029159599999999997,0.05366441579203112,29.0,28.0,28.8
Aqara Motion,Motion,57.0,0.0,0.19079980000000002,0.1998744850279795,215.0,211.0,213.0
Aqara Motion,Motion,57.0,0.0,0.24721320000000002,0.17015582467168144,216.0,212.0,214.0
Aqara Motion,Motion,57.0,0.0,0.24049420000000002,0.1745392791084574,217.0,213.0,215.0
Aqara Motion,Motion,57.0,0.0,0.1370336,0.10633335042826404,218.0,214.0,216.0
Aqara Motion,Motion,57.0,0.0,1.0757346,2.1298298254706407,219.0,215.0,217.0
Aqara Motion,Motion,57.0,0.0,1.3621029999999998,2.0564725828117667,220.0,216.0,218.0
Aqara Motion,Motion,57.0,0.0,1.7137368,1.9743019584974077,221.0,217.0,219.0
Aqara Motion,Motion,57.0,0.0,1.8811471999999998,1.8379711729895818,222.0,218.0,220.0
Aqara Motion,Motion,57.0,0.0,1.8922116,1.8239603319250943,223.0,219.0,221.0
Aqara Motion,Motion,57.0,0.0,1.1637549999999999,0.7325062024993372,224.0,220.0,222.0
Aqara Motion,Motion,57.0,0.0,0.9912523999999999,0.7333512061892992,225.0,221.0,223.0
Aqara Motion,Motion,57.0,0.0,0.7730539999999999,0.45126526851343207,226.0,222.0,224.0
Aqara Motion,Motion,57.0,0.0,0.848077,0.5191348294364384,227.0,223.0,225.0
Aqara Motion,Motion,66.0,20.12461179749811,1.0906518,0.2923890712051324,228.0,224.0,226.0
Aqara Motion,Motion,66.0,20.12461179749811,1.2374098,0.4976011789065617,232.0,225.0,227.6
Aqara Motion,Motion,66.0,20.12461179749811,1.5272254,0.4870020157132823,233.0,226.0,229.2
Aqara Motion,Motion,66.0,20.12461179749811,1.5880578,0.4096020977292475,234.0,227.0,230.8
Aqara Motion,Motion,66.0,20.12461179749811,1.5844904,0.41227068939629946,235.0,228.0,232.4
Aqara Motion,Motion,57.0,0.0,2.0753376,0.9958003502405992,236.0,232.0,234.0
Aqara Motion,Motion,57.0,0.0,1.6867118,1.3588251678471002,237.0,233.0,235.0
