Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Philips Lamp 3,Bulb,60.333333333333336,11.930353445448855,0.132289,0.17027704540542157,128.0,126.0,127.0
Smart Socket,Socket,74.0,0.0,0.134702,0.0,227.0,227.0,227.0
Unknown,Unknown,37.4,29.57701810527897,0.0858418,0.1387248930318564,127.0,114.0,119.8
Ledvance Smart+ Plug,Socket,74.0,0.0,0.991153,0.0,207.0,207.0,207.0
Unknown,Unknown,74.0,0.0,1.567507,0.0,82.0,82.0,82.0
Ledvance Bulb,Bulb,74.0,0.0,0.25935,0.0,181.0,181.0,181.0
Philips Lamp 1,Bulb,74.0,0.0,0.038573,0.0,227.0,227.0,227.0
Philips Lamp 3,Bulb,54.0,1.1547005383792515,0.02558025,0.024015913146286982,132.0,129.0,130.5
Unknown,Unknown,5.0,0.0,0.0020683333333333335,7.202962353550564e-05,132.0,55.0,105.5
Ledvance Z3 Plug,Socket,74.0,0.0,1.354825,0.0,140.0,140.0,140.0
Unknown,Unknown,17.25,23.18712697043032,0.09210812500000001,0.24485346093206586,86.0,57.0,77.75
Aqara Motion,Motion,57.0,0.0,0.408644,0.0,146.0,146.0,146.0
Unknown,Unknown,26.0,29.698484809834994,0.190117,0.2657448705055283,146.0,118.0,132.0
Power Plug 1,Socket,74.0,0.0,1.179355,0.0,135.0,135.0,135.0
Unknown,Unknown,59.0,0.0,0.29336999999999996,0.049997409162875615,121.0,119.0,120.0
Unknown,Unknown,57.0,4.0,0.8320777500000001,1.2405162706860868,127.0,124.0,125.5
Aqara Door 1,Door,52.0,0.0,1.16375,0.0,53.0,53.0,53.0
Unknown,Unknown,5.0,0.0,0.002047,0.0,53.0,53.0,53.0
Philips Lamp 3,Bulb,74.0,0.0,0.056101,0.0,135.0,135.0,135.0
Smart Socket,Socket,74.0,0.0,1.381139,0.0,228.0,228.0,228.0
Moes Bulb,Bulb,71.0,0.0,1.222794,0.0,123.0,123.0,123.0
Ledvance Smart+ Plug,Socket,74.0,0.0,0.403277,0.0,208.0,208.0,208.0
Power Plug 1,Socket,63.0,0.0,0.007836,0.0,136.0,136.0,136.0
Unknown,Unknown,18.125,24.47994806250326,0.002889,0.0018927528704433204,229.0,60.0,154.125
Power Plug 1,Socket,66.0,0.0,0.007921,0.0,137.0,137.0,137.0
Smart Socket,Socket,66.0,0.0,0.007686,0.0,230.0,230.0,230.0
Unknown,Unknown,19.058823529411764,24.2323865137079,0.018763000000000002,0.08751883821316311,235.0,62.0,124.97058823529412
Philips Lamp 1,Bulb,74.0,0.0,0.6522,0.0,236.0,236.0,236.0
Philips Lamp 1,Bulb,54.0,1.1547005383792515,0.02544875,0.023963762856655045,240.0,237.0,238.5
Unknown,Unknown,5.0,0.0,0.0020683333333333335,7.150011655002148e-05,240.0,73.0,183.5
Ledvance Bulb,Bulb,55.75,13.841363131329707,0.057775,0.07557839929503668,184.0,182.0,183.0
Ledvance Z3 Plug,Socket,74.0,0.0,0.282666,0.0,141.0,141.0,141.0
Unknown,Unknown,20.428571428571427,26.349301969610394,0.11366857142857142,0.19098068238162827,183.0,75.0,121.42857142857143
Power Plug 1,Socket,74.0,0.0,1.773559,0.0,138.0,138.0,138.0
Unknown,Unknown,59.0,0.0,0.904944,0.0,135.0,135.0,135.0
Smart Socket,Socket,74.0,0.0,5.766469,0.0,231.0,231.0,231.0
Moes Bulb,Bulb,71.0,0.0,1.298019,0.0,124.0,124.0,124.0
Aqara Door 1,Door,52.0,0.0,0.120706,0.0,54.0,54.0,54.0
Ledvance Smart+ Plug,Socket,74.0,0.0,0.492622,0.0,209.0,209.0,209.0
Unknown,Unknown,5.0,0.0,0.002047,0.0,54.0,54.0,54.0
Philips Lamp 3,Bulb,74.0,0.0,0.26839,0.0,142.0,142.0,142.0
Unknown,Unknown,62.0,6.708203932499369,0.2734272,0.24409034131792268,140.0,92.0,129.2
Philips Lamp 1,Bulb,74.0,0.0,0.016955,0.0,241.0,241.0,241.0
Power Plug 1,Socket,52.5,10.606601717798213,0.1177295,0.15931327912167273,140.0,139.0,139.5
Unknown,Unknown,28.142857142857142,28.864214126541835,0.2767077142857143,0.5925846608507273,242.0,78.0,146.85714285714286
Aqara Motion,Motion,57.0,0.0,0.393046,0.0,147.0,147.0,147.0
Unknown,Unknown,26.0,29.698484809834994,0.0615005,0.0838536718605691,147.0,145.0,146.0
Ledvance Z3 Plug,Socket,74.0,0.0,0.978023,0.0,142.0,142.0,142.0
Power Plug 1,Socket,74.0,0.0,0.335912,0.0,141.0,141.0,141.0
Ledvance Bulb,Bulb,74.0,0.0,0.216406,0.0,185.0,185.0,185.0
Smart Socket,Socket,52.5,10.606601717798213,1.385387,1.951720782092049,233.0,232.0,232.5
Unknown,Unknown,5.0,0.0,0.00201575,0.0002037570039695977,243.0,79.0,196.75
Aqara Door 1,Door,52.0,0.0,0.452967,0.0,55.0,55.0,55.0
Unknown,Unknown,5.0,0.0,0.002047,0.0,55.0,55.0,55.0
Smart Socket,Socket,74.0,0.0,0.099753,0.0,234.0,234.0,234.0
Unknown,Unknown,59.0,0.0,1.193948,1.3249925905124904,149.0,146.0,147.33333333333334
Moes Bulb,Bulb,71.0,0.0,0.737112,0.0,125.0,125.0,125.0
Ledvance Smart+ Plug,Socket,74.0,0.0,0.499292,0.0,210.0,210.0,210.0
Power Plug 1,Socket,63.0,0.0,0.007612,0.0,142.0,142.0,142.0
Smart Socket,Socket,63.0,0.0,0.007994,0.0,235.0,235.0,235.0
Unknown,Unknown,5.0,0.0,0.0021523333333333334,0.000191781820480114,245.0,80.0,171.16666666666666
Aqara Door 1,Door,52.0,0.0,0.118006,0.0,56.0,56.0,56.0
Power Plug 1,Socket,66.0,0.0,0.007796,0.0,143.0,143.0,143.0
Smart Socket,Socket,66.0,0.0,0.001737,0.0,236.0,236.0,236.0
Unknown,Unknown,16.666666666666668,23.860706890897706,0.025421366666666664,0.06052121393732223,251.0,56.0,138.26666666666668
Philips Lamp 1,Bulb,74.0,0.0,1.76838,0.0,252.0,252.0,252.0
Unknown,Unknown,52.0,7.0710678118654755,0.3114235,0.09791802573836954,155.0,154.0,154.5
Ledvance Z3 Plug,Socket,74.0,0.0,0.510245,0.0,143.0,143.0,143.0
Power Plug 1,Socket,74.0,0.0,0.303503,0.0,144.0,144.0,144.0
Unknown,Unknown,57.0,0.0,0.130468,0.0,156.0,156.0,156.0
Ledvance Bulb,Bulb,74.0,0.0,2.097503,0.0,186.0,186.0,186.0
Unknown,Unknown,59.0,0.0,0.7254556666666666,0.44907427518433213,160.0,157.0,158.33333333333334
Smart Socket,Socket,74.0,0.0,0.101414,0.0,237.0,237.0,237.0
Unknown,Unknown,59.0,0.0,0.9658723333333334,0.9326273142951227,162.0,161.0,161.5
Moes Bulb,Bulb,71.0,0.0,0.80099,0.0,126.0,126.0,126.0
Ledvance Smart+ Plug,Socket,74.0,0.0,0.447935,0.0,211.0,211.0,211.0
Unknown,Unknown,74.0,0.0,1.544402,0.0,96.0,96.0,96.0
Ledvance Z3 Plug,Socket,74.0,0.0,0.057348,0.0,144.0,144.0,144.0
Philips Lamp 3,Bulb,74.0,0.0,3.246126,0.0,148.0,148.0,148.0
Unknown,Unknown,47.0,0.0,0.534083,0.0,165.0,165.0,165.0
Philips Lamp 1,Bulb,74.0,0.0,0.574926,0.0,253.0,253.0,253.0
Unknown,Unknown,98.0,0.0,0.58921,0.0,145.0,145.0,145.0
Aqara Door 1,Door,52.0,0.0,0.198919,0.0,57.0,57.0,57.0
Unknown,Unknown,45.5,27.0,0.17247925,0.13965928642324504,168.0,57.0,139.5
Unknown,Unknown,59.0,0.0,1.5023265,1.220121943325543,173.0,171.0,172.0
Ledvance Bulb,Bulb,74.0,0.0,0.002434,0.0,187.0,187.0,187.0
Power Plug 1,Socket,52.5,9.0,0.03993975,0.06415766162288543,149.0,146.0,147.5
Unknown,Unknown,5.0,0.0,0.002015,0.00019558629808859315,255.0,94.0,161.0
Aqara Door 1,Door,52.0,0.0,0.853375,0.0,58.0,58.0,58.0
Unknown,Unknown,5.0,0.0,0.002047,0.0,58.0,58.0,58.0
Smart Socket,Socket,74.0,0.0,1.416486,0.0,238.0,238.0,238.0
Moes Bulb,Bulb,71.0,0.0,0.639126,0.0,127.0,127.0,127.0
Smart Socket,Socket,52.5,9.0,0.13660550000000002,0.2582783380418627,242.0,239.0,240.5
Unknown,Unknown,5.0,0.0,0.002013875,0.00019573775276410745,242.0,0.0,144.5
