Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Nov 28, 2023 16:39:41.000000",0.000000,71,0xb1bf,0xffff,0x8841,140,0xb1bf,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:42.621569",1.621569,71,0xec7f,0xffff,0x8841,133,0xec7f,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:43.390701",0.769132,59,0x4e08,0xff5f,0x8844,221,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:43.714061",0.323360,59,0x4308,0xffff,0x8841,222,0x4308,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:45.981891",2.267830,71,0x4e11,0xffff,0x8841,81,0x4e11,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:46.038716",0.056825,71,0x3d95,0xffff,0x8841,179,0x3d95,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:46.096030",,57,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:46.098236",0.002206,5,,,0x0002,165,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:46.391299",0.293063,59,0x4308,0xffff,0x8841,225,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:47.435469",,53,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:47.437517",0.002048,5,,,0x0002,13,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:47.441124",,53,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:47.443202",0.002078,5,,,0x0002,253,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:47.924844",0.481642,71,0x0000,0xffff,0x8841,71,0x0000,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:47.941321",0.016477,12,0x4675,0xe1a6,0x8863,14,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:47.942056",0.000735,5,,,0x0002,14,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:49.564334",,53,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:49.566413",0.002079,5,,,0x0002,157,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:49.780928",,100,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:49.784511",0.003583,5,,,0x0002,158,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:50.295290",0.510779,12,0x187a,0x0000,0x8863,159,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:50.296056",0.000766,5,,,0x0002,159,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:52.711448",2.415392,71,0x711c,0xffff,0x8841,79,0x711c,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:52.844538",0.133090,71,0xe1a6,0xffff,0x8841,254,0xe1a6,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.018006",1.173468,65,0x1e15,0xffff,0x8841,93,0x1e15,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.387803",0.369797,71,0x0112,0xffff,0x8841,102,0x0112,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.588396",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.591854",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.596397",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.601528",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.644568",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.647805",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.652731",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.657862",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.689761",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.693584",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.697322",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.701443",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.741003",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.744136",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.749639",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.754923",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.788351",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.791266",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.794850",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.799776",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.880952",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.888190",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.893506",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.897829",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.944127",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.948373",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.951687",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.956614",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.985897",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.993103",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:54.997883",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.003486",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.041877",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.044894",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.050397",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.055424",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.105888",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.110402",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.113614",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.118796",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:55.723236",0.604440,59,0x4308,0xffff,0x8841,231,0x4308,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:56.048479",0.325243,59,0x4308,0xffff,0x8841,232,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:56.070503",0.022024,71,0xb1bf,0xffff,0x8841,141,0xb1bf,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:58.716179",2.645676,59,0x4368,0xffff,0x8841,235,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:58.761834",0.045655,71,0xec7f,0xffff,0x8841,134,0xec7f,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:39:59.357094",0.595260,59,0x4308,0xffff,0x8841,237,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:01.018871",1.661777,71,0x3d95,0xffff,0x8841,180,0x3d95,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:02.272898",1.254027,71,0x4e11,0xffff,0x8841,82,0x4e11,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:03.128188",0.855290,71,0x0000,0xffff,0x8841,82,0x0000,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:06.282641",,60,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:06.284944",0.002303,5,,,0x0002,255,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:06.325840",,50,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:06.327792",0.001952,5,,,0x0002,83,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:06.333057",,45,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:06.334880",0.001823,5,,,0x0002,0,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:06.714418",0.379538,21,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:07.862073",1.147655,71,0xe1a6,0xffff,0x8841,1,0xe1a6,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:08.975918",1.113845,65,0x1e15,0xffff,0x8841,94,0x1e15,0xfffc,0x1209,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:09.395782",0.419864,58,0x1209,0xfc5f,0x883a,103,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.162411",,52,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.164416",0.002005,5,,,0x0002,84,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.172002",,63,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.174401",0.002399,5,,,0x0002,2,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.204594",,52,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.211495",0.006901,5,,,0x0002,135,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.219100",,63,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.221499",0.002399,5,,,0x0002,181,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.223181",,45,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.224975",0.001794,5,,,0x0002,86,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.244113",,54,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.246192",0.002079,5,,,0x0002,87,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.253998",,66,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.256493",0.002495,5,,,0x0002,3,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.266114",,54,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.268212",0.002098,5,,,0x0002,88,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.269810",,54,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.271890",0.002080,5,,,0x0002,136,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.278810",,54,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.282518",,54,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.284972",,66,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.287467",0.002495,5,,,0x0002,182,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.290273",,66,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.292767",0.002494,5,,,0x0002,182,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.299604",0.006837,106,0xb1bf,0x0000,0x886a,142,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.304642",,66,,,,,,,,,,physicalInteraction5.pcapng
"Nov 28, 2023 16:40:10.307136",0.002494,5,,,0x0002,142,,,,,,physicalInteraction5.pcapng
