Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Philips Motion,Motion,"Oct 28, 2023 13:12:01.000000",0.0,12,0x059b,0xec7f,0x8863,160.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:12:01.000753",0.000753,5,,,0x0002,160.0,,,,,,physicalInteraction1.pcapng
Philips Lamp 3,Bulb,"Oct 28, 2023 13:12:01.016541",0.015788,77,0x711c,0xffff,0x8841,94.0,0x711c,0xfffc,0x1209,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:12:01.563284",0.546743,12,0x059b,0xec7f,0x8863,161.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:12:01.564037",0.000753,5,,,0x0002,161.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:12:02.061937",0.4979,12,0x059b,0xec7f,0x8863,162.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:12:02.062690",0.000753,5,,,0x0002,162.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:12:02.595602",0.532912,12,0x059b,0xec7f,0x8863,163.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:12:02.596356",0.000754,5,,,0x0002,163.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:12:02.920108",,53,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:12:02.922173",0.002065,5,,,0x0002,164.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:12:02.924537",0.002364,57,0xec7f,0x0000,0x8861,7.0,0x059b,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:12:02.926744",0.002207,5,,,0x0002,7.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:12:02.972170",,53,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:12:02.974249",0.002079,5,,,0x0002,8.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:12:03.017962",,54,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:12:03.020059",0.002097,5,,,0x0002,32.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:12:03.063886",0.043827,12,0x059b,0xec7f,0x8863,165.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:12:03.064639",0.000753,5,,,0x0012,165.0,,,,,,physicalInteraction1.pcapng
