Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-15 16:02:12.000000,47,0x0000,0xffff,156,0x0000,0xfffc,0.0
2023-10-15 16:02:16.053162,65,0x054f,0xffff,105,,,4.053162
2023-10-15 16:02:16.056262,47,0x054f,0xffff,106,,,0.0031
2023-10-15 16:02:16.061101,64,0x054f,0xffff,107,0x054f,0xfffd,0.004839
2023-10-15 16:02:16.097391,57,0x0000,0x054f,157,0x0000,0x054f,0.03629
2023-10-15 16:02:16.099584,5,0x054f,0x0000,157,,,0.002193
2023-10-15 16:02:16.103932,55,0x054f,0x0000,108,0x054f,0x0000,0.004348
2023-10-15 16:02:16.106075,5,0x0000,0x054f,108,,,0.002143
2023-10-15 16:02:16.110055,49,0x0000,0x054f,158,,,0.00398
2023-10-15 16:02:16.111992,5,0x054f,0x0000,158,,,0.001937
2023-10-15 16:02:16.116005,55,0x054f,0x0000,109,,,0.004013
2023-10-15 16:02:16.118148,5,0x0000,0x054f,109,,,0.002143
2023-10-15 16:02:16.135130,65,0x0000,0xffff,159,,,0.016982
2023-10-15 16:02:16.141185,64,0x0000,0xffff,160,0x054f,0xfffd,0.006055
2023-10-15 16:02:16.149258,59,0x0000,0x054f,161,0x0000,0x054f,0.008073
2023-10-15 16:02:16.151516,5,0x054f,0x0000,161,,,0.002258
2023-10-15 16:02:16.156310,45,0x054f,0x0000,110,0x054f,0x0000,0.004794
2023-10-15 16:02:16.158133,5,0x0000,0x054f,110,,,0.001823
2023-10-15 16:02:16.159117,50,0x0000,0xffff,162,0x0000,0xfffc,0.000984
2023-10-15 16:02:16.169657,55,0x054f,0x0000,111,0x054f,0x0000,0.01054
2023-10-15 16:02:16.171800,5,0x0000,0x054f,111,,,0.002143
2023-10-15 16:02:16.173098,50,0x054f,0x0000,112,0x054f,0x0000,0.001298
2023-10-15 16:02:16.175080,5,0x0000,0x054f,112,,,0.001982
2023-10-15 16:02:16.197176,45,0x0000,0x054f,163,,,0.022096
2023-10-15 16:02:16.198985,5,0x054f,0x0000,163,,,0.001809
2023-10-15 16:02:16.202492,45,0x054f,0x0000,113,0x054f,0x0000,0.003507
2023-10-15 16:02:16.204314,5,0x0000,0x054f,113,,,0.001822
2023-10-15 16:02:16.494872,65,0x054f,0xffff,114,0x054f,0xfffd,0.290558
2023-10-15 16:02:16.549996,64,0x054f,0xffff,115,0x054f,0xfffd,0.055124
2023-10-15 16:02:16.899882,55,0x054f,0x0000,116,,,0.349886
2023-10-15 16:02:16.902025,5,0x0000,0x054f,116,,,0.002143
2023-10-15 16:02:16.943368,52,0x054f,0x0000,117,0x054f,0x0000,0.041343
2023-10-15 16:02:16.945415,5,0x0000,0x054f,117,,,0.002047
2023-10-15 16:02:16.959277,45,0x0000,0x054f,164,,,0.013862
2023-10-15 16:02:16.961086,5,0x054f,0x0000,164,,,0.001809
2023-10-15 16:02:16.985008,50,0x0000,0x054f,165,,,0.023922
2023-10-15 16:02:16.986977,5,0x054f,0x0000,165,,,0.001969
2023-10-15 16:02:16.990597,55,0x054f,0x0000,118,0x054f,0x0000,0.00362
2023-10-15 16:02:16.992739,5,0x0000,0x054f,118,,,0.002142
2023-10-15 16:02:16.996531,65,0x054f,0xffff,119,,,0.003792
2023-10-15 16:02:17.008486,64,0x054f,0xffff,120,0x054f,0xfffd,0.011955
2023-10-15 16:02:17.038332,45,0x054f,0x0000,121,0x054f,0x0000,0.029846
2023-10-15 16:02:17.040155,5,0x0000,0x054f,121,,,0.001823
2023-10-15 16:02:17.641357,55,0x054f,0x0000,122,0x054f,0x0000,0.601202
2023-10-15 16:02:17.643500,5,0x0000,0x054f,122,,,0.002143
2023-10-15 16:02:17.689227,52,0x054f,0x0000,123,0x054f,0x0000,0.045727
2023-10-15 16:02:17.691274,5,0x0000,0x054f,123,,,0.002047
2023-10-15 16:02:17.703956,45,0x0000,0x054f,166,,,0.012682
2023-10-15 16:02:17.705766,5,0x054f,0x0000,166,,,0.00181
2023-10-15 16:02:17.732038,50,0x0000,0x054f,167,,,0.026272
2023-10-15 16:02:17.734007,5,0x054f,0x0000,167,,,0.001969
2023-10-15 16:02:17.737312,55,0x054f,0x0000,124,0x054f,0x0000,0.003305
2023-10-15 16:02:17.739454,5,0x0000,0x054f,124,,,0.002142
2023-10-15 16:02:17.785502,45,0x054f,0x0000,125,0x054f,0x0000,0.046048
2023-10-15 16:02:17.787325,5,0x0000,0x054f,125,,,0.001823
2023-10-15 16:02:18.802316,50,0x054f,0xffff,126,0x054f,0xfffc,1.014991
2023-10-15 16:02:22.063574,55,0x61af,0xe694,214,0x61af,0x0000,3.261258
2023-10-15 16:02:22.068094,55,0x61af,0xe694,214,0x61af,0x0000,0.00452
2023-10-15 16:02:22.072294,55,0x61af,0xe694,214,0x61af,0x0000,0.0042
2023-10-15 16:02:22.075863,55,0x61af,0xe694,214,0x61af,0x0000,0.003569
2023-10-15 16:02:22.364544,50,0x054f,0xffff,127,,,0.288681
2023-10-15 16:02:26.204121,50,0x054f,0xffff,128,0x054f,0xfffc,3.839577
2023-10-15 16:02:26.854739,59,0x0000,0xffff,168,,,0.650618
2023-10-15 16:02:26.864379,59,0x054f,0xffff,129,0x0000,0xfffc,0.00964
2023-10-15 16:02:26.870089,59,0x0000,0xffff,169,,,0.00571
2023-10-15 16:02:26.914940,59,0x0000,0xffff,170,,,0.044851
2023-10-15 16:02:26.976416,59,0x054f,0xffff,130,,,0.061476
2023-10-15 16:02:26.979393,59,0x054f,0xffff,131,0x0000,0xfffc,0.002977
2023-10-15 16:02:27.141873,59,0x0000,0xffff,171,0x0000,0xfffc,0.16248
2023-10-15 16:02:27.165067,59,0x054f,0xffff,132,0x0000,0xfffc,0.023194
2023-10-15 16:02:27.209721,59,0x0000,0xffff,172,0x0000,0xfffc,0.044654
2023-10-15 16:02:27.257396,59,0x0000,0xffff,173,0x0000,0xfffc,0.047675
2023-10-15 16:02:27.267379,59,0x054f,0xffff,133,0x0000,0xfffc,0.009983
2023-10-15 16:02:27.338514,59,0x054f,0xffff,134,,,0.071135
2023-10-15 16:02:27.474076,59,0x054f,0xffff,135,0x0000,0xfffc,0.135562
2023-10-15 16:02:27.488948,59,0x0000,0xffff,174,0x0000,0xfffc,0.014872
2023-10-15 16:02:27.569530,59,0x0000,0xffff,175,0x0000,0xfffc,0.080582
2023-10-15 16:02:27.590064,59,0x054f,0xffff,136,,,0.020534
2023-10-15 16:02:27.596544,59,0x0000,0xffff,176,,,0.00648
2023-10-15 16:02:27.688337,59,0x054f,0xffff,137,0x0000,0xfffc,0.091793
2023-10-15 16:02:27.850811,59,0x0000,0xffff,177,0x0000,0xfffc,0.162474
2023-10-15 16:02:27.872540,59,0x0000,0xffff,178,,,0.021729
2023-10-15 16:02:27.879473,59,0x0000,0xffff,179,0x0000,0xfffc,0.006933
2023-10-15 16:02:33.531189,50,0x0000,0xffff,180,0x0000,0xfffc,5.651716
2023-10-15 16:02:41.755208,50,0x054f,0xffff,138,0x054f,0xfffc,8.224019
2023-10-15 16:02:45.804016,55,0x054f,0x0000,139,,,4.048808
2023-10-15 16:02:45.806158,5,0x0000,0x054f,139,,,0.002142
2023-10-15 16:02:45.848339,76,0x054f,0x0000,140,0x054f,0x0000,0.042181
2023-10-15 16:02:45.851154,5,0x0000,0x054f,140,,,0.002815
2023-10-15 16:02:45.868112,45,0x0000,0x054f,181,,,0.016958
2023-10-15 16:02:45.869922,5,0x054f,0x0000,181,,,0.00181
2023-10-15 16:02:45.896998,50,0x0000,0x054f,182,0x0000,0x054f,0.027076
2023-10-15 16:02:45.898967,5,0x054f,0x0000,182,,,0.001969
2023-10-15 16:02:45.902587,55,0x054f,0x0000,141,0x054f,0x0000,0.00362
2023-10-15 16:02:45.904729,5,0x0000,0x054f,141,,,0.002142
2023-10-15 16:02:45.949280,45,0x054f,0x0000,142,,,0.044551
2023-10-15 16:02:45.951103,5,0x0000,0x054f,142,,,0.001823
2023-10-15 16:02:48.415858,50,0x0000,0xffff,183,0x0000,0xfffc,2.464755
2023-10-15 16:02:49.674249,54,0x0000,0x482d,184,,,1.258391
2023-10-15 16:02:49.682116,54,0x0000,0x482d,184,,,0.007867
2023-10-15 16:02:49.687764,54,0x0000,0x482d,184,,,0.005648
2023-10-15 16:02:49.691759,54,0x0000,0x482d,184,,,0.003995
2023-10-15 16:02:49.736984,54,0x0000,0x482d,185,0x0000,0xa209,0.045225
2023-10-15 16:02:49.741710,54,0x0000,0x482d,185,0x0000,0xa209,0.004726
2023-10-15 16:02:49.746511,54,0x0000,0x482d,185,0x0000,0xa209,0.004801
2023-10-15 16:02:49.749972,54,0x0000,0x482d,185,0x0000,0xa209,0.003461
2023-10-15 16:02:49.784588,54,0x0000,0x482d,186,,,0.034616
2023-10-15 16:02:49.788572,54,0x0000,0x482d,186,,,0.003984
2023-10-15 16:02:49.792687,54,0x0000,0x482d,186,,,0.004115
2023-10-15 16:02:49.798294,54,0x0000,0x482d,186,,,0.005607
2023-10-15 16:02:49.832302,54,0x0000,0x482d,187,,,0.034008
2023-10-15 16:02:49.836175,54,0x0000,0x482d,187,,,0.003873
2023-10-15 16:02:49.841250,54,0x0000,0x482d,187,,,0.005075
2023-10-15 16:02:49.845566,54,0x0000,0x482d,187,,,0.004316
