Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-15 16:11:03.000000,65,0x09ac,0xffff,136,0x09ac,0xfffd,0.0
2023-10-15 16:11:03.004333,47,0x09ac,0xffff,137,0x09ac,0xfffc,0.004333
2023-10-15 16:11:03.039330,65,0x0000,0xffff,241,0x09ac,0xfffd,0.034997
2023-10-15 16:11:03.047736,59,0x0000,0xffff,242,0x0000,0xfffc,0.008406
2023-10-15 16:11:03.402977,59,0x0000,0xffff,243,0x0000,0xfffc,0.355241
2023-10-15 16:11:03.476306,65,0x09ac,0xffff,138,,,0.073329
2023-10-15 16:11:03.738776,59,0x0000,0xffff,244,0x0000,0xfffc,0.26247
2023-10-15 16:11:03.954160,65,0x09ac,0xffff,139,0x09ac,0xfffd,0.215384
2023-10-15 16:11:04.125489,59,0x0000,0xffff,245,,,0.171329
2023-10-15 16:11:04.381000,55,0x09ac,0x0000,140,,,0.255511
2023-10-15 16:11:04.383143,5,0x0000,0x09ac,140,,,0.002143
2023-10-15 16:11:04.422639,52,0x09ac,0x0000,141,0x09ac,0x0000,0.039496
2023-10-15 16:11:04.424686,5,0x0000,0x09ac,141,,,0.002047
2023-10-15 16:11:04.439246,45,0x0000,0x09ac,246,,,0.01456
2023-10-15 16:11:04.441069,5,0x09ac,0x0000,246,,,0.001823
2023-10-15 16:11:04.464917,50,0x0000,0x09ac,247,,,0.023848
2023-10-15 16:11:04.466900,5,0x09ac,0x0000,247,,,0.001983
2023-10-15 16:11:04.473173,55,0x09ac,0x0000,142,0x09ac,0x0000,0.006273
2023-10-15 16:11:04.475316,5,0x0000,0x09ac,142,,,0.002143
2023-10-15 16:11:04.520744,45,0x09ac,0x0000,143,0x09ac,0x0000,0.045428
2023-10-15 16:11:04.522567,5,0x0000,0x09ac,143,,,0.001823
2023-10-15 16:11:06.525764,50,0x0000,0xffff,248,,,2.003197
2023-10-15 16:11:08.885134,50,0x09ac,0xffff,144,,,2.35937
2023-10-15 16:11:12.461380,50,0x09ac,0xffff,145,0x09ac,0xfffc,3.5762460000000003
2023-10-15 16:11:16.145240,50,0x09ac,0xffff,146,,,3.68386
2023-10-15 16:11:17.665054,55,0x09ac,0x0000,147,0x09ac,0x0000,1.519814
2023-10-15 16:11:17.667197,5,0x0000,0x09ac,147,,,0.002143
2023-10-15 16:11:17.709771,52,0x09ac,0x0000,148,0x09ac,0x0000,0.042574
2023-10-15 16:11:17.711818,5,0x0000,0x09ac,148,,,0.002047
2023-10-15 16:11:17.726227,45,0x0000,0x09ac,249,0x0000,0x09ac,0.014409
2023-10-15 16:11:17.728050,5,0x09ac,0x0000,249,,,0.001823
2023-10-15 16:11:17.751964,50,0x0000,0x09ac,250,,,0.023914
2023-10-15 16:11:17.753947,5,0x09ac,0x0000,250,,,0.001983
2023-10-15 16:11:17.760858,55,0x09ac,0x0000,149,,,0.006911
2023-10-15 16:11:17.763001,5,0x0000,0x09ac,149,,,0.002143
2023-10-15 16:11:17.807010,45,0x09ac,0x0000,150,,,0.044009
2023-10-15 16:11:17.810198,45,0x09ac,0x0000,150,,,0.003188
2023-10-15 16:11:17.812021,5,0x0000,0x09ac,150,,,0.001823
2023-10-15 16:11:24.471847,50,0x0000,0xffff,251,,,6.659826
2023-10-15 16:11:26.686799,59,0x0000,0xffff,252,,,2.214952
2023-10-15 16:11:26.701944,59,0x0000,0xffff,253,,,0.015145
2023-10-15 16:11:26.748177,59,0x0000,0xffff,254,,,0.046233
2023-10-15 16:11:26.755860,59,0x09ac,0xffff,151,,,0.007683
2023-10-15 16:11:26.810636,59,0x09ac,0xffff,152,0x0000,0xfffc,0.054776
2023-10-15 16:11:26.831449,59,0x09ac,0xffff,153,,,0.020813
2023-10-15 16:11:26.976446,59,0x0000,0xffff,255,,,0.144997
2023-10-15 16:11:26.989441,59,0x0000,0xffff,0,0x0000,0xfffc,0.012995
2023-10-15 16:11:27.045319,59,0x0000,0xffff,1,0x0000,0xfffc,0.055878
2023-10-15 16:11:27.095192,59,0x09ac,0xffff,154,0x0000,0xfffc,0.049873
2023-10-15 16:11:27.157556,59,0x09ac,0xffff,155,,,0.062364
2023-10-15 16:11:27.168558,59,0x09ac,0xffff,156,0x0000,0xfffc,0.011002
2023-10-15 16:11:27.336407,59,0x0000,0xffff,2,0x0000,0xfffc,0.167849
2023-10-15 16:11:27.356395,59,0x0000,0xffff,3,0x0000,0xfffc,0.019988
2023-10-15 16:11:27.388324,59,0x09ac,0xffff,157,0x0000,0xfffc,0.031929
2023-10-15 16:11:27.424493,59,0x0000,0xffff,4,0x0000,0xfffc,0.036169
2023-10-15 16:11:27.437483,59,0x09ac,0xffff,158,0x0000,0xfffc,0.01299
2023-10-15 16:11:27.478602,59,0x09ac,0xffff,159,,,0.041119
2023-10-15 16:11:27.722380,59,0x0000,0xffff,5,,,0.243778
2023-10-15 16:11:27.728102,59,0x0000,0xffff,6,0x0000,0xfffc,0.005722
2023-10-15 16:11:27.769557,59,0x0000,0xffff,7,,,0.041455
2023-10-15 16:11:30.558872,50,0x09ac,0xffff,160,,,2.789315
2023-10-15 16:11:38.044760,54,0x09ac,0xffff,161,0x09ac,0xfffd,7.485888
2023-10-15 16:11:38.071589,54,0x0000,0xffff,8,,,0.026829
2023-10-15 16:11:38.085423,51,0x0000,0x09ac,9,,,0.013834
2023-10-15 16:11:38.087438,5,0x09ac,0x0000,9,,,0.002015
2023-10-15 16:11:38.094684,55,0x09ac,0x0000,162,,,0.007246
2023-10-15 16:11:38.096826,5,0x0000,0x09ac,162,,,0.002142
2023-10-15 16:11:38.139443,45,0x09ac,0x0000,163,0x09ac,0x0000,0.042617
2023-10-15 16:11:38.141266,5,0x0000,0x09ac,163,,,0.001823
2023-10-15 16:11:38.526769,54,0x09ac,0xffff,164,,,0.385503
2023-10-15 16:11:38.977335,54,0x09ac,0xffff,165,,,0.450566
