Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-15 17:38:08.000000,38,,0x0483,242,,,0.0
2023-10-15 17:38:08.002111,5,0x0483,,242,,,0.002111
2023-10-15 17:38:08.508014,12,0x4e52,0x0000,243,,,0.505903
2023-10-15 17:38:08.508780,5,0x0000,0x4e52,243,,,0.000766
2023-10-15 17:38:11.578280,57,0x82eb,0xffff,22,0x82eb,0xfffd,3.0695
2023-10-15 17:38:11.626504,59,0x0000,0xffff,47,0x0000,0xfffc,0.048224
2023-10-15 17:38:11.634039,57,0x0000,0xffff,48,0x82eb,0xfffd,0.007535
2023-10-15 17:38:11.646911,52,0x82eb,0x0000,23,0x82eb,0x0000,0.012872
2023-10-15 17:38:11.648957,5,0x0000,0x82eb,23,,,0.002046
2023-10-15 17:38:11.664240,69,0x82eb,0x0000,24,0x82eb,0x0000,0.015283
2023-10-15 17:38:11.666830,5,0x0000,0x82eb,24,,,0.00259
2023-10-15 17:38:11.821704,49,0x0000,0x82eb,49,0x0000,0x82eb,0.154874
2023-10-15 17:38:11.823659,5,0x82eb,0x0000,49,,,0.001955
2023-10-15 17:38:11.842902,50,0x82eb,0x0000,25,,,0.019243
2023-10-15 17:38:11.844884,5,0x0000,0x82eb,25,,,0.001982
2023-10-15 17:38:11.946860,59,0x0000,0xffff,50,0x0000,0xfffc,0.101976
2023-10-15 17:38:11.967049,69,0x82eb,0x0000,26,0x82eb,0x0000,0.020189
2023-10-15 17:38:11.969640,5,0x0000,0x82eb,26,,,0.002591
2023-10-15 17:38:12.089516,57,0x82eb,0xffff,27,,,0.119876
2023-10-15 17:38:12.230376,59,0x0000,0xffff,51,0x0000,0xfffc,0.14086
2023-10-15 17:38:12.528480,59,0x0000,0xffff,52,0x0000,0xfffc,0.298104
2023-10-15 17:38:12.592215,57,0x82eb,0xffff,28,0x82eb,0xfffd,0.063735
2023-10-15 17:38:13.613600,50,0x82eb,0xffff,29,0x82eb,0xfffc,1.021385
2023-10-15 17:38:13.861759,5,,,14,,,0.248159
2023-10-15 17:38:14.366530,12,0x265e,0x0000,15,,,0.504771
2023-10-15 17:38:14.367297,5,0x0000,0x265e,15,,,0.000767
2023-10-15 17:38:16.544965,50,0x0000,0xffff,53,0x0000,0xfffc,2.177668
2023-10-15 17:38:17.593477,57,0x82eb,0x0000,30,0x82eb,0x0000,1.048512
2023-10-15 17:38:17.595684,5,0x0000,0x82eb,30,,,0.002207
2023-10-15 17:38:17.609022,45,0x0000,0x82eb,54,,,0.013338
2023-10-15 17:38:17.612576,45,0x0000,0x82eb,54,,,0.003554
2023-10-15 17:38:17.616461,45,0x0000,0x82eb,54,,,0.003885
2023-10-15 17:38:17.620454,45,0x0000,0x82eb,54,,,0.003993
2023-10-15 17:38:17.637785,49,0x0000,0x82eb,55,0x0000,0x82eb,0.017331
2023-10-15 17:38:17.639743,5,0x82eb,0x0000,55,,,0.001958
2023-10-15 17:38:17.643531,45,0x0000,0x82eb,56,,,0.003788
2023-10-15 17:38:17.645360,5,0x82eb,0x0000,56,,,0.001829
2023-10-15 17:38:17.656107,45,0x82eb,0x0000,31,,,0.010747
2023-10-15 17:38:17.657930,5,0x0000,0x82eb,31,,,0.001823
2023-10-15 17:38:26.822364,59,0x0000,0xffff,57,,,9.164434
2023-10-15 17:38:26.848473,59,0x82eb,0xffff,32,,,0.026109
2023-10-15 17:38:27.145279,59,0x82eb,0xffff,33,0x0000,0xfffc,0.296806
2023-10-15 17:38:27.190224,59,0x0000,0xffff,58,0x0000,0xfffc,0.044945
2023-10-15 17:38:27.497040,59,0x0000,0xffff,59,0x0000,0xfffc,0.306816
2023-10-15 17:38:27.828557,59,0x0000,0xffff,60,0x0000,0xfffc,0.331517
2023-10-15 17:38:28.616006,50,0x82eb,0xffff,34,,,0.787449
2023-10-15 17:38:31.537559,50,0x0000,0xffff,61,,,2.921553
2023-10-15 17:38:43.615845,50,0x82eb,0xffff,35,0x82eb,0xfffc,12.078286
2023-10-15 17:38:47.327471,50,0x0000,0xffff,62,,,3.711626
2023-10-15 17:38:56.824007,59,0x0000,0xffff,63,,,9.496536
2023-10-15 17:38:56.844677,59,0x82eb,0xffff,36,0x0000,0xfffc,0.02067
2023-10-15 17:38:57.104040,59,0x82eb,0xffff,37,,,0.259363
2023-10-15 17:38:57.122647,59,0x0000,0xffff,64,0x0000,0xfffc,0.018607
2023-10-15 17:38:57.495074,59,0x0000,0xffff,65,,,0.372427
2023-10-15 17:38:57.761366,59,0x0000,0xffff,66,,,0.266292
2023-10-15 17:38:58.626945,50,0x82eb,0xffff,38,0x82eb,0xfffc,0.865579
2023-10-15 17:39:04.632836,50,0x0000,0xffff,67,0x0000,0xfffc,6.005891
2023-10-15 17:39:13.621671,50,0x82eb,0xffff,39,0x82eb,0xfffc,8.988835
2023-10-15 17:39:19.433735,50,0x0000,0xffff,68,,,5.812064
2023-10-15 17:39:25.370169,54,0x0000,0x482d,69,,,5.936434
2023-10-15 17:39:25.374153,54,0x0000,0x482d,69,,,0.003984
2023-10-15 17:39:25.378850,54,0x0000,0x482d,69,,,0.004697
2023-10-15 17:39:25.382701,54,0x0000,0x482d,69,,,0.003851
2023-10-15 17:39:25.428220,54,0x0000,0x482d,70,0x0000,0xa209,0.045519
2023-10-15 17:39:25.431993,54,0x0000,0x482d,70,0x0000,0xa209,0.003773
2023-10-15 17:39:25.436050,54,0x0000,0x482d,70,0x0000,0xa209,0.004057
2023-10-15 17:39:25.440398,54,0x0000,0x482d,70,0x0000,0xa209,0.004348
2023-10-15 17:39:25.468571,54,0x0000,0x482d,71,,,0.028173
2023-10-15 17:39:25.473778,54,0x0000,0x482d,71,,,0.005207
2023-10-15 17:39:25.479445,54,0x0000,0x482d,71,,,0.005667
2023-10-15 17:39:25.484562,54,0x0000,0x482d,71,,,0.005117
2023-10-15 17:39:25.516757,54,0x0000,0x482d,72,0x0000,0xa209,0.032195
2023-10-15 17:39:25.521915,54,0x0000,0x482d,72,0x0000,0xa209,0.005158
2023-10-15 17:39:25.525662,54,0x0000,0x482d,72,0x0000,0xa209,0.003747
2023-10-15 17:39:25.531380,54,0x0000,0x482d,72,0x0000,0xa209,0.005718
2023-10-15 17:39:25.584629,54,0x0000,0x482d,73,,,0.053249
2023-10-15 17:39:25.588989,54,0x0000,0x482d,73,,,0.00436
2023-10-15 17:39:25.593262,54,0x0000,0x482d,73,,,0.004273
2023-10-15 17:39:25.596574,54,0x0000,0x482d,73,,,0.003312
2023-10-15 17:39:25.672791,54,0x0000,0x482d,74,0x0000,0xa209,0.076217
2023-10-15 17:39:25.676733,54,0x0000,0x482d,74,0x0000,0xa209,0.003942
2023-10-15 17:39:25.680471,54,0x0000,0x482d,74,0x0000,0xa209,0.003738
2023-10-15 17:39:25.685233,54,0x0000,0x482d,74,0x0000,0xa209,0.004762
2023-10-15 17:39:25.725412,54,0x0000,0x482d,75,,,0.040179
2023-10-15 17:39:25.730145,54,0x0000,0x482d,75,,,0.004733
2023-10-15 17:39:25.733611,54,0x0000,0x482d,75,,,0.003466
2023-10-15 17:39:25.737579,54,0x0000,0x482d,75,,,0.003968
2023-10-15 17:39:25.774204,54,0x0000,0x482d,76,,,0.036625
2023-10-15 17:39:25.778451,54,0x0000,0x482d,76,,,0.004247
2023-10-15 17:39:25.783108,54,0x0000,0x482d,76,,,0.004657
2023-10-15 17:39:25.787535,54,0x0000,0x482d,76,,,0.004427
2023-10-15 17:39:25.831280,54,0x0000,0x482d,77,0x0000,0xa209,0.043745
2023-10-15 17:39:25.834937,54,0x0000,0x482d,77,0x0000,0xa209,0.003657
2023-10-15 17:39:25.840018,54,0x0000,0x482d,77,0x0000,0xa209,0.005081
2023-10-15 17:39:25.844791,54,0x0000,0x482d,77,0x0000,0xa209,0.004773
2023-10-15 17:39:25.871075,54,0x0000,0x482d,78,0x0000,0xa209,0.026284
2023-10-15 17:39:25.874313,54,0x0000,0x482d,78,0x0000,0xa209,0.003238
2023-10-15 17:39:25.879560,54,0x0000,0x482d,78,0x0000,0xa209,0.005247
2023-10-15 17:39:25.884844,54,0x0000,0x482d,78,0x0000,0xa209,0.005284
2023-10-15 17:39:25.908682,54,0x0000,0x482d,79,0x0000,0xa209,0.023838
2023-10-15 17:39:25.914055,54,0x0000,0x482d,79,0x0000,0xa209,0.005373
2023-10-15 17:39:25.918702,54,0x0000,0x482d,79,0x0000,0xa209,0.004647
2023-10-15 17:39:25.921913,54,0x0000,0x482d,79,0x0000,0xa209,0.003211
2023-10-15 17:39:26.827269,59,0x0000,0xffff,80,0x0000,0xfffc,0.905356
2023-10-15 17:39:26.851780,59,0x82eb,0xffff,40,0x0000,0xfffc,0.024511
2023-10-15 17:39:27.151704,59,0x82eb,0xffff,41,,,0.299924
