Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-15 16:36:50.000000,54,0x4e52,0x0000,206.0,0x4e52,0x0000,0.0
2023-10-15 16:36:50.002111,5,0x0000,0x4e52,206.0,,,0.002111
2023-10-15 16:36:50.505619,12,0x4e52,0x0000,207.0,,,0.503508
2023-10-15 16:36:50.506386,5,0x0000,0x4e52,207.0,,,0.000767
2023-10-15 16:36:56.731073,59,0x0000,0xffff,190.0,0x0000,0xfffc,6.224687
2023-10-15 16:36:56.749549,59,0x0000,0xffff,191.0,0x0000,0xfffc,0.018476
2023-10-15 16:36:56.791588,59,0x0000,0xffff,192.0,0x0000,0xfffc,0.042039
2023-10-15 16:36:57.063010,59,0x0000,0xffff,193.0,0x0000,0xfffc,0.271422
2023-10-15 16:36:57.070481,59,0x0000,0xffff,194.0,,,0.007471
2023-10-15 16:36:57.090161,59,0x0000,0xffff,195.0,,,0.01968
2023-10-15 16:36:57.357511,59,0x0000,0xffff,196.0,,,0.26735
2023-10-15 16:36:57.366084,59,0x0000,0xffff,197.0,0x0000,0xfffc,0.008573
2023-10-15 16:36:57.372490,59,0x0000,0xffff,198.0,,,0.006406
2023-10-15 16:36:57.628661,59,0x0000,0xffff,199.0,0x0000,0xfffc,0.256171
2023-10-15 16:36:57.637189,59,0x0000,0xffff,200.0,,,0.008528
2023-10-15 16:36:57.704776,59,0x0000,0xffff,201.0,,,0.067587
2023-10-15 16:36:59.231674,47,0x0000,0xffff,202.0,0x0000,0xfffc,1.526898
2023-10-15 16:37:01.917924,47,0xebe5,0xffff,131.0,,,2.68625
2023-10-15 16:37:01.962728,51,0xebe5,0xffff,132.0,,,0.044804
2023-10-15 16:37:01.987860,57,0x0000,0xebe5,203.0,0x0000,0xebe5,0.025132
2023-10-15 16:37:01.990026,5,0xebe5,0x0000,203.0,,,0.002166
2023-10-15 16:37:02.012250,59,0x0000,0xebe5,204.0,,,0.022224
2023-10-15 16:37:02.014486,5,0xebe5,0x0000,204.0,,,0.002236
2023-10-15 16:37:02.033916,56,0x0000,0xffff,205.0,,,0.01943
2023-10-15 16:37:02.218533,56,0xebe5,0xffff,134.0,0xebe5,0xfffc,0.184617
2023-10-15 16:37:02.224412,51,0xebe5,0xffff,135.0,0xebe5,0xfffc,0.005879
2023-10-15 16:37:02.466099,56,0xebe5,0xffff,136.0,0xebe5,0xfffc,0.241687
2023-10-15 16:37:02.477409,51,0xebe5,0xffff,137.0,0xebe5,0xfffc,0.01131
2023-10-15 16:37:02.731424,51,0xebe5,0xffff,138.0,0xebe5,0xfffc,0.254015
2023-10-15 16:37:02.985462,51,0xebe5,0xffff,139.0,,,0.254038
2023-10-15 16:37:03.578890,57,0x0000,0xebe5,206.0,0x0000,0xebe5,0.593428
2023-10-15 16:37:03.581055,5,0xebe5,0x0000,206.0,,,0.002165
2023-10-15 16:37:03.584685,57,0x0000,0xebe5,206.0,0x0000,0xebe5,0.00363
2023-10-15 16:37:03.591138,57,0x0000,0xebe5,206.0,0x0000,0xebe5,0.006453
2023-10-15 16:37:03.595598,57,0x0000,0xebe5,206.0,0x0000,0xebe5,0.00446
2023-10-15 16:37:03.597773,5,0xebe5,0x0000,206.0,,,0.002175
2023-10-15 16:37:03.617582,59,0x0000,0xebe5,207.0,0x0000,0xebe5,0.019809
2023-10-15 16:37:03.619817,5,0xebe5,0x0000,207.0,,,0.002235
2023-10-15 16:37:03.842066,59,0xebe5,0xffff,141.0,0xebe5,0xfffc,0.222249
2023-10-15 16:37:04.096195,59,0xebe5,0xffff,142.0,0xebe5,0xfffc,0.254129
2023-10-15 16:37:04.350410,59,0xebe5,0xffff,143.0,0xebe5,0xfffc,0.254215
2023-10-15 16:37:04.604428,59,0xebe5,0xffff,144.0,0xebe5,0xfffc,0.254018
2023-10-15 16:37:05.176621,57,0x0000,0xebe5,208.0,0x0000,0xebe5,0.572193
2023-10-15 16:37:05.178791,5,0xebe5,0x0000,208.0,,,0.00217
2023-10-15 16:37:05.184083,59,0xebe5,0xffff,145.0,,,0.005292
2023-10-15 16:37:05.206383,59,0x0000,0xebe5,209.0,,,0.0223
2023-10-15 16:37:05.208617,5,0xebe5,0x0000,209.0,,,0.002234
2023-10-15 16:37:05.341244,50,0x0000,0xffff,210.0,0x0000,0xfffc,0.132627
2023-10-15 16:37:05.439612,59,0xebe5,0xffff,146.0,,,0.098368
2023-10-15 16:37:05.693628,59,0xebe5,0xffff,147.0,0xebe5,0xfffc,0.254016
2023-10-15 16:37:05.947796,59,0xebe5,0xffff,148.0,,,0.254168
2023-10-15 16:37:06.201969,59,0xebe5,0xffff,149.0,,,0.254173
2023-10-15 16:37:06.774227,59,0x0000,0xffff,211.0,,,0.572258
2023-10-15 16:37:07.125168,59,0x0000,0xffff,212.0,0x0000,0xfffc,0.350941
2023-10-15 16:37:07.130704,45,0xebe5,0x0000,150.0,0xebe5,0x0000,0.005536
2023-10-15 16:37:07.132527,5,0x0000,0xebe5,150.0,,,0.001823
2023-10-15 16:37:07.399778,59,0x0000,0xffff,213.0,,,0.267251
2023-10-15 16:37:07.709238,59,0x0000,0xffff,214.0,,,0.30946
2023-10-15 16:37:16.993133,50,0xebe5,0xffff,151.0,,,9.283895
2023-10-15 16:37:19.444595,54,0x0000,0x482d,215.0,0x0000,0xa209,2.451462
2023-10-15 16:37:19.447998,54,0x0000,0x482d,215.0,0x0000,0xa209,0.003403
2023-10-15 16:37:19.453397,54,0x0000,0x482d,215.0,0x0000,0xa209,0.005399
2023-10-15 16:37:19.459000,54,0x0000,0x482d,215.0,0x0000,0xa209,0.005603
2023-10-15 16:37:19.511194,54,0x0000,0x482d,216.0,,,0.052194
2023-10-15 16:37:19.516887,54,0x0000,0x482d,216.0,,,0.005693
2023-10-15 16:37:19.520890,54,0x0000,0x482d,216.0,,,0.004003
2023-10-15 16:37:19.526443,54,0x0000,0x482d,216.0,,,0.005553
2023-10-15 16:37:19.570683,54,0x0000,0x482d,217.0,,,0.04424
2023-10-15 16:37:19.575570,54,0x0000,0x482d,217.0,,,0.004887
2023-10-15 16:37:19.580382,54,0x0000,0x482d,217.0,,,0.004812
2023-10-15 16:37:19.588842,54,0x0000,0x482d,217.0,,,0.00846
2023-10-15 16:37:19.615697,54,0x0000,0x482d,218.0,0x0000,0xa209,0.026855
2023-10-15 16:37:19.619993,54,0x0000,0x482d,218.0,0x0000,0xa209,0.004296
2023-10-15 16:37:19.623691,54,0x0000,0x482d,218.0,0x0000,0xa209,0.003698
2023-10-15 16:37:19.627490,54,0x0000,0x482d,218.0,0x0000,0xa209,0.003799
2023-10-15 16:37:19.663743,54,0x0000,0x482d,219.0,,,0.036253
2023-10-15 16:37:19.668847,54,0x0000,0x482d,219.0,,,0.005104
2023-10-15 16:37:19.673659,54,0x0000,0x482d,219.0,,,0.004812
2023-10-15 16:37:19.677128,54,0x0000,0x482d,219.0,,,0.003469
2023-10-15 16:37:19.757043,54,0x0000,0x482d,220.0,0x0000,0xa209,0.079915
2023-10-15 16:37:19.761664,54,0x0000,0x482d,220.0,0x0000,0xa209,0.004621
2023-10-15 16:37:19.766257,54,0x0000,0x482d,220.0,0x0000,0xa209,0.004593
2023-10-15 16:37:19.770429,54,0x0000,0x482d,220.0,0x0000,0xa209,0.004172
2023-10-15 16:37:19.824093,54,0x0000,0x482d,221.0,0x0000,0xa209,0.053664
2023-10-15 16:37:19.829300,54,0x0000,0x482d,221.0,0x0000,0xa209,0.005207
2023-10-15 16:37:19.833304,54,0x0000,0x482d,221.0,0x0000,0xa209,0.004004
2023-10-15 16:37:19.837747,54,0x0000,0x482d,221.0,0x0000,0xa209,0.004443
2023-10-15 16:37:19.883963,54,0x0000,0x482d,222.0,0x0000,0xa209,0.046216
2023-10-15 16:37:19.893587,54,0x0000,0x482d,222.0,0x0000,0xa209,0.009624
2023-10-15 16:37:19.898070,54,0x0000,0x482d,222.0,0x0000,0xa209,0.004483
2023-10-15 16:37:19.902344,54,0x0000,0x482d,222.0,0x0000,0xa209,0.004274
2023-10-15 16:37:19.938815,54,0x0000,0x482d,223.0,0x0000,0xa209,0.036471
2023-10-15 16:37:19.943920,54,0x0000,0x482d,223.0,0x0000,0xa209,0.005105
2023-10-15 16:37:19.947924,54,0x0000,0x482d,223.0,0x0000,0xa209,0.004004
2023-10-15 16:37:19.951407,54,0x0000,0x482d,223.0,0x0000,0xa209,0.003483
2023-10-15 16:37:19.998266,54,0x0000,0x482d,224.0,,,0.046859
2023-10-15 16:37:20.002262,54,0x0000,0x482d,224.0,,,0.003996
2023-10-15 16:37:20.007879,54,0x0000,0x482d,224.0,,,0.005617
2023-10-15 16:37:20.013317,54,0x0000,0x482d,224.0,,,0.005438
2023-10-15 16:37:20.294538,50,0x0000,0xffff,225.0,,,0.281221
2023-10-15 16:37:26.734254,59,0x0000,0xffff,226.0,,,6.439716
2023-10-15 16:37:26.748694,59,0x0000,0xffff,227.0,,,0.01444
2023-10-15 16:37:26.792476,59,0x0000,0xffff,228.0,0x0000,0xfffc,0.043782
2023-10-15 16:37:26.814395,59,0xebe5,0xffff,152.0,0x0000,0xfffc,0.021919
2023-10-15 16:37:26.864113,59,0xebe5,0xffff,153.0,0x0000,0xfffc,0.049718
2023-10-15 16:37:26.924677,59,0xebe5,0xffff,154.0,0x0000,0xfffc,0.060564
2023-10-15 16:37:27.012420,59,0x0000,0xffff,229.0,,,0.087743
2023-10-15 16:37:27.068505,59,0xebe5,0xffff,155.0,0x0000,0xfffc,0.056085
2023-10-15 16:37:27.078136,59,0x0000,0xffff,230.0,0x0000,0xfffc,0.009631
2023-10-15 16:37:27.105493,59,0x0000,0xffff,231.0,0x0000,0xfffc,0.027357
2023-10-15 16:37:27.118149,59,0xebe5,0xffff,156.0,0x0000,0xfffc,0.012656
2023-10-15 16:37:27.178703,59,0xebe5,0xffff,157.0,0x0000,0xfffc,0.060554
2023-10-15 16:37:27.322619,59,0xebe5,0xffff,158.0,0x0000,0xfffc,0.143916
2023-10-15 16:37:27.349960,59,0x0000,0xffff,232.0,0x0000,0xfffc,0.027341
2023-10-15 16:37:27.358150,59,0x0000,0xffff,233.0,0x0000,0xfffc,0.00819
2023-10-15 16:37:27.372266,59,0xebe5,0xffff,159.0,0x0000,0xfffc,0.014116
2023-10-15 16:37:27.400890,59,0x0000,0xffff,234.0,,,0.028624
2023-10-15 16:37:27.432871,59,0xebe5,0xffff,160.0,0x0000,0xfffc,0.031981
2023-10-15 16:37:27.684027,59,0x0000,0xffff,235.0,,,0.251156
2023-10-15 16:37:27.695734,59,0x0000,0xffff,236.0,,,0.011707
2023-10-15 16:37:27.730971,59,0x0000,0xffff,237.0,0x0000,0xfffc,0.035237
