Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-15 17:44:16.000000,47,0x0000,0xffff,169.0,0x0000,0xfffc,0.0
2023-10-15 17:44:16.104791,54,0x4e52,0x0000,250.0,0x4e52,0x0000,0.104791
2023-10-15 17:44:16.106902,5,0x0000,0x4e52,250.0,,,0.002111
2023-10-15 17:44:16.610787,12,0x4e52,0x0000,251.0,,,0.503885
2023-10-15 17:44:16.611553,5,0x0000,0x4e52,251.0,,,0.000766
2023-10-15 17:44:18.666386,50,0x0000,0x482d,170.0,0x0000,0x482d,2.054833
2023-10-15 17:44:18.669677,50,0x0000,0x482d,170.0,0x0000,0x482d,0.003291
2023-10-15 17:44:18.674541,50,0x0000,0x482d,170.0,0x0000,0x482d,0.004864
2023-10-15 17:44:18.678865,50,0x0000,0x482d,170.0,0x0000,0x482d,0.004324
2023-10-15 17:44:18.711684,50,0x0000,0x482d,171.0,,,0.032819
2023-10-15 17:44:18.715881,50,0x0000,0x482d,171.0,,,0.004197
2023-10-15 17:44:18.720537,50,0x0000,0x482d,171.0,,,0.004656
2023-10-15 17:44:18.723530,50,0x0000,0x482d,171.0,,,0.002993
2023-10-15 17:44:18.766728,50,0x0000,0x482d,172.0,,,0.043198
2023-10-15 17:44:18.770016,50,0x0000,0x482d,172.0,,,0.003288
2023-10-15 17:44:18.774238,50,0x0000,0x482d,172.0,,,0.004222
2023-10-15 17:44:18.777935,50,0x0000,0x482d,172.0,,,0.003697
2023-10-15 17:44:18.810429,50,0x0000,0x482d,173.0,0x0000,0x482d,0.032494
2023-10-15 17:44:18.814085,50,0x0000,0x482d,173.0,0x0000,0x482d,0.003656
2023-10-15 17:44:18.817348,50,0x0000,0x482d,173.0,0x0000,0x482d,0.003263
2023-10-15 17:44:18.821635,50,0x0000,0x482d,173.0,0x0000,0x482d,0.004287
2023-10-15 17:44:18.871051,50,0x0000,0x482d,174.0,0x0000,0x482d,0.049416
2023-10-15 17:44:18.875465,50,0x0000,0x482d,174.0,0x0000,0x482d,0.004414
2023-10-15 17:44:18.879739,50,0x0000,0x482d,174.0,0x0000,0x482d,0.004274
2023-10-15 17:44:18.884333,50,0x0000,0x482d,174.0,0x0000,0x482d,0.004594
2023-10-15 17:44:18.965213,50,0x0000,0x482d,175.0,0x0000,0x482d,0.08088
2023-10-15 17:44:18.969040,50,0x0000,0x482d,175.0,0x0000,0x482d,0.003827
2023-10-15 17:44:18.972840,50,0x0000,0x482d,175.0,0x0000,0x482d,0.0038
2023-10-15 17:44:18.977602,50,0x0000,0x482d,175.0,0x0000,0x482d,0.004762
2023-10-15 17:44:19.024331,50,0x0000,0x482d,176.0,0x0000,0x482d,0.046729
2023-10-15 17:44:19.028681,50,0x0000,0x482d,176.0,0x0000,0x482d,0.00435
2023-10-15 17:44:19.032058,50,0x0000,0x482d,176.0,0x0000,0x482d,0.003377
2023-10-15 17:44:19.037241,50,0x0000,0x482d,176.0,0x0000,0x482d,0.005183
2023-10-15 17:44:19.076796,50,0x0000,0x482d,177.0,,,0.039555
2023-10-15 17:44:19.082229,50,0x0000,0x482d,177.0,,,0.005433
2023-10-15 17:44:19.086234,50,0x0000,0x482d,177.0,,,0.004005
2023-10-15 17:44:19.091788,50,0x0000,0x482d,177.0,,,0.005554
2023-10-15 17:44:19.122850,50,0x0000,0x482d,178.0,0x0000,0x482d,0.031062
2023-10-15 17:44:19.128007,50,0x0000,0x482d,178.0,0x0000,0x482d,0.005157
2023-10-15 17:44:19.132011,50,0x0000,0x482d,178.0,0x0000,0x482d,0.004004
2023-10-15 17:44:19.137093,50,0x0000,0x482d,178.0,0x0000,0x482d,0.005082
2023-10-15 17:44:19.187136,50,0x0000,0x482d,179.0,0x0000,0x482d,0.050043
2023-10-15 17:44:19.191113,50,0x0000,0x482d,179.0,0x0000,0x482d,0.003977
2023-10-15 17:44:19.194274,50,0x0000,0x482d,179.0,0x0000,0x482d,0.003161
2023-10-15 17:44:19.197601,50,0x0000,0x482d,179.0,0x0000,0x482d,0.003327
2023-10-15 17:44:22.965377,59,0xe5c4,0xffff,72.0,,,3.767776
2023-10-15 17:44:22.972496,47,0xe5c4,0xffff,73.0,,,0.007119
2023-10-15 17:44:23.152182,50,0x0000,0xffff,180.0,0x0000,0xfffc,0.179686
2023-10-15 17:44:23.288191,59,0xe5c4,0xffff,74.0,,,0.136009
2023-10-15 17:44:23.622142,59,0xe5c4,0xffff,75.0,0xe5c4,0xfffc,0.333951
2023-10-15 17:44:23.884617,59,0xe5c4,0xffff,76.0,0xe5c4,0xfffc,0.262475
2023-10-15 17:44:24.511887,55,0xe5c4,0x0000,77.0,,,0.62727
2023-10-15 17:44:24.514030,5,0x0000,0xe5c4,77.0,,,0.002143
2023-10-15 17:44:24.558794,48,0xe5c4,0x0000,78.0,,,0.044764
2023-10-15 17:44:24.560713,5,0x0000,0xe5c4,78.0,,,0.001919
2023-10-15 17:44:24.575264,62,0x0000,0xe5c4,181.0,0x0000,0xe5c4,0.014551
2023-10-15 17:44:24.577632,5,0xe5c4,0x0000,181.0,,,0.002368
2023-10-15 17:44:24.582818,45,0x0000,0xe5c4,182.0,,,0.005186
2023-10-15 17:44:24.584641,5,0xe5c4,0x0000,182.0,,,0.001823
2023-10-15 17:44:24.585521,55,0xe5c4,0x0000,79.0,,,0.00088
2023-10-15 17:44:24.587664,5,0x0000,0xe5c4,79.0,,,0.002143
2023-10-15 17:44:24.595017,55,0xe5c4,0x0000,80.0,0xe5c4,0x0000,0.007353
2023-10-15 17:44:24.597160,5,0x0000,0xe5c4,80.0,,,0.002143
2023-10-15 17:44:24.605300,45,0x0000,0xe5c4,183.0,,,0.00814
2023-10-15 17:44:24.607123,5,0xe5c4,0x0000,183.0,,,0.001823
2023-10-15 17:44:24.617094,50,0x0000,0xe5c4,184.0,0x0000,0xe5c4,0.009971
2023-10-15 17:44:24.619077,5,0xe5c4,0x0000,184.0,,,0.001983
2023-10-15 17:44:24.629250,50,0x0000,0xe5c4,185.0,0x0000,0xe5c4,0.010173
2023-10-15 17:44:24.631234,5,0xe5c4,0x0000,185.0,,,0.001984
2023-10-15 17:44:24.632902,58,0xe5c4,0x0000,81.0,0xe5c4,0x0000,0.001668
2023-10-15 17:44:24.635140,5,0x0000,0xe5c4,81.0,,,0.002238
2023-10-15 17:44:24.637356,45,0xe5c4,0x0000,82.0,,,0.002216
2023-10-15 17:44:24.639179,5,0x0000,0xe5c4,82.0,,,0.001823
2023-10-15 17:44:24.656250,106,,,,,,0.017071
2023-10-15 17:44:24.664442,90,0x0000,0xe5c4,186.0,0x0000,0xe5c4,0.008192
