Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-15 18:08:22.000000,54,0x3181,0x0000,69,,,0.0
2023-10-15 18:08:22.002111,5,0x0000,0x3181,69,,,0.002111
2023-10-15 18:08:22.506475,12,0x3181,0x0000,70,,,0.504364
2023-10-15 18:08:22.507241,5,0x0000,0x3181,70,,,0.000766
2023-10-15 18:08:25.152789,47,0x0000,0xffff,38,0x0000,0xfffc,2.645548
2023-10-15 18:08:27.137009,47,0x6e5f,0xffff,171,,,1.98422
2023-10-15 18:08:27.180613,59,0x6e5f,0xffff,172,,,0.043604
2023-10-15 18:08:27.436260,59,0x6e5f,0xffff,173,,,0.255647
2023-10-15 18:08:27.532520,50,0x0000,0xffff,39,0x0000,0xfffc,0.09626
2023-10-15 18:08:27.585186,5,,,174,,,0.052666
2023-10-15 18:08:27.647625,59,0x0000,0xffff,40,0x0000,0xfffc,0.062439
2023-10-15 18:08:27.653351,45,0x6e5f,0x0000,175,,,0.005726
2023-10-15 18:08:27.655174,5,0x0000,0x6e5f,175,,,0.001823
2023-10-15 18:08:27.664356,50,0x0000,0x6e5f,41,0x0000,0x6e5f,0.009182
2023-10-15 18:08:27.666298,5,0x6e5f,0x0000,41,,,0.001942
2023-10-15 18:08:27.671324,45,0x6e5f,0x0000,176,0x6e5f,0x0000,0.005026
2023-10-15 18:08:27.673147,5,0x0000,0x6e5f,176,,,0.001823
2023-10-15 18:08:27.690479,59,0x6e5f,0xffff,177,0x6e5f,0xfffc,0.017332
2023-10-15 18:08:27.694564,58,0x0000,0x6e5f,42,,,0.004085
2023-10-15 18:08:27.696773,5,0x6e5f,0x0000,42,,,0.002209
2023-10-15 18:08:27.704590,69,0x6e5f,0x0000,178,,,0.007817
2023-10-15 18:08:27.707180,5,0x0000,0x6e5f,178,,,0.00259
2023-10-15 18:08:27.709560,58,0x0000,0x6e5f,43,0x0000,0x6e5f,0.00238
2023-10-15 18:08:27.711769,5,0x6e5f,0x0000,43,,,0.002209
2023-10-15 18:08:27.719478,70,0x6e5f,0x0000,179,0x6e5f,0x0000,0.007709
2023-10-15 18:08:27.722101,5,0x0000,0x6e5f,179,,,0.002623
2023-10-15 18:08:27.741039,45,0x0000,0x6e5f,44,,,0.018938
2023-10-15 18:08:27.748069,45,0x0000,0x6e5f,45,0x0000,0x6e5f,0.00703
2023-10-15 18:08:27.749863,5,0x6e5f,0x0000,45,,,0.001794
2023-10-15 18:08:27.751432,45,0x0000,0x6e5f,45,0x0000,0x6e5f,0.001569
2023-10-15 18:08:27.753213,5,0x6e5f,0x0000,45,,,0.001781
2023-10-15 18:08:27.754215,45,0x0000,0x6e5f,45,0x0000,0x6e5f,0.001002
2023-10-15 18:08:27.756006,5,0x6e5f,0x0000,45,,,0.001791
2023-10-15 18:08:27.757960,45,0x0000,0x6e5f,45,0x0000,0x6e5f,0.001954
2023-10-15 18:08:27.759743,5,0x6e5f,0x0000,45,,,0.001783
2023-10-15 18:08:27.772457,56,0x0000,0x6e5f,46,0x0000,0x6e5f,0.012714
2023-10-15 18:08:27.774601,5,0x6e5f,0x0000,46,,,0.002144
2023-10-15 18:08:27.782395,63,0x6e5f,0x0000,180,0x6e5f,0x0000,0.007794
2023-10-15 18:08:27.784794,5,0x0000,0x6e5f,180,,,0.002399
2023-10-15 18:08:27.802628,56,0x0000,0x6e5f,47,0x0000,0x6e5f,0.017834
2023-10-15 18:08:27.804774,5,0x6e5f,0x0000,47,,,0.002146
2023-10-15 18:08:27.812472,62,0x6e5f,0x0000,181,,,0.007698
2023-10-15 18:08:27.814839,5,0x0000,0x6e5f,181,,,0.002367
2023-10-15 18:08:27.815664,45,0x0000,0x6e5f,48,,,0.000825
2023-10-15 18:08:27.817455,5,0x6e5f,0x0000,48,,,0.001791
2023-10-15 18:08:27.831289,45,0x0000,0x6e5f,49,,,0.013834
2023-10-15 18:08:27.833071,5,0x6e5f,0x0000,49,,,0.001782
2023-10-15 18:08:27.838296,45,0x0000,0x6e5f,50,0x0000,0x6e5f,0.005225
2023-10-15 18:08:27.840078,5,0x6e5f,0x0000,50,,,0.001782
2023-10-15 18:08:27.846480,50,0x0000,0x6e5f,51,0x0000,0x6e5f,0.006402
2023-10-15 18:08:27.850867,50,0x0000,0x6e5f,51,0x0000,0x6e5f,0.004387
2023-10-15 18:08:27.852808,5,0x6e5f,0x0000,51,,,0.001941
2023-10-15 18:08:27.854171,45,0x6e5f,0x0000,182,0x6e5f,0x0000,0.001363
2023-10-15 18:08:27.855994,5,0x0000,0x6e5f,182,,,0.001823
2023-10-15 18:08:27.861762,50,0x0000,0x6e5f,52,0x0000,0x6e5f,0.005768
2023-10-15 18:08:27.865938,50,0x0000,0x6e5f,52,0x0000,0x6e5f,0.004176
2023-10-15 18:08:27.869898,50,0x0000,0x6e5f,52,0x0000,0x6e5f,0.00396
2023-10-15 18:08:27.875075,50,0x0000,0x6e5f,52,0x0000,0x6e5f,0.005177
2023-10-15 18:08:27.927356,50,0x0000,0x6e5f,53,0x0000,0x6e5f,0.052281
2023-10-15 18:08:27.929297,5,0x6e5f,0x0000,53,,,0.001941
2023-10-15 18:08:27.936893,53,0x6e5f,0x0000,184,,,0.007596
2023-10-15 18:08:27.938972,5,0x0000,0x6e5f,184,,,0.002079
2023-10-15 18:08:27.944645,59,0x6e5f,0xffff,185,,,0.005673
