Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-15 15:37:52.000000,47,0x0000,0xffff,209,0x0000,0xfffc,0.0
2023-10-15 15:37:56.154712,59,0x0000,0xffff,210,,,4.154712
2023-10-15 15:37:56.161910,59,0x0000,0xffff,211,,,0.007198
2023-10-15 15:37:56.203055,59,0x0000,0xffff,212,,,0.041145
2023-10-15 15:37:56.487781,59,0x0000,0xffff,213,0x0000,0xfffc,0.284726
2023-10-15 15:37:56.495016,59,0x0000,0xffff,214,0x0000,0xfffc,0.007235
2023-10-15 15:37:56.530627,59,0x0000,0xffff,215,,,0.035611
2023-10-15 15:37:56.806050,59,0x0000,0xffff,216,0x0000,0xfffc,0.275423
2023-10-15 15:37:56.829296,59,0x0000,0xffff,217,0x0000,0xfffc,0.023246
2023-10-15 15:37:56.881565,59,0x0000,0xffff,218,,,0.052269
2023-10-15 15:37:57.173416,59,0x0000,0xffff,219,0x0000,0xfffc,0.291851
2023-10-15 15:37:57.179970,59,0x0000,0xffff,220,0x0000,0xfffc,0.006554
2023-10-15 15:37:57.186913,59,0x0000,0xffff,221,0x0000,0xfffc,0.006943
2023-10-15 15:37:57.903092,47,0xe694,0xffff,171,0xe694,0xfffc,0.716179
2023-10-15 15:37:57.952047,51,0xe694,0xffff,172,,,0.048955
2023-10-15 15:37:58.462117,51,0xe694,0xffff,174,0xe694,0xfffc,0.51007
2023-10-15 15:37:58.716275,51,0xe694,0xffff,175,,,0.254158
2023-10-15 15:37:58.889856,50,0x0000,0xffff,222,,,0.173581
2023-10-15 15:37:58.970387,51,0xe694,0xffff,176,,,0.080531
2023-10-15 15:38:01.687126,57,0xe694,0x0000,177,,,2.716739
2023-10-15 15:38:01.689333,5,0x0000,0xe694,177,,,0.002207
2023-10-15 15:38:01.731065,59,0x0000,0xffff,223,0x0000,0xfffc,0.041732
2023-10-15 15:38:01.736643,45,0xe694,0x0000,178,0xe694,0x0000,0.005578
2023-10-15 15:38:01.738466,5,0x0000,0xe694,178,,,0.001823
2023-10-15 15:38:01.888155,57,0xe694,0x0000,179,,,0.149689
2023-10-15 15:38:01.890362,5,0x0000,0xe694,179,,,0.002207
2023-10-15 15:38:01.930009,50,0x0000,0xe694,224,,,0.039647
2023-10-15 15:38:01.931954,5,0xe694,0x0000,224,,,0.001945
2023-10-15 15:38:01.937034,45,0xe694,0x0000,180,,,0.00508
2023-10-15 15:38:01.938857,5,0x0000,0xe694,180,,,0.001823
2023-10-15 15:38:01.951242,63,0xe694,0x0000,181,0xe694,0x0000,0.012385
2023-10-15 15:38:01.953641,5,0x0000,0xe694,181,,,0.002399
2023-10-15 15:38:01.999696,50,0x0000,0xe694,225,,,0.046055
2023-10-15 15:38:02.001650,5,0xe694,0x0000,225,,,0.001954
2023-10-15 15:38:02.006822,45,0xe694,0x0000,182,,,0.005172
2023-10-15 15:38:02.008645,5,0x0000,0xe694,182,,,0.001823
2023-10-15 15:38:02.022231,54,0xe694,0x0000,183,0xe694,0x0000,0.013586
2023-10-15 15:38:02.024342,5,0x0000,0xe694,183,,,0.002111
2023-10-15 15:38:02.037178,59,0x0000,0xffff,226,,,0.012836
