Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-15 15:56:05.000000,50,0x0000,0xe5c4,192,,,0.0
Coordinator,Coordinator,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-15 15:56:05.003108,50,0x0000,0xe5c4,192,,,0.003108
Coordinator,Coordinator,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-15 15:56:05.008606,50,0x0000,0xe5c4,192,,,0.005498
Coordinator,Coordinator,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-15 15:56:05.013882,50,0x0000,0xe5c4,192,,,0.005276
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 15:56:05.054620,50,0x0000,0xe5c4,193,0x0000,0xe5c4,0.040738
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 15:56:05.059394,50,0x0000,0xe5c4,193,0x0000,0xe5c4,0.004774
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 15:56:05.063495,50,0x0000,0xe5c4,193,0x0000,0xe5c4,0.004101
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 15:56:05.071791,50,0x0000,0xe5c4,193,0x0000,0xe5c4,0.008296
Coordinator,Coordinator,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-15 15:56:05.104996,50,0x0000,0xe5c4,194,,,0.033205
Coordinator,Coordinator,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-15 15:56:05.110244,50,0x0000,0xe5c4,194,,,0.005248
Coordinator,Coordinator,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-15 15:56:05.114724,50,0x0000,0xe5c4,194,,,0.00448
Coordinator,Coordinator,Philips Motion,Bulb,Unknown,Unknown,,,2023-10-15 15:56:05.118567,50,0x0000,0xe5c4,194,,,0.003843
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 15:56:05.166185,50,0x0000,0xe5c4,195,0x0000,0xe5c4,0.047618
