Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 16:18:13.000000,47,0x0000,0xffff,253,,,0.0
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,2023-10-15 16:18:17.968598,65,0x09ac,0xffff,138,0x09ac,0xfffd,4.968598
Coordinator,Coordinator,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,2023-10-15 16:18:18.002469,65,0x0000,0xffff,254,0x09ac,0xfffd,0.033871
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-15 16:18:18.013710,49,0x0000,0x09ac,255,0x0000,0x09ac,0.011241
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 16:18:18.015661,5,0x09ac,0x0000,255,,,0.001951
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 16:18:18.022807,55,0x09ac,0x0000,139,,,0.007146
Aqara Door 2,Door,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 16:18:18.027143,55,0x772c,0x0000,139,,,0.004336
Coordinator,Coordinator,Aqara Door 2,Door,Unknown,Unknown,,,2023-10-15 16:18:18.029285,5,0x0000,0x772c,139,,,0.002142
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 16:18:18.069203,50,0x09ac,0x0000,140,,,0.039918
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-15 16:18:18.071186,5,0x0000,0x09ac,140,,,0.001983
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-15 16:18:18.083873,45,0x0000,0x09ac,0,0x0000,0x09ac,0.012687
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 16:18:18.085697,5,0x09ac,0x0000,0,,,0.001824
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,2023-10-15 16:18:18.446051,65,0x09ac,0xffff,141,0x09ac,0xfffd,0.360354
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 16:18:18.897308,55,0x09ac,0x0000,142,,,0.451257
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-15 16:18:18.899451,5,0x0000,0x09ac,142,,,0.002143
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,2023-10-15 16:18:18.942457,52,0x09ac,0x0000,143,0x09ac,0x0000,0.043006
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-15 16:18:18.944504,5,0x0000,0x09ac,143,,,0.002047
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-15 16:18:18.957044,45,0x0000,0x09ac,1,0x0000,0x09ac,0.01254
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-15 16:18:18.958867,6,,,1,,,0.001823
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-15 16:18:18.960125,45,0x0000,0x09ac,1,0x0000,0x09ac,0.001258
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 16:18:18.961948,5,0x09ac,0x0000,1,,,0.001823
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-15 16:18:18.985604,50,0x0000,0x09ac,2,0x0000,0x09ac,0.023656
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 16:18:18.987587,5,0x09ac,0x0000,2,,,0.001983
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 16:18:18.993444,55,0x09ac,0x0000,144,,,0.005857
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-15 16:18:18.995587,5,0x0000,0x09ac,144,,,0.002143
