Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-15 17:38:08.000000,38,,0x0483,242,,,0.0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-15 17:38:08.002111,5,0x0483,,242,,,0.002111
Sonoff Motion 2,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 17:38:08.508014,12,0x4e52,0x0000,243,,,0.505903
Coordinator,Coordinator,Sonoff Motion 2,Motion,Unknown,Unknown,,,2023-10-15 17:38:08.508780,5,0x0000,0x4e52,243,,,0.000766
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,2023-10-15 17:38:11.578280,57,0x82eb,0xffff,22,0x82eb,0xfffd,3.0695
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 17:38:11.626504,59,0x0000,0xffff,47,0x0000,0xfffc,0.048224
Coordinator,Coordinator,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,2023-10-15 17:38:11.634039,57,0x0000,0xffff,48,0x82eb,0xfffd,0.007535
Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,2023-10-15 17:38:11.646911,52,0x82eb,0x0000,23,0x82eb,0x0000,0.012872
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-15 17:38:11.648957,5,0x0000,0x82eb,23,,,0.002046
Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,2023-10-15 17:38:11.664240,69,0x82eb,0x0000,24,0x82eb,0x0000,0.015283
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-15 17:38:11.666830,5,0x0000,0x82eb,24,,,0.00259
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,2023-10-15 17:38:11.821704,49,0x0000,0x82eb,49,0x0000,0x82eb,0.154874
Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 17:38:11.823659,5,0x82eb,0x0000,49,,,0.001955
Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 17:38:11.842902,50,0x82eb,0x0000,25,,,0.019243
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-15 17:38:11.844884,5,0x0000,0x82eb,25,,,0.001982
