Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 19:14:45.000000,47,0x0000,0xffff,182,,,0.0
Aqara Motion,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 19:14:48.603671,57,0x9989,0x0000,226,,,3.603671
Coordinator,Coordinator,Aqara Motion,Motion,Unknown,Unknown,,,2023-10-15 19:14:48.605878,5,0x0000,0x9989,226,,,0.002207
Sonoff Door 2,Door,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 19:14:50.580386,54,0x0a79,0x0000,129,,,1.974508
Coordinator,Coordinator,Sonoff Door 2,Door,Unknown,Unknown,,,2023-10-15 19:14:50.582497,5,0x0000,0x0a79,129,,,0.002111
Sonoff Door 2,Door,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 19:14:51.086594,12,0x0a79,0x0000,130,,,0.504097
Coordinator,Coordinator,Sonoff Door 2,Door,Unknown,Unknown,,,2023-10-15 19:14:51.087361,5,0x0000,0x0a79,130,,,0.000767
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.111764,50,0x0000,0x482d,183,,,1.024403
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.114734,50,0x0000,0x482d,183,,,0.00297
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.120238,50,0x0000,0x482d,183,,,0.005504
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.125265,50,0x0000,0x482d,183,,,0.005027
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 19:14:52.157802,50,0x0000,0x482d,184,0x0000,0x482d,0.032537
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 19:14:52.162739,50,0x0000,0x482d,184,0x0000,0x482d,0.004937
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 19:14:52.166590,50,0x0000,0x482d,184,0x0000,0x482d,0.003851
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 19:14:52.170222,50,0x0000,0x482d,184,0x0000,0x482d,0.003632
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.210233,50,0x0000,0x482d,185,,,0.040011
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.213889,50,0x0000,0x482d,185,,,0.003656
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.217792,50,0x0000,0x482d,185,,,0.003903
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.222129,50,0x0000,0x482d,185,,,0.004337
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.257349,50,0x0000,0x482d,186,,,0.03522
Coordinator,Coordinator,Philips Lamp 1,Bulb,Unknown,Unknown,,,2023-10-15 19:14:52.261645,50,0x0000,0x482d,186,,,0.004296
