Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:20:01.000000,47,0x0000,0xffff,96.0,0x0000,0xfffc,0.0
Sonoff Door 1,Door,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 18:20:04.737751,54,0x3181,0x0000,81.0,,,3.737751
Coordinator,Coordinator,Sonoff Door 1,Door,Unknown,Unknown,,,2023-10-15 18:20:04.739862,5,0x0000,0x3181,81.0,,,0.002111
Sonoff Door 1,Door,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 18:20:05.243917,12,0x3181,0x0000,82.0,,,0.504055
Coordinator,Coordinator,Sonoff Door 1,Door,Unknown,Unknown,,,2023-10-15 18:20:05.244683,5,0x0000,0x3181,82.0,,,0.000766
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:07.849213,52,0x5db6,0xe694,179.0,,,2.60453
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:07.853637,52,0x5db6,0xe694,179.0,,,0.004424
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:07.857741,52,0x5db6,0xe694,179.0,,,0.004104
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:07.861213,52,0x5db6,0xe694,179.0,,,0.003472
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,2023-10-15 18:20:07.968670,52,0x5db6,0xe694,180.0,0x5db6,0x0000,0.107457
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,2023-10-15 18:20:07.973094,52,0x5db6,0xe694,180.0,0x5db6,0x0000,0.004424
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,2023-10-15 18:20:07.977198,52,0x5db6,0xe694,180.0,0x5db6,0x0000,0.004104
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,2023-10-15 18:20:07.980670,52,0x5db6,0xe694,180.0,0x5db6,0x0000,0.003472
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:08.088099,52,0x5db6,0xe694,181.0,,,0.107429
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:08.092523,52,0x5db6,0xe694,181.0,,,0.004424
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:08.096627,52,0x5db6,0xe694,181.0,,,0.004104
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:08.100099,52,0x5db6,0xe694,181.0,,,0.003472
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:08.308818,52,0x5db6,0xe694,182.0,,,0.208719
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:08.313242,52,0x5db6,0xe694,182.0,,,0.004424
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:08.317346,52,0x5db6,0xe694,182.0,,,0.004104
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:08.320818,52,0x5db6,0xe694,182.0,,,0.003472
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,2023-10-15 18:20:08.733123,52,0x5db6,0xe694,183.0,0x5db6,0x0000,0.412305
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,2023-10-15 18:20:08.737227,52,0x5db6,0xe694,183.0,0x5db6,0x0000,0.004104
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,2023-10-15 18:20:08.740699,52,0x5db6,0xe694,183.0,0x5db6,0x0000,0.003472
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,2023-10-15 18:20:08.744483,52,0x5db6,0xe694,183.0,0x5db6,0x0000,0.003784
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:09.560441,52,0x5db6,0xe694,184.0,,,0.815958
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:09.564866,52,0x5db6,0xe694,184.0,,,0.004425
Aqara Door 1,Door,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 18:20:09.568970,52,0x5db6,0xe694,184.0,,,0.004104
