Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Aqara Vibration,Vibration,Smart Socket,Socket,Aqara Vibration,Vibration,Coordinator,Coordinator,2023-10-15 15:44:22.000000,55,0x61af,0xe694,210,0x61af,0x0000,0.0
Aqara Vibration,Vibration,Smart Socket,Socket,Aqara Vibration,Vibration,Coordinator,Coordinator,2023-10-15 15:44:22.004520,55,0x61af,0xe694,210,0x61af,0x0000,0.00452
Aqara Vibration,Vibration,Smart Socket,Socket,Aqara Vibration,Vibration,Coordinator,Coordinator,2023-10-15 15:44:22.008720,55,0x61af,0xe694,210,0x61af,0x0000,0.0042
Aqara Vibration,Vibration,Smart Socket,Socket,Aqara Vibration,Vibration,Coordinator,Coordinator,2023-10-15 15:44:22.012288,55,0x61af,0xe694,210,0x61af,0x0000,0.003568
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-10-15 15:44:24.598764,47,0xe694,0xffff,171,0xe694,0xfffc,2.586476
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-10-15 15:44:24.647643,51,0xe694,0xffff,172,0xe694,0xfffc,0.048879
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-10-15 15:44:24.903359,51,0xe694,0xffff,173,0xe694,0xfffc,0.255716
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-10-15 15:44:25.157457,51,0xe694,0xffff,174,0xe694,0xfffc,0.254098
Aqara Vibration,Vibration,Smart Socket,Socket,Aqara Vibration,Vibration,Coordinator,Coordinator,2023-10-15 15:44:25.345225,100,0x61af,0xe694,211,0x61af,0x0000,0.187768
Smart Socket,Socket,Aqara Vibration,Vibration,Unknown,Unknown,,,2023-10-15 15:44:25.348777,5,0xe694,0x61af,211,,,0.003552
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-10-15 15:44:25.411490,51,0xe694,0xffff,175,0xe694,0xfffc,0.062713
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-10-15 15:44:25.665613,51,0xe694,0xffff,176,0xe694,0xfffc,0.254123
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 15:44:25.696417,50,0x0000,0xffff,216,,,0.030804
Aqara Vibration,Vibration,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:25.888712,12,0x61af,0xe694,212,,,0.192295
Smart Socket,Socket,Aqara Vibration,Vibration,Unknown,Unknown,,,2023-10-15 15:44:25.889443,5,0xe694,0x61af,212,,,0.000731
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:26.218198,59,0x0000,0xffff,217,0x0000,0xfffc,0.328755
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:44:26.223790,45,0xe694,0x0000,177,0xe694,0x0000,0.005592
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:26.225613,5,0x0000,0xe694,177,,,0.001823
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 15:44:26.235821,59,0x0000,0xffff,218,,,0.010208
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:26.253037,54,0x0000,0xe694,219,,,0.017216
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 15:44:26.255118,5,0xe694,0x0000,219,,,0.002081
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 15:44:26.262573,66,0xe694,0x0000,178,,,0.007455
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:26.265067,5,0x0000,0xe694,178,,,0.002494
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:26.288228,45,0x0000,0xe694,220,,,0.023161
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 15:44:26.290019,5,0xe694,0x0000,220,,,0.001791
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:26.295158,59,0x0000,0xffff,221,0x0000,0xfffc,0.005139
Smart Socket,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 15:44:26.405580,59,0xe694,0xffff,179,,,0.110422
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:26.417288,52,0x0000,0xe694,222,,,0.011708
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 15:44:26.419305,5,0xe694,0x0000,222,,,0.002017
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 15:44:26.426736,63,0xe694,0x0000,180,,,0.007431
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:26.429135,5,0x0000,0xe694,180,,,0.002399
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-15 15:44:26.446529,45,0x0000,0xe694,223,0x0000,0xe694,0.017394
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 15:44:26.448310,5,0xe694,0x0000,223,,,0.001781
Smart Socket,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 15:44:26.487193,59,0xe694,0xffff,181,,,0.038883
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 15:44:26.553725,59,0x0000,0xffff,224,,,0.066532
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:26.563123,59,0x0000,0xffff,225,0x0000,0xfffc,0.009398
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:26.601642,59,0x0000,0xffff,226,0x0000,0xfffc,0.038519
Smart Socket,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 15:44:26.659859,59,0xe694,0xffff,182,,,0.058217
Smart Socket,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:26.741433,59,0xe694,0xffff,183,0x0000,0xfffc,0.081574
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 15:44:26.829578,59,0x0000,0xffff,227,,,0.088145
Smart Socket,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:26.913974,59,0xe694,0xffff,184,0x0000,0xfffc,0.084396
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:26.924256,59,0x0000,0xffff,228,0x0000,0xfffc,0.010282
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:26.930715,59,0x0000,0xffff,229,0x0000,0xfffc,0.006459
Smart Socket,Socket,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:26.995492,59,0xe694,0xffff,185,0x0000,0xfffc,0.064777
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:27.161822,59,0x0000,0xffff,230,0x0000,0xfffc,0.16633
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-15 15:44:27.269752,59,0x0000,0xffff,231,,,0.10793
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:44:27.288804,59,0x0000,0xffff,232,0x0000,0xfffc,0.019052
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 15:44:28.625711,57,0xe694,0x0000,186,,,1.336907
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:28.627918,5,0x0000,0xe694,186,,,0.002207
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-15 15:44:28.666368,50,0x0000,0xe694,233,0x0000,0xe694,0.03845
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 15:44:28.668320,5,0xe694,0x0000,233,,,0.001952
Smart Socket,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-15 15:44:28.673439,45,0xe694,0x0000,187,,,0.005119
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:28.675262,5,0x0000,0xe694,187,,,0.001823
Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:44:28.688849,63,0xe694,0x0000,188,0xe694,0x0000,0.013587
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-15 15:44:28.691248,5,0x0000,0xe694,188,,,0.002399
