Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:50:21.000000,47,0x0000,0xffff,197.0,0x0000,0xfffc,0.0
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:50:27.017766,59,0x0000,0xffff,200.0,0x0000,0xfffc,0.0544
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:50:27.319866,59,0x0000,0xffff,202.0,0x0000,0xfffc,0.034377
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:50:27.641558,59,0x0000,0xffff,205.0,0x0000,0xfffc,0.017243
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:50:27.660665,59,0x0000,0xffff,206.0,0x0000,0xfffc,0.019107
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-15 15:50:27.981762,61,0x0000,0xebe5,212.0,0x0000,0x054f,0.008644
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-15 15:50:27.987324,61,0x0000,0xebe5,212.0,0x0000,0x054f,0.005562
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-15 15:50:27.993127,61,0x0000,0xebe5,212.0,0x0000,0x054f,0.005803
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-15 15:50:27.997000,61,0x0000,0xebe5,212.0,0x0000,0x054f,0.003873
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-15 15:50:28.006679,63,0x0000,0xebe5,213.0,0x0000,0x054f,0.009679
