Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 16:29:52.000000,47,0x0000,0xffff,183,0x0000,0xfffc,0.0
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 16:29:56.824110,59,0x0000,0xffff,185,0x0000,0xfffc,0.007177
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 16:29:56.867609,59,0x0000,0xffff,186,0x0000,0xfffc,0.043499
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 16:29:57.186795,59,0x0000,0xffff,187,0x0000,0xfffc,0.319186
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 16:29:57.200993,59,0x0000,0xffff,188,0x0000,0xfffc,0.014198
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 16:29:57.450231,59,0x0000,0xffff,190,0x0000,0xfffc,0.242795
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 16:29:57.551734,59,0x0000,0xffff,192,0x0000,0xfffc,0.028292
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 16:29:57.816738,59,0x0000,0xffff,193,0x0000,0xfffc,0.265004
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 16:29:57.842754,59,0x0000,0xffff,194,0x0000,0xfffc,0.026016
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,2023-10-15 16:29:59.740245,57,0x0000,0xebe5,196,0x0000,0xebe5,0.018329
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,2023-10-15 16:29:59.744110,57,0x0000,0xebe5,196,0x0000,0xebe5,0.003865
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,2023-10-15 16:29:59.748341,57,0x0000,0xebe5,196,0x0000,0xebe5,0.002055
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,2023-10-15 16:29:59.753492,57,0x0000,0xebe5,196,0x0000,0xebe5,0.002983
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,2023-10-15 16:30:01.332407,57,0x0000,0xebe5,200,0x0000,0xebe5,0.594192
Coordinator,Coordinator,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,2023-10-15 16:30:01.337812,57,0x0000,0xebe5,200,0x0000,0xebe5,0.005405
