Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:57:52.219171,50,0x0000,0xffff,199,0x0000,0xfffc,0.113099
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 18:57:55.328124,62,0x0000,0x482d,201,0x0000,0x482d,0.014539
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 18:57:55.344301,45,0x0000,0x482d,203,0x0000,0x482d,0.005532
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-15 18:57:55.349457,55,0x482d,0x0000,96,0x482d,0x0000,0.003333
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-15 18:57:55.385334,58,0x482d,0x0000,98,0x482d,0x0000,0.027417
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 18:57:55.413704,90,0x0000,0x482d,204,0x0000,0x482d,0.020407
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-15 18:57:55.551618,48,0x482d,0x0000,103,0x482d,0x0000,0.044726
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:57:56.833581,59,0x0000,0xffff,210,0x0000,0xfffc,0.014016
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:57:57.205171,59,0x0000,0xffff,212,0x0000,0xfffc,0.059758
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:57:57.428790,59,0x0000,0xffff,213,0x0000,0xfffc,0.163844
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:57:57.495993,59,0x0000,0xffff,214,0x0000,0xfffc,0.067203
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:57:57.765779,59,0x0000,0xffff,215,0x0000,0xfffc,0.206995
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:57:57.805799,59,0x0000,0xffff,216,0x0000,0xfffc,0.04002
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:26.826513,59,0x0000,0xffff,219,0x0000,0xfffc,6.50738
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:26.841215,59,0x0000,0xffff,220,0x0000,0xfffc,0.014702
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:27.162809,59,0x0000,0xffff,221,0x0000,0xfffc,0.206351
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:27.445074,59,0x0000,0xffff,223,0x0000,0xfffc,0.161739
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:27.801105,59,0x0000,0xffff,225,0x0000,0xfffc,0.188586
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:34.714807,50,0x0000,0xffff,227,0x0000,0xfffc,6.874034
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.687776,50,0x0000,0xe5c4,230,0x0000,0xe5c4,0.035298
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.692714,50,0x0000,0xe5c4,230,0x0000,0xe5c4,0.004938
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.697204,50,0x0000,0xe5c4,230,0x0000,0xe5c4,0.00449
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.702656,50,0x0000,0xe5c4,230,0x0000,0xe5c4,0.005452
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.812990,50,0x0000,0xe5c4,232,0x0000,0xe5c4,0.044056
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.816453,50,0x0000,0xe5c4,232,0x0000,0xe5c4,0.003463
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.820996,50,0x0000,0xe5c4,232,0x0000,0xe5c4,0.004543
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.824848,50,0x0000,0xe5c4,232,0x0000,0xe5c4,0.003852
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.879258,50,0x0000,0xe5c4,233,0x0000,0xe5c4,0.05441
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.883188,50,0x0000,0xe5c4,233,0x0000,0xe5c4,0.00393
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.888422,50,0x0000,0xe5c4,233,0x0000,0xe5c4,0.005234
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.892273,50,0x0000,0xe5c4,233,0x0000,0xe5c4,0.003851
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.989907,50,0x0000,0xe5c4,236,0x0000,0xe5c4,0.023749
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.994716,50,0x0000,0xe5c4,236,0x0000,0xe5c4,0.004809
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:36.997927,50,0x0000,0xe5c4,236,0x0000,0xe5c4,0.003211
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:37.001830,50,0x0000,0xe5c4,236,0x0000,0xe5c4,0.003903
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:37.058361,50,0x0000,0xe5c4,238,0x0000,0xe5c4,0.022394
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:37.063414,50,0x0000,0xe5c4,238,0x0000,0xe5c4,0.005053
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:37.069028,50,0x0000,0xe5c4,238,0x0000,0xe5c4,0.005614
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:37.074313,50,0x0000,0xe5c4,238,0x0000,0xe5c4,0.005285
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:37.109168,50,0x0000,0xe5c4,239,0x0000,0xe5c4,0.034855
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:37.113415,50,0x0000,0xe5c4,239,0x0000,0xe5c4,0.004247
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:37.117434,50,0x0000,0xe5c4,239,0x0000,0xe5c4,0.004019
Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,2023-10-15 18:58:37.122987,50,0x0000,0xe5c4,239,0x0000,0xe5c4,0.005553
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-15 18:58:46.455406,57,0x482d,0x0000,131,0x482d,0x0000,0.030099
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 18:58:51.210040,54,0x0000,0x482d,242,0x0000,0xa209,0.859227
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-15 18:58:51.503116,57,0x482d,0x0000,138,0x482d,0x0000,0.039048
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:56.823972,59,0x0000,0xffff,243,0x0000,0xfffc,4.94744
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:56.836885,59,0x0000,0xffff,244,0x0000,0xfffc,0.012913
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:57.160217,59,0x0000,0xffff,245,0x0000,0xfffc,0.206654
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:57.477462,59,0x0000,0xffff,247,0x0000,0xfffc,0.205499
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:58:57.777560,59,0x0000,0xffff,250,0x0000,0xfffc,0.011326
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:59:26.826432,59,0x0000,0xffff,253,0x0000,0xfffc,2.142991
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:59:27.104666,59,0x0000,0xffff,255,0x0000,0xfffc,0.086661
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:59:27.111540,59,0x0000,0xffff,0,0x0000,0xfffc,0.006874
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:59:52.444917,50,0x0000,0xffff,6,0x0000,0xfffc,10.305065
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:59:56.830391,59,0x0000,0xffff,7,0x0000,0xfffc,0.071661
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:59:57.555023,59,0x0000,0xffff,12,0x0000,0xfffc,0.126357
Coordinator,Coordinator,Sonoff Motion 2,Motion,Coordinator,Coordinator,Sonoff Motion 2,Motion,Coordinator,Coordinator,2023-10-15 19:00:05.853018,54,0x4e52,0x0000,80,0x4e52,0x0000,7.733938
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 19:00:10.226016,50,0x0000,0xffff,15,0x0000,0xfffc,3.865474
Coordinator,Coordinator,Sonoff Motion 2,Motion,Coordinator,Coordinator,Sonoff Motion 2,Motion,Coordinator,Coordinator,2023-10-15 19:00:11.714328,54,0x4e52,0x0000,82,0x4e52,0x0000,0.017851
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 19:00:26.852483,59,0x0000,0xffff,18,0x0000,0xfffc,0.017729
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 19:00:27.505313,59,0x0000,0xffff,22,0x0000,0xfffc,0.006461
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 19:00:27.790607,59,0x0000,0xffff,23,0x0000,0xfffc,0.285294
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 19:00:27.856632,59,0x0000,0xffff,24,0x0000,0xfffc,0.066025
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 19:00:34.122646,50,0x0000,0x482d,25,0x0000,0x482d,6.266014
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 19:00:34.126255,50,0x0000,0x482d,25,0x0000,0x482d,0.003609
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 19:00:34.129416,50,0x0000,0x482d,25,0x0000,0x482d,0.003161
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-15 19:00:34.133960,50,0x0000,0x482d,25,0x0000,0x482d,0.004544
