Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:20:01.000000,47,0x0000,0xffff,96.0,0x0000,0xfffc,0.0
Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-10-15 18:20:15.328307,57,0x9989,0x0000,207.0,0x9989,0x0000,1.661164
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-15 18:20:17.146490,54,0x6e5f,0x0000,177.0,0x6e5f,0x0000,0.141192
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-15 18:20:17.546366,54,0x6e5f,0x0000,179.0,0x6e5f,0x0000,0.397765
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:20:18.803018,59,0x0000,0xffff,98.0,0x0000,0xfffc,0.048933
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:20:19.177656,59,0x0000,0xffff,99.0,0x0000,0xfffc,0.022054
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:20:19.460289,59,0x0000,0xffff,100.0,0x0000,0xfffc,0.282633
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-15 18:20:20.399676,50,0x0000,0x6e5f,102.0,0x0000,0x6e5f,0.635536
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-15 18:20:20.403995,50,0x0000,0x6e5f,102.0,0x0000,0x6e5f,0.002367
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-15 18:20:20.407443,50,0x0000,0x6e5f,102.0,0x0000,0x6e5f,0.001507
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-15 18:20:20.412773,50,0x0000,0x6e5f,102.0,0x0000,0x6e5f,0.00533
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-15 18:20:20.427588,45,0x6e5f,0x0000,187.0,0x6e5f,0x0000,0.00561
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-15 18:20:20.438614,45,0x6e5f,0x0000,188.0,0x6e5f,0x0000,0.001774
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-15 18:20:20.451429,45,0x6e5f,0x0000,190.0,0x6e5f,0x0000,0.003432
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-15 18:20:20.465602,45,0x6e5f,0x0000,191.0,0x6e5f,0x0000,0.007091
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-15 18:20:20.487002,45,0x6e5f,0x0000,192.0,0x6e5f,0x0000,0.005842
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-15 18:20:27.997849,52,0x0000,0x6e5f,107.0,0x0000,0x6e5f,0.045177
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-15 18:20:28.053700,45,0x0000,0x6e5f,110.0,0x0000,0x6e5f,0.004328
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 18:20:28.228116,59,0x0000,0xffff,111.0,0x0000,0xfffc,0.062416
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-15 18:20:30.920037,54,0x6e5f,0x0000,199.0,0x6e5f,0x0000,0.198619
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-15 18:20:31.322020,54,0x6e5f,0x0000,201.0,0x6e5f,0x0000,0.136244
