Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.000000,54,0x0000,0x482d,207.0,0x0000,0xa209,0.0
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.005196,54,0x0000,0x482d,207.0,0x0000,0xa209,0.005196
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.010767,54,0x0000,0x482d,207.0,0x0000,0xa209,0.005571
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.014737,54,0x0000,0x482d,207.0,0x0000,0xa209,0.00397
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.110279,54,0x0000,0x482d,209.0,0x0000,0xa209,0.049567
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.115501,54,0x0000,0x482d,209.0,0x0000,0xa209,0.005222
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.119471,54,0x0000,0x482d,209.0,0x0000,0xa209,0.00397
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.124525,54,0x0000,0x482d,209.0,0x0000,0xa209,0.005054
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.166219,54,0x0000,0x482d,210.0,0x0000,0xa209,0.041694
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.171079,54,0x0000,0x482d,210.0,0x0000,0xa209,0.00486
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.174897,54,0x0000,0x482d,210.0,0x0000,0xa209,0.003818
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.178991,54,0x0000,0x482d,210.0,0x0000,0xa209,0.004094
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.383631,54,0x0000,0x482d,214.0,0x0000,0xa209,0.024749
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.386782,54,0x0000,0x482d,214.0,0x0000,0xa209,0.003151
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.391306,54,0x0000,0x482d,214.0,0x0000,0xa209,0.004524
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.394803,54,0x0000,0x482d,214.0,0x0000,0xa209,0.003497
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.428496,54,0x0000,0x482d,215.0,0x0000,0xa209,0.033693
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.431602,54,0x0000,0x482d,215.0,0x0000,0xa209,0.003106
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.435166,54,0x0000,0x482d,215.0,0x0000,0xa209,0.003564
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.447966,54,0x0000,0x482d,215.0,0x0000,0xa209,0.0128
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.501895,54,0x0000,0x482d,216.0,0x0000,0xa209,0.053929
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.505112,54,0x0000,0x482d,216.0,0x0000,0xa209,0.003217
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.510334,54,0x0000,0x482d,216.0,0x0000,0xa209,0.005222
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-15 15:31:46.515265,54,0x0000,0x482d,216.0,0x0000,0xa209,0.004931
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-15 15:31:55.001481,77,0x0000,0xe694,217.0,0x0000,0xe694,0.010425
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:31:55.063777,45,0xe694,0x0000,174.0,0xe694,0x0000,0.005151
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:31:55.137285,45,0xe694,0x0000,176.0,0xe694,0x0000,0.005216
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:31:56.090924,63,0xe694,0x0000,181.0,0xe694,0x0000,0.007361
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-15 15:31:56.132639,54,0x0000,0xe694,225.0,0x0000,0xe694,0.006479
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:31:56.142351,66,0xe694,0x0000,182.0,0xe694,0x0000,0.007643
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-15 15:31:56.173688,45,0x0000,0xe694,226.0,0x0000,0xe694,0.028842
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:31:56.409886,59,0x0000,0xffff,228.0,0x0000,0xfffc,0.070058
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:31:56.743407,59,0x0000,0xffff,230.0,0x0000,0xfffc,0.149373
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:31:57.064768,59,0x0000,0xffff,232.0,0x0000,0xfffc,0.216707
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:31:57.148994,59,0x0000,0xffff,233.0,0x0000,0xfffc,0.084226
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-15 15:31:58.511368,50,0x0000,0xe694,234.0,0x0000,0xe694,0.041642
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:31:58.518482,45,0xe694,0x0000,190.0,0xe694,0x0000,0.005162
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-15 15:31:58.579373,50,0x0000,0xe694,235.0,0x0000,0xe694,0.044303
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:31:58.586659,45,0xe694,0x0000,192.0,0xe694,0x0000,0.005332
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:31:59.204784,54,0xe694,0x0000,196.0,0xe694,0x0000,0.198749
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:31:59.405744,54,0xe694,0x0000,197.0,0xe694,0x0000,0.198849
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:00.118819,51,0xe694,0x0000,201.0,0xe694,0x0000,0.012859
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Sonoff Motion 1,Motion,Coordinator,Coordinator,2023-10-15 15:32:00.165075,54,0xe694,0x0000,204.0,0xb815,0x0000,0.003623
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Sonoff Motion 1,Motion,Coordinator,Coordinator,2023-10-15 15:32:00.176602,54,0xe694,0x0000,205.0,0xb815,0x0000,0.001819
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Sonoff Motion 1,Motion,Coordinator,Coordinator,2023-10-15 15:32:00.181407,54,0xe694,0x0000,205.0,0xb815,0x0000,0.002694
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:32:00.262734,59,0x0000,0xffff,239.0,0x0000,0xfffc,0.037321
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:00.300396,95,0xe694,0x0000,210.0,0xe694,0x0000,0.013513
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:32:00.544562,59,0x0000,0xffff,244.0,0x0000,0xfffc,0.081622
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Sonoff Motion 1,Motion,Coordinator,Coordinator,2023-10-15 15:32:00.722763,50,0xe694,0x0000,218.0,0xb815,0x0000,0.003711
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:32:00.885351,59,0x0000,0xffff,246.0,0x0000,0xfffc,0.160605
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-15 15:32:01.209410,59,0x0000,0xffff,248.0,0x0000,0xfffc,0.030548
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:11.178189,50,0xe694,0x0000,223.0,0xe694,0x0000,1.154918
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:11.227203,45,0xe694,0x0000,224.0,0xe694,0x0000,0.00518
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:11.611132,54,0xe694,0x0000,225.0,0xe694,0x0000,0.382106
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:11.811138,54,0xe694,0x0000,226.0,0xe694,0x0000,0.197896
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:12.412397,54,0xe694,0x0000,229.0,0xe694,0x0000,0.198568
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:12.814273,54,0xe694,0x0000,230.0,0xe694,0x0000,0.399765
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:13.117567,57,0xe694,0x0000,231.0,0xe694,0x0000,0.301183
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-15 15:32:13.131279,57,0xe694,0x0000,231.0,0xe694,0x0000,0.004904
