Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,60.0,8.679477710861024,65.0,47.0,64.0,3.943417652126243,-1.9820938996687871,6.5,4.0,0.16485433333333335,0.2774695970810736,0.485246,0.003535,0.005782,,1.73192302090835,0.21359444444444445,60.0,8.679477710861024,65,47,64.0,3.943417652126243,-1.9820938996687871,6.5,4,0.16485433333333335,0.2774695970810736,0.485246,0.003535,0.005782,,1.73192302090835,0.21359444444444445,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,61.5,7.12039324756716,65.0,47.0,64.0,5.901637430995647,-2.4232422662495288,4.833333333333333,6.0,0.1965906,0.24888653814198147,0.485246,0.003535,0.036535,-3.257104441072329,0.6065171954386832,0.21756791999999997,61.5,7.12039324756716,65,47,64.0,5.901637430995647,-2.4232422662495288,4.833333333333333,6,0.1965906,0.24888653814198147,0.485246,0.003535,0.036535,-3.257104441072329,0.6065171954386832,0.21756791999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,64.5,0.7071067811865476,65.0,64.0,64.5,,,0.5,2.0,0.036535,,0.036535,0.036535,0.036535,,,0.0,64.5,0.7071067811865476,65,64,64.5,,,0.5,2,0.036535,,0.036535,0.036535,0.036535,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.11539266666666666,0.09323206421255154,0.219278,0.038994,0.087906,,1.2113752794348966,0.06925688888888888,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.11539266666666666,0.09323206421255154,0.219278,0.038994,0.087906,,1.2113752794348966,0.06925688888888888,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,12.0,0.07973536363636365,0.07556790531604371,0.219278,0.005285,0.03955,-0.6084687317396851,0.9375898708402925,0.06132064462809917,59.0,0.0,59,59,59.0,0.0,0.0,0.0,12,0.07973536363636365,0.07556790531604371,0.219278,0.005285,0.03955,-0.6084687317396851,0.9375898708402925,0.06132064462809917,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,8.0,0.049213999999999994,0.05478035566088754,0.162608,0.005285,0.032318,3.550982532100532,1.8365580888396673,0.03895028571428571,59.0,0.0,59,59,59.0,0.0,0.0,0.0,8,0.049213999999999994,0.05478035566088754,0.162608,0.005285,0.032318,3.550982532100532,1.8365580888396673,0.03895028571428571,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.09791425,0.06772773423236599,0.183307,0.017562,0.095394,1.527554537170321,0.22285580131320046,0.042696374999999995,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.09791425,0.06772773423236599,0.183307,0.017562,0.095394,1.527554537170321,0.22285580131320046,0.042696374999999995,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,10.0,0.11590788888888887,0.061506748596077736,0.219501,0.017562,0.10949,-0.002106791960397203,0.1591623664198962,0.04603876543209876,59.0,0.0,59,59,59.0,0.0,0.0,0.0,10,0.11590788888888887,0.061506748596077736,0.219501,0.017562,0.10949,-0.002106791960397203,0.1591623664198962,0.04603876543209876,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.13550600000000002,0.06740644314900468,0.219501,0.054525,0.133999,1.480848009634819,0.13379107400450774,0.0425315,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.13550600000000002,0.06740644314900468,0.219501,0.054525,0.133999,1.480848009634819,0.13379107400450774,0.0425315,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,6.0,0.0932196,0.1270456042895621,0.315986,0.012734,0.054766,4.227025472808846,2.021560169045665,0.08910655999999999,59.0,0.0,59,59,59.0,0.0,0.0,0.0,6,0.0932196,0.1270456042895621,0.315986,0.012734,0.054766,4.227025472808846,2.021560169045665,0.08910655999999999,,,,,,,,,,,,,,,,,
